"","VNO.Open","VNO.High","VNO.Low","VNO.Close","VNO.Volume"
"2015-08-20",94.97,95.22,94.22,94.43,810199
"2015-08-27",88.59,91.24,88.47,90.28,978693
"2015-09-03",87.46,88.19,87.03,87.28,800516
"2015-09-10",85.7,87.82,85.7,86.87,770610
"2015-09-17",90.88,93.61,90.62,92.02,827681
"2015-09-24",90.97,91.53,90.02,90.59,785488
"2015-10-01",90.85,90.96,89.32,90.57,708412
"2015-10-08",94.03,95.95,93.78,95.88,785225
"2015-10-15",95.94,97.69,95.62,97.63,1098462
"2015-10-22",99.21,100.61,98.95,100.21,815941
"2015-10-29",100.17,100.81,99.97,100.7,454135
"2015-11-05",99.7,100.01,99.12,99.78,918789
"2015-11-12",95.69,95.94,94.66,94.75,508432
"2015-11-19",95.81,96.47,95.38,96.19,431015
"2015-12-03",96.5,97.04,95.81,96.38,968795
"2015-12-10",97.55,97.9,96.33,96.9,702271
"2015-12-17",100.08,101.33,99.42,99.43,956183
"2015-12-24",99.99,100.22,99.31,99.81,207282
"2015-12-31",101.02,101.27,99.89,99.96,578472
"2016-01-07",97.83,98.77,97.63,98.27,1129779
"2016-01-14",93.26,93.81,92.13,92.54,805928
"2016-01-21",88.91,89.81,87.82,88.85,852797
"2016-01-28",90.85,91.68,86.6,86.94,1899955
"2016-02-04",85.91,86.78,84.52,86.09,1093530
"2016-02-11",79.86,80.92,78.91,80.15,2093644
"2016-02-18",82.51,84.88,82.12,84.3,1238323
"2016-02-25",86.62,87.33,85.32,86.41,1111771
"2016-03-03",90.71,91.08,89.92,91.08,565607
"2016-03-10",90.13,90.13,87.78,88.74,757791
"2016-03-17",93.16,94.34,92.79,93.94,698055
"2016-03-24",90.55,91.33,89.94,91.26,556698
"2016-03-31",93.95,94.63,93.73,94.43,776363
"2016-04-07",94.68,94.87,93.1,93.7,484868
"2016-04-14",95.85,96.17,95.29,95.74,445584
"2016-04-21",95,95.89,93.65,94.13,648076
"2016-04-28",95.5,96.16,95.07,95.82,689367
"2016-05-05",94.64,95.37,94.21,95.26,1037053
"2016-05-12",96.46,97.19,95.59,96.69,1012508
"2016-05-19",92.71,93.29,90.13,92.66,743804
"2016-05-26",94.99,95.3,94.43,94.72,489601
"2016-06-02",95.02,96.34,94.71,96.32,515865
"2016-06-09",96.16,97.35,95.8,97.18,811307
"2016-06-16",96.38,97.73,95.8,97.58,956869
"2016-06-23",98.27,98.99,98.09,98.93,570798
"2016-06-30",99.32,100.13,98.53,100.12,1312270
"2016-07-07",99.08,99.3,97.42,97.88,933084
"2016-07-14",101.14,101.49,100.38,100.54,695975
"2016-07-21",100.81,101.96,100.49,101.92,641689
"2016-07-28",104.14,106.07,104.06,105.51,762701
"2016-08-04",105,105.04,104.32,104.75,832398
"2016-08-11",105.4,105.4,104.15,104.97,534101
"2016-08-18",103.45,103.75,102.92,103.45,422959
"2016-08-25",102.21,103.21,101.84,102.24,304765
"2016-09-01",103.43,103.84,102.41,102.95,559600
"2016-09-08",104.25,104.63,102.9,103.18,2003499
"2016-09-15",97.81,98.64,97.18,98.48,673453
