"","BWA.Open","BWA.High","BWA.Low","BWA.Close","BWA.Volume"
"2014-01-09",56.45,56.99,55.86,56.3,1056765
"2014-01-16",56.02,56.94,55.93,56.93,1607513
"2014-01-23",56.34,56.52,55.1,55.64,1412023
"2014-01-30",54.26,54.49,53.78,54.22,1060085
"2014-02-06",52.49,53.64,52.41,53.44,1093270
"2014-02-13",55.09,57.24,54.79,56.93,1660352
"2014-02-20",59.22,60.58,59.02,60.42,2055732
"2014-02-27",60.79,61.44,60.59,61.39,1010444
"2014-03-06",61.76,62.07,61.48,61.85,796465
"2014-03-13",61.6,61.76,60.42,60.7,1529212
"2014-03-20",61.27,62.5,61.19,62.42,991055
"2014-03-27",59.96,60.05,59.13,59.64,1128274
"2014-04-03",63.64,63.88,62.87,63.2,865044
"2014-04-10",62.11,62.24,60.4,60.4,909505
"2014-04-17",61.94,63.08,61.79,62.59,771028
"2014-04-24",63.91,64.23,63.22,63.75,1325318
"2014-05-01",62.08,62.54,60.54,60.66,2897014
"2014-05-08",59.85,61.05,59.6,59.82,812285
"2014-05-15",60.03,60.09,58.24,59.06,1551257
"2014-05-22",60.63,61.46,60.49,61.06,1495093
"2014-05-29",62.77,63.21,62.31,62.84,637123
"2014-06-05",64.82,65.37,64.56,65.15,1715583
"2014-06-12",65.9,65.9,64.24,64.47,1525660
"2014-06-19",65.16,65.24,64.83,65.09,923027
"2014-06-26",64.58,65.18,63.57,65.06,1590513
"2014-07-03",66.62,67.08,66.5,67.01,515097
"2014-07-10",66.31,67.49,65.95,66.15,1691727
"2014-07-17",64.86,65.67,64.04,64.16,1680199
"2014-07-24",65.8,65.94,65.41,65.56,929195
"2014-07-31",63.41,63.44,61.51,62.25,2524959
"2014-08-07",61.28,61.69,60.52,60.76,1569439
"2014-08-14",62.08,62.48,61.78,62.42,696296
"2014-08-21",63.89,63.9,62.69,62.71,925785
"2014-08-28",61.6,62.2,61.32,61.95,864776
"2014-09-04",62.78,63.62,62.78,63.05,1001056
"2014-09-11",60.93,61.28,60.61,61.19,928017
"2014-09-18",57.88,58.54,57.81,58.34,1737471
"2014-09-25",56.82,57.26,56.16,56.32,1809900
"2014-10-02",53.4,54.33,53.31,54.03,2698867
"2014-10-09",53.38,53.5,51.21,51.42,2243049
"2014-10-16",51.31,55.29,51.29,54.52,3560349
"2014-10-23",56.18,57.15,56,56.52,1765380
"2014-10-30",54.38,54.88,52.8,54.37,6740628
"2014-11-06",57.39,58.78,57.34,58.75,1937384
"2014-11-13",55.45,55.69,55.18,55.3,2987582
"2014-11-20",56.63,58.01,56.48,57.68,1570862
"2014-12-04",58.73,58.73,57.81,58.03,1211700
"2014-12-11",53.66,54.46,53.29,53.41,1558744
"2014-12-18",53.35,53.61,52.68,53.61,1757705
"2015-01-08",54.57,55.12,54.2,54.95,1898596
"2015-01-15",51.85,52.12,50.42,50.46,2481419
"2015-01-22",54.03,55.29,53.54,55.12,2450563
"2015-01-29",53.57,54.9,53.31,54.7,1555557
"2015-02-05",57.52,58.5,57.39,58.31,1660793
"2015-02-12",59.26,61.44,58.87,61.38,2739442
"2015-02-19",60.07,60.64,59.66,60.59,1204219
"2015-02-26",61.66,61.79,61.25,61.55,1389465
"2015-03-05",62.27,62.68,61.93,62.04,1893772
"2015-03-12",58.86,60.13,58.76,60.08,1514502
"2015-03-19",60.27,60.31,59.76,60.14,1128420
"2015-03-26",58.81,59.45,58.72,59.13,2323504
"2015-04-02",60.26,61.25,60,61.09,1013511
"2015-04-09",61.4,61.92,61.26,61.71,701944
"2015-04-16",60.62,61.18,60.43,60.89,760337
"2015-04-23",60.62,61.14,60.23,60.69,1391113
"2015-04-30",57.36,59.59,57.18,59.2,4208884
"2015-05-07",60.57,60.98,60.45,60.54,1022688
"2015-05-14",61.5,61.75,61.26,61.66,937559
"2015-05-21",60.64,61.69,60.64,61.55,794516
"2015-05-28",60.53,60.72,59.85,60.38,1228824
"2015-06-04",61.11,61.29,60.3,60.53,1659087
"2015-06-11",60.99,61.41,60.69,60.8,962874
"2015-06-18",60.62,61.11,60.34,60.91,780088
"2015-06-25",59.88,60.4,59.37,59.44,1604359
"2015-07-02",57.49,57.71,57.28,57.65,1556861
"2015-07-09",54.14,54.73,53.07,53.28,3520647
"2015-07-16",52.88,53.47,51.72,51.8,3952020
"2015-07-23",51.78,52.55,51.63,51.71,2291085
"2015-07-30",47.75,49.98,46.5,49.85,7329924
"2015-08-06",47.81,48.31,47.31,47.68,3265945
"2015-08-13",46.97,47.04,46.14,46.38,2500052
"2015-08-20",45.99,46.2,45.28,45.3,3230667
"2015-08-27",44.36,44.95,43.41,44.22,3086066
"2015-09-03",42.92,43.66,42.55,42.96,1700693
"2015-09-10",43.79,43.91,43.31,43.74,2052639
"2015-09-17",44.46,45.28,44.23,44.4,1699334
"2015-09-24",38.15,39.07,37.33,38.89,4477503
"2015-10-01",41.78,42.31,40.75,41.73,2648085
"2015-10-08",44.51,45.08,44.33,44.94,2095592
"2015-10-15",44.22,44.22,43.12,44.02,1138366
"2015-10-22",42.34,42.67,41.92,42.26,5330547
"2015-10-29",46.81,48.64,41.49,41.57,6479209
"2015-11-05",42.33,42.9,41.95,42.3,1805376
"2015-11-12",41.26,41.46,40.83,40.86,2235740
"2015-11-19",42.72,42.89,42.12,42.38,1840730
"2015-12-03",42.9,43,41.96,42.23,1607427
"2015-12-10",41.25,41.65,40.98,41.12,1134880
"2015-12-17",42.05,42.15,41.07,41.07,1128809
"2015-12-24",43.59,43.96,43.44,43.51,610247
"2015-12-31",43.7,44.1,43.22,43.23,1046924
"2016-01-07",39.26,39.29,37.59,37.71,2337208
"2016-01-14",33.89,33.92,32.05,32.86,6317842
"2016-01-21",30.22,30.63,29.2,29.23,4147011
"2016-01-28",29.48,29.62,28.3,28.47,2466371
"2016-02-04",28.36,29.76,28.03,29.73,2860605
"2016-02-11",29.01,31.2,28.63,30.19,4599198
"2016-02-18",33.79,33.84,32.55,32.64,3052777
"2016-02-25",32.57,33.1,31.76,32.6,1644732
"2016-03-03",34.74,35.71,34.54,35.07,1771973
"2016-03-10",35.18,35.33,33.96,34.63,1973334
"2016-03-17",37.1,37.74,36.55,37.61,1548929
"2016-03-24",36.17,36.92,35.81,36.92,1452291
"2016-03-31",37.81,38.57,37.73,38.4,2217923
"2016-04-07",34.66,35.41,33.89,34.05,2980120
"2016-04-14",36.98,37.47,36.24,37.05,1631625
"2016-04-21",38.7,39.11,38.37,38.56,1322100
"2016-04-28",37.57,37.77,36.26,36.45,4077239
"2016-05-05",34.66,35.04,33.82,33.85,1766256
"2016-05-12",34.26,34.57,33.52,33.75,1147634
"2016-05-19",33.11,33.42,32.2,32.32,1995773
"2016-05-26",33.73,33.79,33.2,33.35,1235283
"2016-06-02",33.42,34.48,33.29,34.4,1463868
"2016-06-09",34.41,34.74,34.01,34.66,1242327
"2016-06-16",32.27,32.98,31.94,32.93,1707498
"2016-06-23",33.66,34.1,33.49,33.7,3426767
"2016-06-30",29.35,29.53,28.62,29.52,2616563
"2016-07-07",28.86,29.77,28.82,29.42,1570991
"2016-07-14",31.81,32.06,31.41,31.54,1890602
"2016-07-21",32.6,33.24,32.51,33.2,1843647
"2016-07-28",33.07,33.44,31.94,32.49,3513514
"2016-08-04",32.73,33,32.51,32.58,1562124
"2016-08-11",33.86,34.18,33.73,34,1404979
"2016-08-18",33.98,34.25,33.68,34.01,2148574
"2016-08-25",33.84,33.94,33.39,33.77,2132011
"2016-09-01",34.55,35.14,34.26,34.61,2617125
"2016-09-08",36,36.12,35.56,35.84,2959006
"2016-09-15",34.96,35.37,34.8,35.09,3543842
