"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume"
"2014-08-28",83.58,84.11,83.19,83.97,2295610
"2014-09-04",83.31,84.01,83.01,83.11,3421099
"2014-09-11",81.73,82.18,81.62,82.08,4088018
"2014-09-18",83.6,84.21,83.54,84.15,3648090
"2014-09-25",83.77,83.78,83.07,83.13,5519624
"2014-10-02",81.51,81.79,80.95,81.71,4115778
"2014-10-09",81.36,82.27,81.02,81.15,5240357
"2014-10-16",83.68,85.12,83.27,84.12,6177263
"2014-10-23",85.03,85.56,83.78,85.17,4378766
"2014-10-30",84.78,85.44,84.41,85.23,1666728
"2014-11-06",85.04,87.92,84.91,87.77,5480955
"2014-11-13",88.26,88.35,87.25,87.46,2580784
"2014-11-20",85.79,85.86,85.15,85.37,3881832
"2014-12-04",89.87,89.95,88.89,89.57,2059519
"2014-12-11",87.76,88.42,87.6,87.99,3016870
"2014-12-18",89.86,90,89.07,89.54,2876186
"2015-01-08",86.17,86.58,85.62,86.49,2844460
"2015-01-15",87.02,88.09,86.93,87.2,3972689
"2015-01-22",88.38,89.72,88.06,89.51,2866308
"2015-01-29",84.45,86.07,84.29,85.91,3510944
"2015-02-05",88.81,89.23,88.5,89.12,1732668
"2015-02-12",89.42,89.45,88.24,89.37,2297330
"2015-02-19",92.46,92.46,91.44,91.71,4527174
"2015-02-26",91.24,91.75,90.96,91.18,2132843
"2015-03-05",90.09,90.9,89.45,90.46,2713425
"2015-03-12",90.86,91.04,89.99,90.18,2289751
"2015-03-19",89,89.01,87.63,88.08,2586638
"2015-03-26",88,88.46,87.78,88.01,1988896
"2015-04-02",87.47,88.61,87.47,87.98,1555288
"2015-04-09",87.71,88.65,87.38,88.45,2914979
"2015-04-16",89.15,89.36,88.64,88.94,1709599
"2015-04-23",88.63,88.89,88.24,88.59,1981473
"2015-04-30",89.66,91,89.42,90.52,2728481
"2015-05-07",89.75,89.87,89.03,89.63,1667175
"2015-05-14",90.93,92.36,90.92,92.21,1949182
"2015-05-21",89.18,89.79,89.05,89.46,3037547
"2015-05-28",93.92,93.92,93.08,93.5,3210844
"2015-06-04",92.24,92.47,91.66,91.87,2484080
"2015-06-11",92.92,93.59,92.74,93.21,2245862
"2015-06-18",91.65,92.78,91.46,92.6,1754034
"2015-06-25",94.19,94.39,93.08,94,3679662
"2015-07-02",96.16,97.01,95.7,96.35,2899826
"2015-07-09",96.02,96.61,94.51,94.54,2608528
"2015-07-16",96.97,97.56,96.81,97.33,2993376
"2015-07-23",94.22,94.77,92.41,93.26,3396102
"2015-07-30",93.28,93.98,92.92,93.51,1470514
"2015-08-06",95.16,95.98,94.84,95.6,1561403
"2015-08-13",93.55,93.92,91.56,93.1,2144138
"2015-08-20",91.31,92.45,90.37,90.65,4472953
"2015-08-27",82.01,82.47,80.87,82.39,3615287
"2015-09-03",80.72,81.95,80.14,80.99,3004947
"2015-09-10",79.55,80.59,79.03,80.07,2912913
"2015-09-17",80.94,81.41,80.09,80.43,3821930
"2015-09-24",75.37,76.02,74.3,75.76,7813993
"2015-10-01",73.37,73.63,72.19,72.89,4881774
"2015-10-08",78.65,81.31,78.6,80.91,3698283
"2015-10-15",76.46,76.88,75.26,76.23,2826436
"2015-10-22",76.75,79.6,76.56,79.35,5754510
"2015-10-29",78.44,78.96,77.93,78.24,2161006
"2015-11-05",78.27,78.69,77.04,77.93,2216904
"2015-11-12",74.77,74.77,73.15,73.27,3890027
"2015-11-19",74.03,74.96,73.6,74.94,2516990
"2015-12-03",79.43,79.49,77.95,78.3,2913441
"2015-12-10",79.2,79.37,78.18,78.6,2817809
"2015-12-17",78.34,78.53,76.75,76.91,3403187
"2015-12-24",78.88,79.36,78.52,78.79,750172
"2015-12-31",77.01,77.2,76.26,76.27,2162571
"2016-01-07",74.39,76.03,74.25,74.99,3720482
"2016-01-14",73.38,74.73,72.68,73.6,3143835
"2016-01-21",71.99,73.66,71.19,73.03,2731191
"2016-01-28",74.7,75.24,73.36,74.81,2208485
"2016-02-04",75.07,79.04,75.05,78.7,4969955
"2016-02-11",75.97,77.14,75.18,76.41,3670693
"2016-02-18",81.41,81.68,79.18,80.33,5231740
"2016-02-25",79.21,79.65,78.56,79.6,1954589
"2016-03-03",81.77,83.82,81.45,83.67,2856494
"2016-03-10",82.82,82.9,81.39,82.38,2773907
"2016-03-17",81.62,83.52,81.27,83.06,3500640
"2016-03-24",80.5,80.58,80,80.24,3261071
"2016-03-31",80.18,80.36,76.91,76.99,6488814
"2016-04-07",76,76.28,75.5,76.18,2440571
"2016-04-14",78.45,78.8,77.48,77.66,2350891
"2016-04-21",84.49,84.94,82.4,82.8,3988456
"2016-04-28",84.13,85.34,83.5,83.93,2151778
"2016-05-05",82.23,82.3,80.77,81.2,2868472
"2016-05-12",84.26,84.93,82.57,84.15,3936321
"2016-05-19",82.18,83.34,81.68,82.25,5059867
"2016-05-26",80.84,81.08,80.12,80.27,2501018
"2016-06-02",82.73,84.14,82.42,84.06,2830801
"2016-06-09",86.29,87.16,85.96,86.95,1802168
"2016-06-16",84.31,85.31,83.15,85.12,2075532
"2016-06-23",84.93,84.95,83.53,84.29,2284961
"2016-06-30",81.89,81.95,79.83,81.04,4921422
"2016-07-07",79.65,80.17,79.04,79.37,2167512
"2016-07-14",83.58,84.65,83.39,83.64,3588149
"2016-07-21",83.06,83.62,82.1,82.22,3123847
"2016-07-28",78.48,78.56,77.81,78.17,4712409
"2016-08-04",78.4,78.76,77.41,77.74,2235467
"2016-08-11",78.29,78.47,77.92,77.99,2773015
"2016-08-18",77.16,77.67,76.73,76.94,4041188
"2016-08-25",87.29,87.7,86.93,87.29,3044647
"2016-09-01",84.5,84.82,83.38,83.55,2996580
"2016-09-08",83.87,83.98,83.25,83.58,2234649
"2016-09-15",80.78,81.78,80.43,81.61,2161548
