"","LB.Open","LB.High","LB.Low","LB.Close","LB.Volume"
"2014-11-13",77.89,78.19,76.1,77.05,2149831
"2014-11-20",77.72,80.18,77,80.08,3308375
"2014-12-04",83,83.14,82.3,82.67,2550748
"2014-12-11",82.56,84.22,82.56,83.15,1410006
"2014-12-18",83.56,84.66,83.07,84.52,1572223
"2015-01-08",86.44,87.14,85.16,86.68,3585760
"2015-01-15",82.49,82.92,80.53,80.59,2590978
"2015-01-22",82.55,84.15,82.3,83.92,1614546
"2015-01-29",84.67,86.4,84.48,86.38,1694581
"2015-02-05",90.67,92,89.61,91.19,4158399
"2015-02-12",93.56,94.84,93.32,94.81,1265583
"2015-02-19",90.53,90.76,89.8,90.03,1376963
"2015-02-26",92.11,92.66,90.36,91.98,1884531
"2015-03-05",91.95,92.25,91.19,91.23,1473071
"2015-03-12",90.5,92.31,90.41,92.12,1240413
"2015-03-19",91.69,93.2,91.28,93.1,1358144
"2015-03-26",93,93,91.81,92.43,885971
"2015-04-02",93.44,94.2,92.98,93.41,1147311
"2015-04-09",95.18,95.65,93.69,94.5,1182242
"2015-04-16",93.33,93.47,91.94,92,1039830
"2015-04-23",90.85,92.04,90.71,91.65,713567
"2015-04-30",88.84,90.59,88.48,89.36,2151090
"2015-05-07",89.99,91,88.7,88.97,2210487
"2015-05-14",87.73,88.23,86.56,87.64,1469359
"2015-05-21",87.99,89.95,87.5,88.46,1650960
"2015-05-28",87.46,87.88,87.02,87.43,1235538
"2015-06-04",86.17,88.26,86.17,87.17,2007483
"2015-06-11",84.98,85.57,84.57,84.69,1109576
"2015-06-18",84.93,86.71,84.81,86.08,1394558
"2015-06-25",87.74,88.25,87.06,87.07,1005071
"2015-07-02",85.89,86.61,85.61,86.36,2126397
"2015-07-09",86.51,86.7,83.62,83.92,3768700
"2015-07-16",84.54,84.78,84,84.5,1112227
"2015-07-23",84.2,84.42,83.44,83.62,1238752
"2015-07-30",82.62,82.95,81.27,81.34,1500749
"2015-08-06",84.46,84.96,80.69,81.8,3060029
"2015-08-13",81.13,81.43,80.56,80.7,1208916
"2015-08-20",79.52,84.3,79.5,83.94,3783274
"2015-08-27",81.98,82.95,81.1,82.81,2019861
"2015-09-03",87.11,90.77,87.11,89.28,3985076
"2015-09-10",90.76,92.22,90.71,91.59,2654852
"2015-09-17",93.15,93.35,91.73,92.09,1780027
"2015-09-24",91.23,92.06,91.08,91.84,946923
