"","PTR.Open","PTR.High","PTR.Low","PTR.Close","PTR.Volume"
"2014-07-17",130.47,130.83,129.49,129.76,70730
"2014-07-24",140.09,140.88,139.83,140.68,168525
"2014-07-31",130.85,131.12,129.06,129.07,274629
"2014-08-07",130.93,130.93,129.37,130.14,79782
"2014-08-14",138.18,138.77,137.8,138.69,125356
"2014-08-21",139.04,139.25,138.26,138.87,71094
"2014-08-28",141.7,143.68,140.33,142.19,131055
"2014-09-04",150.19,150.8,148.68,149.48,132921
"2014-09-11",137.44,138.79,137.2,138.3,177875
"2014-09-18",136.66,136.66,135.88,136.2,77975
"2014-09-25",133.61,133.99,132.69,133.04,81260
"2014-10-02",126.13,126.55,123.56,125.67,116917
"2014-10-09",127.7,127.7,125.46,125.53,183659
"2014-10-16",118.1,121.24,117.88,120.29,193482
"2014-10-23",124.34,124.71,123.55,124.03,87179
"2014-10-30",124.11,124.57,123.24,123.72,147295
"2014-11-06",120.7,120.7,118.64,119.4,209886
"2014-11-13",114.2,114.2,111.89,112.61,254514
"2014-11-20",110.29,110.9,109.93,110.66,122227
"2014-12-04",108.69,109.91,108.46,109.56,228089
"2014-12-11",103.97,105.15,103.44,103.55,263902
"2014-12-18",110.5,110.5,107.77,109.33,278703
"2015-01-08",113.96,115.09,113.71,114.23,127168
"2015-01-15",114.4,115.19,112.59,112.72,183303
"2015-01-22",112.98,113.98,112.23,113.7,131222
"2015-01-29",109.14,109.47,107.25,109.35,154336
"2015-02-05",111.58,112.49,111.17,112.33,111503
"2015-02-12",110.76,112.08,110.6,111.42,104767
"2015-02-19",114.48,115.24,113.99,114.1,115516
"2015-02-26",115.43,115.69,115.12,115.29,120241
"2015-03-05",109.33,109.8,109.01,109.22,118757
"2015-03-12",106.23,106.35,105.02,105.22,75342
"2015-03-19",108.2,108.79,107.65,108.03,117114
"2015-03-26",106.74,107.49,105.15,106.05,138548
"2015-04-02",112.66,113.46,112.65,112.87,106665
"2015-04-09",128.18,131.35,126.19,131.17,820734
"2015-04-16",134.96,136.98,134.46,136.37,417800
"2015-04-23",130.48,131.51,129.98,131.24,196263
"2015-04-30",128.42,129.39,128.04,128.92,158692
"2015-05-07",123.52,125.01,122.36,124.83,304801
"2015-05-14",121.54,122.35,120.57,121.31,176132
"2015-05-21",122.18,122.87,121.81,122.39,138834
"2015-05-28",120.2,120.2,118.77,119.93,203645
"2015-06-04",117.46,117.46,116.26,116.76,83773
"2015-06-11",114.67,115.1,114.02,114.54,109253
"2015-06-18",111.06,111.72,110.77,111.27,98552
"2015-06-25",116.33,116.33,115.5,115.54,111204
"2015-07-02",111.54,112.5,110.38,110.62,115459
"2015-07-09",104.22,104.73,103.13,103.78,225237
"2015-07-16",103.81,104.24,103.27,104.13,115156
"2015-07-23",102.05,102.05,101.1,101.44,96139
"2015-07-30",100.65,100.75,99.7,100.11,104950
"2015-08-06",94.52,94.9,94.02,94.5,110686
"2015-08-13",95.7,95.7,94.74,94.81,155388
"2015-08-20",87.55,87.94,86.34,86.45,208525
"2015-08-27",84.08,88.1,84.08,87.09,331785
"2015-09-03",78.25,80.19,78.15,78.43,170920
"2015-09-10",76.85,77.87,76.34,76.99,162418
"2015-09-17",75.21,76.98,74.96,75.62,130083
"2015-09-24",70.57,71.57,70.04,71.44,127889
"2015-10-01",70.61,71.15,69.36,70.34,251905
"2015-10-08",78.97,81.09,78,81.02,202330
"2015-10-15",82.95,83.43,81.02,83.43,215699
"2015-10-22",80.62,82,80.62,81.86,125058
"2015-10-29",78.51,78.51,76.78,77.46,164831
"2015-11-05",79.19,79.85,78.77,79.05,78756
"2015-11-12",74.91,75.57,73.46,73.76,187045
"2015-11-19",70.66,71.14,70.49,70.86,107284
"2015-12-03",72.66,73.17,71.79,72.12,166206
"2015-12-10",66.6,67,65.77,66.21,201053
"2015-12-17",67.07,67.38,65.71,65.89,140706
"2015-12-24",70,70.43,69.34,69.76,61678
"2015-12-31",65.27,65.95,65,65.59,109707
"2016-01-07",59.02,60.87,58.85,58.9,226621
"2016-01-14",56.86,58.5,56.5,58.4,220153
"2016-01-21",54.17,56.26,53.95,55.55,241471
"2016-01-28",59.79,60.58,58.7,59.5,177643
"2016-02-04",59.28,60.36,58.51,59.24,269194
"2016-02-11",55.65,56.75,55.1,56.42,156483
"2016-02-18",65.93,66.25,64.53,64.73,170030
"2016-02-25",64.24,65.3,63.63,65.18,82432
"2016-03-03",68.85,70.28,68.47,70.12,224838
"2016-03-10",68.51,68.51,66.16,67.49,173310
"2016-03-17",69.65,70.91,69.52,70.62,160147
"2016-03-24",65.42,66.14,64.88,66.14,142386
"2016-03-31",66.61,67.25,66.21,66.3,96200
"2016-04-07",62.77,63.02,61.81,61.95,266943
"2016-04-14",69.02,69.35,68.6,68.98,112756
"2016-04-21",71.19,71.19,70.34,70.62,138656
"2016-04-28",74.77,75.27,72.89,73.52,201258
"2016-05-05",71.54,72.29,70.99,71.24,179052
"2016-05-12",69.85,69.98,68.38,68.79,84250
"2016-05-19",67.06,67.13,66.09,66.87,131606
"2016-05-26",68.9,69.1,67.79,68.21,102552
"2016-06-02",69.21,70.21,68.87,69.71,137377
"2016-06-09",72.97,73.12,72.6,72.92,61346
"2016-06-16",66.76,67.14,65.78,66.87,165226
"2016-06-23",70.7,71.54,70.31,71.54,113945
"2016-06-30",67.91,68.44,67.45,67.92,146446
"2016-07-07",67.72,67.97,65.8,66.17,129462
"2016-07-14",70.86,71.1,70.3,70.65,171730
"2016-07-21",69.29,69.29,68.19,68.42,67666
"2016-07-28",68.2,68.5,67.3,67.57,143596
"2016-08-04",67.51,68.26,67.51,67.96,50860
"2016-08-11",68.6,68.94,68.02,68.85,98848
"2016-08-18",69.29,69.44,68.97,69.44,78590
"2016-08-25",66.82,67.51,66.82,67.26,99675
"2016-09-01",65.8,66.04,65.32,65.87,85396
"2016-09-08",67.3,67.82,66.69,67.68,183887
"2016-09-15",64.19,64.8,63.93,64.5,71720
