"","SCHW.Open","SCHW.High","SCHW.Low","SCHW.Close","SCHW.Volume"
"2014-10-16",24.29,25.86,24.22,25.5,13858896
"2014-10-23",26.54,26.71,26.28,26.53,7557117
"2014-10-30",27.51,27.85,27.45,27.75,6637612
"2014-11-06",28.67,29.07,28.51,29.04,6503387
"2014-11-13",28.91,28.96,28.6,28.79,5846499
"2014-11-20",28.25,28.48,28.05,28.34,7059335
"2014-12-04",28.94,29.14,28.74,29.01,4295565
"2014-12-11",29.79,30.2,29.56,29.68,5774919
"2014-12-18",29.82,30.15,29.57,30.01,8087077
"2015-01-08",29.19,29.52,29.07,29.44,5590230
"2015-01-15",27.25,27.45,25.5,26.67,13307446
"2015-01-22",27.19,27.8,26.19,27.65,11160362
"2015-01-29",25.97,26.41,25.83,26.32,8446733
"2015-02-05",27.75,28.23,27.7,27.92,5507757
"2015-02-12",29.24,30.03,29.13,29.96,10618515
"2015-02-19",29.09,29.46,29.01,29.28,4848682
"2015-02-26",29.72,30.03,29.58,29.87,3669359
"2015-03-05",29.82,30.25,29.58,30.21,6136095
"2015-03-12",30.77,31.13,30.38,31.05,6592770
"2015-03-19",29.73,29.87,28.93,29.42,12247179
"2015-03-26",29.47,30.07,29.03,29.78,7821469
"2015-04-02",29.95,30.09,29.66,30.01,6893102
"2015-04-09",30.14,30.68,30.02,30.6,4718617
"2015-04-16",30.39,30.62,30.26,30.52,4825621
"2015-04-23",30.59,30.72,30.28,30.5,6804677
"2015-04-30",30.78,31.1,30.4,30.5,6820648
"2015-05-07",30.99,31.33,30.82,31.17,7309256
"2015-05-14",31.96,31.99,31.43,31.81,6407874
"2015-05-21",31.43,31.75,31.3,31.48,5961658
"2015-05-28",31.69,31.96,31.59,31.9,4823162
"2015-06-04",32.01,32.37,31.9,32.26,7954736
"2015-06-11",33.45,33.72,33.34,33.39,7436659
"2015-06-18",33.15,33.27,32.59,33.07,9954313
"2015-06-25",33.25,33.52,33.06,33.25,5647520
"2015-07-02",32.99,32.99,32.59,32.85,4716946
"2015-07-09",32.09,32.38,31.91,32.18,12130240
"2015-07-16",33.86,34.76,33.74,34.76,11587442
"2015-07-23",35.23,35.53,34.78,34.96,6793037
"2015-07-30",34.91,35.22,34.73,35.19,5121329
"2015-08-06",35.51,35.72,34.81,35.1,6287875
"2015-08-13",33.99,34.2,33.67,34.06,4253705
"2015-08-20",32.69,32.75,32.18,32.19,10248583
"2015-08-27",30.15,30.72,29.76,30.36,17284408
"2015-09-03",29.57,30.28,29.35,29.76,10561347
"2015-09-10",30.58,30.93,30.37,30.6,10877777
"2015-09-17",31.11,31.72,29.63,29.78,19399085
"2015-09-24",28.08,28.2,27.51,27.88,13777985
"2015-10-01",28.52,28.64,27.84,28.55,10716143
"2015-10-08",27.95,28.49,27.81,28.33,9136319
"2015-10-15",27.82,28.63,27.73,28.6,7432523
"2015-10-22",28.96,29.61,28.85,29.45,7640565
"2015-10-29",30.94,31.28,30.57,31,9488852
"2015-11-05",31.56,31.8,31.49,31.57,8703844
"2015-11-12",33.09,33.26,32.67,32.79,7914682
"2015-11-19",33.36,33.56,32.95,33.04,6990280
"2015-12-03",33.79,33.84,32.95,32.98,9018356
"2015-12-10",33.01,33.65,32.88,33.26,4641440
"2015-12-17",34.03,34.11,33.08,33.21,7335312
"2015-12-24",33,33.26,32.89,33.05,1464437
"2015-12-31",32.98,33.47,32.7,32.93,6026361
"2016-01-07",29.93,30.21,28.97,29.18,15041365
"2016-01-14",27.88,28.39,26.91,28.12,9824493
"2016-01-21",25.29,25.48,24.36,24.38,27541814
"2016-01-28",25.53,25.7,24.65,24.82,12099398
"2016-02-04",24.31,25.17,24.3,24.97,13893071
"2016-02-11",21.89,22.4,21.51,22.22,22278787
"2016-02-18",24.5,24.59,23.84,24.16,9019197
"2016-02-25",23.74,24.1,23.57,24.09,8114894
"2016-03-03",26.57,27.18,26.28,27.11,9577902
"2016-03-10",26.84,26.88,25.98,26.64,14320375
"2016-03-17",26.66,27.92,26.65,27.67,9625152
"2016-03-24",27.57,28.11,27.4,28.09,6642905
"2016-03-31",28.15,28.33,27.95,28.02,7659790
"2016-04-07",27.44,27.53,26.27,26.39,9126964
"2016-04-14",28.51,28.98,28.39,28.74,8125575
"2016-04-21",29.15,29.46,29,29.13,7311534
"2016-04-28",29.52,29.83,28.93,28.98,6967148
"2016-05-05",27.6,27.74,27.29,27.54,6359830
"2016-05-12",28.01,28.26,27.63,27.94,5654001
"2016-05-19",29.02,29.52,28.54,28.96,8802621
"2016-05-26",30.61,30.68,29.98,30.15,6253982
"2016-06-02",30.64,30.91,30.6,30.84,7579420
"2016-06-09",29.18,29.23,28.64,29.09,8899545
"2016-06-16",28.09,28.54,27.75,28.51,11362494
"2016-06-23",28.86,29.7,28.71,29.69,12661722
"2016-06-30",25.36,25.48,24.82,25.31,18897620
"2016-07-07",24.82,25.35,24.76,25.26,16159197
"2016-07-14",27.12,27.33,26.78,26.92,7718209
"2016-07-21",27.98,27.99,27.74,27.86,11274786
"2016-07-28",28.6,28.8,28.37,28.71,4669872
"2016-08-04",28.32,28.51,28.09,28.49,4772815
"2016-08-11",29.71,30,29.58,29.92,5727900
"2016-08-18",30.08,30.35,29.96,30.19,3517729
"2016-08-25",30.22,30.49,30.14,30.49,5667509
"2016-09-01",31.64,31.85,30.63,30.98,8278303
"2016-09-08",30.82,31.13,30.75,30.92,6000457
"2016-09-15",30.27,31.03,30.17,30.93,9462115
