"","CVS.Open","CVS.High","CVS.Low","CVS.Close","CVS.Volume"
"2014-05-01",72.44,73.28,72.44,73.09,7019823
"2014-05-08",75.73,76.23,75.37,75.86,6199366
"2014-05-15",75.97,76,74.74,75.56,3799932
"2014-05-22",76.64,77.37,76.53,77.21,3546400
"2014-05-29",77.51,77.86,77.07,77.66,3321409
"2014-06-05",77.89,78.86,77.67,78.62,3309837
"2014-06-12",77.14,77.25,75.82,75.98,3777907
"2014-06-19",77.47,77.74,77.32,77.45,4535096
"2014-06-26",75.47,76.06,75.11,75.54,4008430
"2014-07-03",76.42,76.93,76.31,76.83,2040838
"2014-07-10",76.24,76.93,76.04,76.61,2911653
"2014-07-17",76.62,77.01,76.09,76.11,2420024
"2014-07-24",78.34,79.01,78.16,78.89,3798080
"2014-07-31",77.31,77.74,76.36,76.36,4386272
"2014-08-07",77.5,77.63,75.63,76.11,5665668
"2014-08-14",79.06,79.34,78.89,79.3,2696280
"2014-08-21",79.79,79.82,78.93,78.98,2597437
"2014-08-28",79.31,79.6,78.97,79.43,1811393
"2014-09-04",80.43,81.16,80.02,80.31,4924137
"2014-09-11",80.76,81.22,80.75,81.09,3926300
"2014-09-18",81.94,82.13,81.05,81.18,4831012
"2014-09-25",80.58,80.79,79.7,79.84,3899080
"2014-10-02",79.23,80.26,79.02,80.06,6297041
"2014-10-09",82.53,83.2,81.92,81.95,5075729
"2014-10-16",77.7,79.65,77.4,78.81,7354280
"2014-10-23",83.92,84.45,83.43,83.6,3969490
"2014-10-30",84.85,85.95,84.78,85.55,3102657
"2014-11-06",87.6,88.48,87.35,88.43,3994892
"2014-11-13",89.46,90.14,89.4,90.13,3489035
"2014-11-20",89.42,89.71,88.94,89.25,3513149
"2014-12-04",89.52,89.97,89.04,89.84,4144483
"2014-12-11",90.29,91.75,90.2,90.93,4067950
"2014-12-18",95.07,95.53,94.14,95.52,5929409
"2015-01-08",96.87,98,96.84,97.97,6530856
"2015-01-15",97.72,98.05,97.01,97.17,3787475
"2015-01-22",99.93,100.67,99.45,100.28,5184300
"2015-01-29",99.45,100.17,99.21,100.11,4901182
"2015-02-05",100.55,100.96,99.85,100.76,3464336
"2015-02-12",103.02,103.15,101.56,103,5279707
"2015-02-19",104.07,104.25,102.45,102.62,3578420
"2015-02-26",103.5,104.48,103.47,104.17,3497576
"2015-03-05",103.5,103.55,102.68,103.36,3619059
"2015-03-12",101.98,103.17,101.87,102.96,3731893
"2015-03-19",103.58,103.73,103.12,103.34,3383463
"2015-03-26",102.46,102.89,101.78,101.99,4265335
"2015-04-02",101.73,103.27,101.72,102.71,3041484
"2015-04-09",103.04,103.29,101.84,102.37,5609523
"2015-04-16",101.78,101.92,101.02,101.17,4077734
"2015-04-23",100.9,101.23,100.28,100.88,4120790
"2015-04-30",100.42,101.05,99.01,99.29,7990142
"2015-05-07",98.97,99.54,98.5,99.36,3822905
"2015-05-14",100.4,102,100.32,101.96,4289657
"2015-05-21",101.27,104.93,101.1,103.69,7691620
"2015-05-28",103.52,103.72,102.4,103.19,2599861
"2015-06-04",101.2,101.96,100.28,100.87,3896103
"2015-06-11",102.52,103.37,102.36,102.63,3361286
"2015-06-18",104.07,106,104.04,105.06,4827064
"2015-06-25",105.51,106.11,104.37,105.01,5300408
"2015-07-02",105.83,106.22,105.36,105.55,2509665
"2015-07-09",106.01,106.39,105.59,105.7,5564488
"2015-07-16",110.43,110.7,110.04,110.54,2937328
"2015-07-23",111.25,111.64,109.99,110.19,2957610
"2015-07-30",112.69,113.15,112.25,112.94,3920691
"2015-08-06",111.41,111.75,108.09,108.12,6783299
"2015-08-13",108.78,108.87,107.33,107.67,3565195
"2015-08-20",106.4,107.55,106.02,106.02,4734757
"2015-08-27",104.43,105.54,103.05,105.2,6142769
"2015-09-03",101.81,102.83,101.19,101.59,3961926
"2015-09-10",99.98,101.7,99.58,100.8,4130272
"2015-09-17",101.58,102.63,100.37,101.34,4376642
"2015-09-24",99.5,100.49,98.6,99.17,4739600
"2015-10-01",96.49,97.1,95.03,96.91,6343042
"2015-10-08",101.01,102.5,100.5,102.17,5117168
"2015-10-15",100.99,102.49,100.24,102.41,3694208
"2015-10-22",104.02,104.52,103.29,104.29,6147528
"2015-10-29",104.32,104.74,103.56,103.8,6785548
"2015-11-05",99.8,100.34,98.89,99.54,4088447
"2015-11-12",94.21,94.6,92.76,93.12,8031789
"2015-11-19",95.2,95.39,92.13,92.49,6386384
"2015-12-03",94.62,95.19,92.64,92.85,6014007
"2015-12-10",94.91,95.55,94.42,94.74,3513461
"2015-12-17",97.22,97.38,94.71,94.71,6977605
"2015-12-24",98.45,99.26,98.31,98.86,1792989
"2015-12-31",98.62,98.72,97.75,97.77,3442390
"2016-01-07",94.5,95.68,93.92,94.18,6309721
"2016-01-14",94.11,96.34,94.11,95.51,4986030
"2016-01-21",94.55,95.31,93.51,94.48,4845777
"2016-01-28",95.27,95.27,93.08,93.49,4071143
"2016-02-04",95.05,95.55,93.91,94.63,4665628
"2016-02-11",91.83,94.39,91.48,93.87,8796660
"2016-02-18",97.5,97.73,96.38,96.89,4093289
"2016-02-25",97.36,98.43,97.1,98.4,4619638
"2016-03-03",98.4,99.48,98.1,99.38,3655985
"2016-03-10",100.82,100.9,98.61,99.34,4876598
"2016-03-17",101.08,101.49,100.04,101.11,4515632
"2016-03-24",100.69,101.47,100,101.43,3035739
"2016-03-31",104,104.4,103.6,103.73,3922289
"2016-04-07",103.14,103.24,100.44,100.94,4948112
"2016-04-14",101.42,101.62,100.86,101.11,3384757
"2016-04-21",102.51,102.87,101.03,101.22,4018255
"2016-04-28",101.99,102.41,101,101.21,4081828
"2016-05-05",103.9,105.61,103.77,105.15,5279281
"2016-05-12",104.4,105.45,104.22,104.85,3816630
"2016-05-19",101.58,102.11,100.51,100.95,3612522
"2016-05-26",97.47,98,96.66,96.95,6666864
"2016-06-02",96.51,96.79,96.16,96.4,4993120
"2016-06-09",98,98.67,96.75,96.99,6108655
"2016-06-16",95.4,95.8,94.57,95.53,7285636
"2016-06-23",94.44,94.49,93.44,94.02,3862683
"2016-06-30",94.8,95.74,94.36,95.74,4936904
"2016-07-07",96.29,96.43,95.21,95.5,4199056
"2016-07-14",98.21,98.24,97.27,97.46,4816118
"2016-07-21",97,97.12,96.55,96.95,3056521
"2016-07-28",92.67,93.72,92.16,93.39,3857265
"2016-08-04",97.26,97.93,96.27,96.97,4125962
"2016-08-11",97.38,97.67,96.8,97,3870861
"2016-08-18",97.52,97.64,96.84,97.18,3191998
"2016-08-25",96.92,96.97,93.4,93.78,9393798
"2016-09-01",93.56,93.75,93.07,93.37,3274393
"2016-09-08",93.56,93.86,92.28,93.11,7380811
"2016-09-15",89.14,90.22,88.1,90.15,7487204
