"","WYN.Open","WYN.High","WYN.Low","WYN.Close","WYN.Volume"
"2016-05-26",67.52,67.65,66.54,66.62,1138226
"2016-06-02",67.43,68.94,67.21,68.54,1591120
"2016-06-09",68.21,68.54,67.71,68.38,870977
"2016-06-16",67.89,68.95,67.08,68.86,1155842
"2016-06-23",71.18,71.87,70.82,71.86,1105416
"2016-06-30",70.25,71.24,69.72,71.23,982693
"2016-07-07",70.57,71.33,70.46,71.01,840578
"2016-07-14",75.49,75.73,75.08,75.5,885245
"2016-07-21",76.27,76.93,76.03,76.52,1589755
"2016-07-28",70.47,71.73,70.01,71.44,1481331
"2016-08-04",68.77,69.26,68.6,69.04,1066425
"2016-08-11",69.88,70.3,69.26,69.51,1023675
"2016-08-18",70.85,71.33,70.59,71.09,931283
"2016-08-25",70.64,71.33,70.55,71.17,637759
"2016-09-01",70.98,71.5,70.38,70.74,883262
"2016-09-08",70.14,70.26,69.41,69.51,1104014
"2016-09-15",67.13,68.14,66.83,68.05,733568
