"","CELG.Open","CELG.High","CELG.Low","CELG.Close","CELG.Volume"
"2013-09-26",73.07,75.02,73.01,74.94,5930132
"2013-10-03",77.75,77.98,75.23,76.31,5605092
"2013-10-10",75.08,76.52,74.96,76.28,5912062
"2013-10-17",79,80,78.56,80,4446974
"2013-10-24",79.44,80,78.02,78.98,7671696
"2013-10-31",75.9,76.46,73.62,74.24,6583828
"2013-11-07",73.54,74.84,71.05,72.5,11361332
"2013-11-14",74.64,75.37,74.27,75,4821808
"2013-11-21",78.09,79.72,78,79.31,5387234
"2013-12-05",81.66,83,81.13,82.26,6562744
"2013-12-12",82.68,84.16,82.5,82.76,4248898
"2013-12-19",81.15,82.15,81,82.01,4334062
"2013-12-26",83.7,84.92,83.69,84.57,2439356
"2014-01-02",84.5,86.17,84.08,85.97,4759036
"2014-01-09",84.34,85.5,83.65,84.35,3594432
"2014-01-16",82.52,83.8,82.5,83.8,4547658
"2014-01-23",84.47,84.9,83.39,84.28,5648070
"2014-01-30",80.08,80.42,75.06,76.99,13675864
"2014-02-06",75.6,76.4,74.52,74.96,7370266
"2014-02-13",80,82.8,80,82.37,7245110
"2014-02-20",81.72,81.9,80.3,81.79,4716856
"2014-02-27",80.18,81.03,79.32,80.84,5432980
"2014-03-06",82.14,82.6,77.89,78.3,10894616
"2014-03-13",79.04,79.98,77.38,78,5820686
"2014-03-20",75.84,76.17,74.68,75,5379888
"2014-03-27",71,71.84,69.85,71.11,8530696
"2014-04-03",73.76,73.86,71.06,71.8,8237664
"2014-04-10",73.86,73.96,69.22,69.99,11942572
"2014-04-17",70.99,72.04,70.14,70.76,5949532
"2014-04-24",71,71.24,68.38,70.62,8831118
"2014-05-01",73.62,74.95,72.92,74.4,5051908
"2014-05-08",72.48,73.88,71.97,72.06,5211074
"2014-05-15",75.94,76.39,74,74.42,5968550
"2014-05-22",74,75.89,74,75.23,4008938
"2014-05-29",76,76.78,75.62,76.63,5047326
"2014-06-05",80,81.04,79.06,80.86,6811066
"2014-06-12",80.59,80.66,79.77,80.11,3338102
"2014-06-19",81.6,84.24,81.6,84.15,8676154
"2014-06-26",86.69,86.93,84.57,86.62,3183732
"2014-07-03",90.18,90.5,88.97,90.19,4353960
"2014-07-10",86.02,88.8,85.85,87.83,3813979
