"","ED.Open","ED.High","ED.Low","ED.Close","ED.Volume"
"2015-01-08",67.26,67.77,67.07,67.48,2030596
"2015-01-15",67.59,68.54,67.28,68.37,1801053
"2015-01-22",70.66,70.95,69.73,70.05,1990772
"2015-01-29",70.79,71.54,70.15,71.4,2101485
"2015-02-05",68.62,68.91,67.95,68.81,1489347
"2015-02-12",66.01,66.16,65.36,65.61,3100053
"2015-02-19",65.45,65.6,64.37,64.8,2532865
"2015-02-26",63.81,64.1,63,63.06,1833592
"2015-03-05",62.09,62.49,61.81,62.32,1185228
"2015-03-12",60,61.66,60,61.4,2768417
"2015-03-19",61.8,62,60.71,60.84,3767799
"2015-03-26",60.6,60.93,58.65,58.8,5895214
"2015-04-02",61.07,61.34,60.82,60.95,1985742
"2015-04-09",60.51,60.54,59.91,60.26,1715025
"2015-04-16",60.69,61.03,60.15,60.91,1756605
"2015-04-23",61.57,62.4,61.43,62.1,1570227
"2015-04-30",62,62,60.92,61.55,3625610
"2015-05-07",61.12,61.96,60.98,61.24,2599520
"2015-05-14",60.66,61.21,60.48,61.1,1843718
"2015-05-21",61.38,61.62,61.06,61.37,1237578
"2015-05-28",61.38,61.84,61.32,61.81,2051545
"2015-06-04",59.5,60.08,59.5,59.69,1690874
"2015-06-11",58.16,58.42,57.83,58.04,2239588
"2015-06-18",58.29,59.35,58.29,59.2,3151939
"2015-06-25",57.97,57.99,57.4,57.5,2648689
"2015-07-02",58.57,59.29,58.57,59.14,1878457
"2015-07-09",61.28,61.38,60.18,60.49,1869092
"2015-07-16",60.98,61.81,60.83,61.72,1599956
"2015-07-23",62.06,62.17,60.48,61.15,2788353
"2015-07-30",62.14,63.35,62.01,63.15,1904149
"2015-08-06",63.38,63.73,62.64,63.72,2838069
"2015-08-13",66.3,67.12,65.76,66.92,1944079
"2015-08-20",66.52,67.31,66.35,66.82,1761059
"2015-08-27",63.83,64.13,63.18,63.9,2377509
"2015-09-03",61.86,62.22,61.62,61.88,1269875
"2015-09-10",61.37,62.08,61.28,61.57,1640323
"2015-09-17",63.61,65.31,63.39,64.51,1955807
"2015-09-24",65.38,66.18,65.38,65.95,2457815
"2015-10-01",66.93,66.99,65.36,65.63,2593290
"2015-10-08",65.2,66.3,65.02,66.27,1646108
"2015-10-15",65.69,66.61,65.41,66.47,1563633
"2015-10-22",67.19,67.94,67.01,67.78,1215920
"2015-10-29",66.05,66.28,64.83,65.34,1886865
"2015-11-05",65.72,66.19,65.21,65.35,2220458
"2015-11-12",62.9,63.42,62.16,62.54,1587542
"2015-11-19",63.04,63.55,62.79,63.19,2708897
"2015-12-03",61.28,61.28,60.3,60.5,2939057
"2015-12-10",62.87,62.99,60.96,61.15,2782230
"2015-12-17",64.17,64.72,63.69,64.22,1847090
"2015-12-24",64.63,64.92,64.58,64.75,536774
"2015-12-31",65.19,65.25,63.8,64.27,1183256
"2016-01-07",64.54,65.96,64.5,65.72,3372863
"2016-01-14",66.56,67.99,66.08,67.62,3882814
"2016-01-21",68.25,68.98,66.2,67.69,4585663
"2016-01-28",68.24,69.63,67.65,69.15,1422848
"2016-02-04",71.43,71.84,70.73,71.53,1745645
"2016-02-11",73.39,73.68,72.08,72.15,2476485
"2016-02-18",70.03,71.98,69.85,71.31,2794400
"2016-02-25",71.67,72.49,71.43,72.45,1413402
"2016-03-03",70.51,70.63,69.3,70.63,2054797
"2016-03-10",73.01,73.45,72.42,73.06,1297812
"2016-03-17",74.48,75.6,74.17,75.48,2440173
"2016-03-24",75.31,75.92,75.06,75.56,1229049
"2016-03-31",76.55,77.02,76.07,76.62,2714660
"2016-04-07",75.31,76.28,75.28,75.97,1532675
"2016-04-14",75.12,75.45,74.86,75.28,1309770
"2016-04-21",73.27,73.63,70.73,71.1,3750795
"2016-04-28",73.09,74.26,72.72,74.26,1695022
"2016-05-05",75.95,76.76,75.11,75.58,2004675
"2016-05-12",74.5,75.22,73.79,74.96,3059856
"2016-05-19",71.09,71.86,70.31,71.83,2109500
"2016-05-26",71.87,72.83,71.86,72.73,1144429
"2016-06-02",73.56,73.74,72.94,73.64,1691366
"2016-06-09",75.41,76.67,75.41,76.54,1585868
"2016-06-16",77.39,78.33,77.32,77.95,2442329
"2016-06-23",77.11,77.11,76.3,76.86,1574012
"2016-06-30",79.18,80.44,78.91,80.44,2222111
"2016-07-07",81.27,81.35,79.72,79.99,2367230
"2016-07-14",78.78,79.26,78.62,79.12,1660982
"2016-07-21",78.91,79.89,78.34,79.89,1928880
"2016-07-28",79.43,80.06,79.12,79.88,922531
"2016-08-04",79.03,79.4,78.53,78.79,1360837
"2016-08-11",78.09,78.42,77.85,78.39,1427653
"2016-08-18",76.17,77.51,76.17,77.38,2718602
"2016-08-25",76.4,76.89,76.13,76.45,1221947
"2016-09-01",75.15,75.25,74.71,74.88,1023607
"2016-09-08",75.81,76.27,75.46,75.87,1484794
"2016-09-15",74.16,74.72,73.79,74.56,1410793
