"","DLPH.Open","DLPH.High","DLPH.Low","DLPH.Close","DLPH.Volume"
"2016-01-28",67.11,67.98,64.11,64.14,2740547
"2016-02-04",61.01,62.54,57,62.23,3576420
"2016-02-11",57.59,60.41,57.39,58.63,3476865
"2016-02-18",66.18,67.15,64.98,65.37,2519730
"2016-02-25",63.81,66.72,63.57,66.68,2882371
"2016-03-03",69.15,70.95,68.85,70.79,2409417
"2016-03-10",69.24,69.39,67.16,68.37,2747772
"2016-03-17",72.41,73.35,71.87,73.1,2659896
"2016-03-24",71.85,72.59,70.95,72.37,2319879
"2016-03-31",74.91,75.87,74.63,75.02,2006139
"2016-04-07",71.56,72.87,70.86,71.2,3193028
"2016-04-14",76.59,77.7,75.57,77.19,2707862
"2016-04-21",76.84,77.31,75.89,76,1630287
"2016-04-28",76,76.19,73.88,74.99,1859463
"2016-05-05",70.71,71.07,69.3,69.31,2968900
"2016-05-12",70.94,71.24,69.5,69.67,1328530
"2016-05-19",67,67.43,65.62,65.86,2221710
"2016-05-26",67.93,68.36,66.54,67.19,2002990
"2016-06-02",67.02,68.38,66.75,68.34,2233597
"2016-06-09",68.38,69.05,67.95,68.93,1282593
"2016-06-16",65.18,66.31,64.19,66.24,1658001
"2016-06-23",69.99,70.73,69.64,70.71,1737989
"2016-06-30",63,63.61,62.09,62.6,3170392
"2016-07-07",61.1,62.88,61.06,62.69,3121061
"2016-07-14",68,68.13,67.15,67.17,1616899
"2016-07-21",68.55,69.51,68.42,68.76,1904990
"2016-07-28",67.03,67.91,65.46,67.67,3673150
"2016-08-04",64.38,64.55,63.44,63.49,3091333
"2016-08-11",65.72,65.93,65.34,65.35,1320066
"2016-08-18",65.02,65.49,64.64,65.07,1558543
"2016-08-25",68.11,68.94,67.32,68.65,2913259
"2016-09-01",71.01,72.13,69.84,70.3,3334482
"2016-09-08",70.03,70.8,69.96,70.67,1620548
"2016-09-15",68.82,69.31,68.12,69.11,1726802
