"","MKC.Open","MKC.High","MKC.Low","MKC.Close","MKC.Volume"
"2014-05-22",70.63,70.8,70.31,70.71,304429
"2014-05-29",71.3,72.18,71.26,72.11,278742
"2014-06-05",72.95,72.95,72.5,72.92,411283
"2014-06-12",72.13,72.13,71.62,71.84,236068
"2014-06-19",72.73,72.99,72.11,72.49,427085
"2014-06-26",70.35,70.53,68.41,70.27,980646
"2014-07-03",70.96,71.23,70.7,71.03,429977
"2014-07-10",70.08,70.51,70.08,70.43,339443
"2014-07-17",69.85,69.87,69.25,69.35,422456
"2014-07-24",69.61,69.66,69.25,69.37,402458
"2014-07-31",67.05,67.17,65.72,65.78,830949
"2014-08-07",67.51,67.69,66.93,67.01,450434
"2014-08-14",68.46,68.79,68.32,68.75,231939
"2014-08-21",69.45,70.25,69.44,69.81,370780
"2014-08-28",69.43,69.56,69.2,69.48,425516
"2014-09-04",69.44,69.73,68.98,69.15,284605
"2014-09-11",68.71,68.94,68.53,68.93,231882
"2014-09-18",68.29,68.52,67.76,68.49,412239
"2014-09-25",66.94,67.05,65.91,66.12,591678
"2014-10-02",68,69.85,65.78,67.5,3522015
"2014-10-09",68.26,68.78,67.64,67.72,880563
"2014-10-16",65.63,66.41,65.44,66.16,602457
"2014-10-23",68.57,68.77,68.14,68.23,351176
"2014-10-30",68.97,70.15,68.94,69.86,449417
"2014-11-06",72.6,72.99,72.42,72.87,755250
"2014-11-13",73.3,73.66,73.11,73.26,394081
"2014-11-20",72.51,72.78,72.31,72.35,526950
"2014-12-04",73.4,73.67,72.77,73.04,379261
"2014-12-11",72.63,73.68,72.63,73.28,525039
"2014-12-18",73.5,74.28,73.35,74.28,669128
"2015-01-08",74.58,75.64,74.48,75.52,402874
"2015-01-15",74.25,74.6,73.73,73.92,726175
"2015-01-22",75.41,75.53,74.54,75.18,796490
"2015-01-29",71.86,72.66,70.71,72.6,1070995
"2015-02-05",73.8,74.01,73.42,73.92,467102
"2015-02-12",73.72,74.34,73.6,74.31,460533
"2015-02-19",75.63,75.74,75.09,75.29,372079
"2015-02-26",75.47,75.66,75.03,75.38,316838
"2015-03-05",75.15,75.15,74.12,74.73,426621
"2015-03-12",71.46,72.98,71.35,72.94,926494
"2015-03-19",72.43,72.66,71.87,72.4,480249
"2015-03-26",76.17,77.22,75.92,76.85,1186815
