"","RJF.Open","RJF.High","RJF.Low","RJF.Close","RJF.Volume"
"2014-07-17",49.17,49.63,49.11,49.5,780229
"2014-07-24",53.54,53.55,50.86,51.46,1766862
"2014-07-31",51.96,51.96,50.77,50.95,929297
"2014-08-07",50.73,50.86,49.85,50.01,428910
"2014-08-14",52.11,52.21,51.81,52.11,301714
"2014-08-21",53.24,54.11,53.15,54.02,756634
"2014-08-28",54.11,54.64,53.65,54.35,368969
"2014-09-04",54.93,55.27,54.61,54.88,691852
"2014-09-11",54.5,54.78,54.26,54.52,905708
"2014-09-18",55.6,56.61,55.36,56.07,768814
"2014-09-25",54.73,54.84,53.95,54.28,912319
"2014-10-02",52.17,52.82,51.82,52.71,526581
"2014-10-09",52.18,52.5,50.96,51.16,1212987
"2014-10-16",48.49,50.08,48.36,49.86,1271442
"2014-10-23",52.76,53.08,52.34,52.87,527972
"2014-10-30",55,55.8,53.92,55.17,1256880
"2014-11-06",56.75,56.93,56.47,56.87,353805
"2014-11-13",57.1,57.32,56.48,56.78,497713
"2014-11-20",55.38,55.56,54.74,55.49,834439
"2014-12-04",56.55,56.89,56.16,56.68,421757
"2014-12-11",56.66,57.08,56.23,56.34,430258
"2014-12-18",55.92,56.77,55.8,56.65,806554
"2015-01-08",55.25,55.68,54.91,55.65,476669
"2015-01-15",52.91,53.18,51.94,51.95,625384
"2015-01-22",52.85,54.74,51.75,54.41,1094630
"2015-01-29",52.72,53.44,52.48,53.28,595096
"2015-02-05",54.95,55.48,54.68,55.22,291419
"2015-02-12",56.75,57.41,56.37,57.41,588384
"2015-02-19",55.98,56.48,55.82,56.13,548657
"2015-02-26",57.17,57.51,56.67,57.12,708235
"2015-03-05",57.86,58.09,57.56,58.05,368329
"2015-03-12",59.26,59.77,58.78,59.65,498070
"2015-03-19",57.92,58.09,57.1,57.42,867964
"2015-03-26",56.23,56.83,55.83,56.68,486663
"2015-04-02",56.52,57.06,56.26,57,351889
"2015-04-09",56.94,57.26,56.7,56.75,768886
"2015-04-16",57.16,57.76,56.65,57.34,707112
"2015-04-23",56.86,57.77,56.34,57.56,959410
"2015-04-30",57.37,57.59,56.42,56.53,862903
"2015-05-07",57.21,58.11,57.18,57.82,719383
"2015-05-14",57.95,58.35,57.59,58.33,458613
"2015-05-21",58.4,58.79,58.1,58.67,363793
"2015-05-28",58.33,58.74,58.11,58.74,350590
"2015-06-04",58.99,59.13,58.67,59.02,514782
"2015-06-11",60.41,60.65,60.19,60.45,472269
"2015-06-18",59.85,60.38,59.61,60.26,591049
"2015-06-25",60.75,61.32,60.64,60.77,472764
"2015-07-02",60,60.11,59.22,59.73,560483
"2015-07-09",57.95,58.16,57.56,57.65,577652
"2015-07-16",60.56,61.3,60.43,61.18,659565
"2015-07-23",61.31,61.82,59.48,59.81,850169
"2015-07-30",59.12,59.72,58.94,59.69,476137
"2015-08-06",59.55,59.71,58.5,58.85,400811
"2015-08-13",57.48,58.23,57.29,57.87,450844
"2015-08-20",56.57,56.64,55.37,55.46,1098778
"2015-08-27",52.83,53.92,52.61,53.69,1393793
"2015-09-03",51.94,52.57,51.51,51.69,838317
"2015-09-10",51.47,52.76,51.47,52.33,667402
"2015-09-17",52.91,53.15,51.4,51.55,990738
"2015-09-24",49,49.3,48.78,49.15,871222
"2015-10-01",49.5,49.9,49.01,49.85,1171633
"2015-10-08",50.57,51.65,50.52,51.17,1106013
"2015-10-15",50.59,52.06,50.4,51.96,1455175
"2015-10-22",51.05,52.92,50.81,52.66,695311
"2015-10-29",55.75,56.42,55.41,55.66,612397
"2015-11-05",56.58,57.07,56.39,56.81,480762
"2015-11-12",57.19,57.36,56.66,56.79,639912
"2015-11-19",57.6,57.6,56.25,56.96,1103612
"2015-12-03",59.13,59.21,57.75,58.08,977022
"2015-12-10",57.69,58.48,57.46,57.95,889550
"2015-12-17",59.2,59.35,58.72,58.96,1285407
"2015-12-24",58.49,58.77,58.04,58.2,590033
"2015-12-31",58.09,58.75,57.75,57.97,1068099
"2016-01-07",53.03,53.38,51.86,52.02,1687080
"2016-01-14",48.84,49.86,47.81,49.39,1318023
"2016-01-21",44.52,46.41,44.11,44.69,3046885
"2016-01-28",43.85,44.01,42.57,42.72,1529217
"2016-02-04",41.42,43.56,41.42,43.27,2308865
"2016-02-11",40.58,40.83,39.84,40.43,1942143
"2016-02-18",43.5,43.64,42.53,43.22,1617826
"2016-02-25",42.97,44.14,42.9,44.1,1019288
"2016-03-03",45.96,46.62,45.71,46.32,858660
"2016-03-10",45.77,46.12,44.66,45.5,490765
"2016-03-17",46.1,47.52,45.35,47.2,1058737
"2016-03-24",47,47.02,46.07,46.9,590333
"2016-03-31",47.66,47.89,47.35,47.61,914696
"2016-04-07",46.76,46.76,44.22,44.48,1174182
"2016-04-14",48.32,48.99,47.83,48.45,574124
"2016-04-21",51.71,54.51,51.6,53.22,2933641
"2016-04-28",53.28,53.86,52.55,52.87,740334
"2016-05-05",51.13,51.36,50.36,51.01,593666
"2016-05-12",51.61,52.02,50.67,51.29,852604
"2016-05-19",52.25,52.68,50.9,51.57,632331
"2016-05-26",54.3,54.5,53.81,54.48,631810
"2016-06-02",55.93,56.58,55.92,56.58,719707
"2016-06-09",54.84,54.84,53.99,54.23,894414
"2016-06-16",51.46,52,50.82,51.97,542252
"2016-06-23",53.62,54,53.33,53.98,649157
"2016-06-30",48.57,49.32,48.02,49.3,1679048
"2016-07-07",47.93,48.96,47.93,48.94,1166025
"2016-07-14",52.38,52.62,52.06,52.18,710953
"2016-07-21",53.68,54.66,53.28,53.67,1008053
"2016-07-28",54.57,55.07,54.21,54.91,430859
"2016-08-04",54.35,54.6,54.02,54.35,391567
"2016-08-11",55.99,56.34,55.63,56.17,447564
"2016-08-18",56.44,56.65,56.12,56.26,552172
"2016-08-25",56,56.66,56,56.59,470874
"2016-09-01",58.29,58.44,56.96,57.66,516030
"2016-09-08",57.98,58.45,57.84,58.02,490017
"2016-09-15",56.52,57.61,56.52,57.39,537174
