"","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume"
"2014-06-19",185.96,186.88,183.98,185.29,899972
"2014-06-26",187.48,188.95,187.41,188.09,1031399
"2014-07-03",189.41,190.24,188.46,190,486095
"2014-07-10",188.19,189.83,187.25,188.99,842331
"2014-07-17",188.28,190.49,188.02,188.71,1127621
"2014-07-24",193.52,194.8,191.66,193.58,1446584
"2014-07-31",193.15,195.89,191.47,191.86,2543331
"2014-08-07",190.75,190.97,185.84,186.58,1437189
"2014-08-14",190.42,192.31,190.42,192.14,809977
"2014-08-21",193.86,194.42,192.95,193.45,693839
"2014-08-28",191.33,193.38,191.33,193.05,590452
"2014-09-04",195.4,197,194.83,195.66,988558
"2014-09-11",195.15,195.55,193.02,193.67,1034398
"2014-09-18",195.61,197,195.01,196,562613
"2014-09-25",196.52,196.74,193.55,194.01,625817
"2014-10-02",192.79,196.22,192.41,194.85,954413
"2014-10-09",199.59,199.97,195.76,195.82,1235040
"2014-10-16",181.66,187.39,181.56,185.32,1616429
"2014-10-23",198.15,199.93,197.3,198.75,984859
"2014-10-30",198.69,204.29,197.82,203.48,1262891
"2014-11-06",202.09,203.17,200.45,202.66,669044
"2014-11-13",202.67,205,202.67,204.82,867392
"2014-11-20",204.72,207.15,203.64,205,854285
"2014-12-04",211.73,212.75,209.9,211.82,597626
"2014-12-11",209.44,212.11,209.01,209.59,730585
"2014-12-18",207.75,211.97,207.08,211.97,1062632
"2015-01-08",216.2,218.05,215.01,217.2,1665221
"2015-01-15",213.63,214.31,211.21,211.3,974830
"2015-01-22",215,219,213.18,218.89,942603
"2015-01-29",217.55,219.75,216.35,219.53,1112586
"2015-02-05",212.47,217.29,212.34,215.86,2398809
"2015-02-12",225,225,222.95,224.77,680624
"2015-02-19",225.27,227.03,224.25,225.35,651041
"2015-02-26",228.96,231.23,228.5,229.46,1379117
"2015-03-05",228.74,230.02,227.93,229.2,614450
"2015-03-12",223.39,225.34,223.32,225.08,559587
"2015-03-19",228.72,228.95,224.37,225.75,1549860
"2015-03-26",225.14,229.22,223.62,226.05,1297010
"2015-04-02",222.6,224.92,222.06,223.52,736217
"2015-04-09",222.57,224.48,221.68,223.28,1142208
"2015-04-16",226,227.6,224.86,226.57,835492
"2015-04-23",229.65,230.26,227.45,229.11,1635251
"2015-04-30",225.72,228.7,222.72,223.4,1317292
"2015-05-07",223.1,224.92,222.49,223.82,798040
"2015-05-14",234.05,239.58,233.82,239.48,1462911
"2015-05-21",241.01,241.42,238.46,239.44,1361376
"2015-05-28",238.34,239.6,237.31,237.84,832260
"2015-06-04",235.94,237.06,234.02,234.72,650312
"2015-06-11",237.8,238.99,237.06,237.61,798750
"2015-06-18",233.41,236.44,233.28,236.04,1299805
"2015-06-25",230.75,232.13,228.82,229.33,1472279
"2015-07-02",226.79,227.15,223,224.26,923141
"2015-07-09",227.39,228.06,226.25,226.9,1255421
"2015-07-16",236.31,236.86,234.21,235.02,832261
"2015-07-23",235.06,235.09,229.01,229.48,1283770
"2015-07-30",221.48,222.81,215.6,217.36,4628298
"2015-08-06",223.33,223.6,218.23,218.39,1179905
