"","NEM.Open","NEM.High","NEM.Low","NEM.Close","NEM.Volume"
"2015-11-12",17.37,17.87,17.08,17.33,7340508
"2015-11-19",17.8,18.11,17.64,18.05,6772176
"2015-12-03",18.09,18.94,18.03,18.73,8867999
"2015-12-10",19.5,19.79,19.42,19.43,4774499
"2015-12-17",18.44,18.44,17.5,17.61,9910891
"2015-12-24",18.29,18.61,18.23,18.54,2068276
"2015-12-31",17.72,18.05,17.67,17.99,4189221
"2016-01-07",18.8,19.11,18.22,18.86,12351449
"2016-01-14",17.17,17.6,16.93,17.27,7699502
"2016-01-21",16.47,16.77,16.05,16.69,6534305
"2016-01-28",19.25,19.75,18.72,19.53,10090757
"2016-02-04",22.89,24.15,22.78,23.38,19570896
"2016-02-11",26,26.1,24.82,25.04,20226787
"2016-02-18",24.21,25.33,23.12,25.07,14697021
"2016-02-25",25.31,25.94,25.03,25.85,9887831
"2016-03-03",26.26,27.13,26.16,26.82,8799567
"2016-03-10",26.15,27.62,25.99,27.35,11884659
"2016-03-17",27.84,28.39,27.4,27.46,9867866
"2016-03-24",25.14,25.49,24.59,25.4,8570678
"2016-03-31",26.97,27.1,26.42,26.58,5122434
"2016-04-07",28.12,28.55,27.93,27.96,8726553
"2016-04-14",29.52,29.64,28.26,28.68,8800236
"2016-04-21",30.96,32.58,30.96,32.19,12779604
"2016-04-28",32.18,33.6,32.17,32.99,8554285
"2016-05-05",32.75,33.3,32.37,32.86,6033078
"2016-05-12",34.04,34.23,33.03,33.21,6570509
"2016-05-19",32.53,34.35,32.37,34.14,10223254
"2016-05-26",32.79,33.08,32.08,32.45,7031307
"2016-06-02",32.27,32.69,31.68,32.35,7453320
"2016-06-09",35.48,35.96,35.3,35.9,6228142
"2016-06-16",37.33,37.39,35.36,35.61,9762969
"2016-06-23",35.41,35.87,35.09,35.39,5107619
"2016-06-30",38.23,39.24,37.76,39.12,8520005
"2016-07-07",40.79,41.27,40.24,40.96,9383516
"2016-07-14",40.16,41.68,39.93,41.62,7146424
"2016-07-21",40.29,40.87,39.76,40.52,9353764
"2016-07-28",42.45,42.81,41.77,42.67,6206952
"2016-08-04",45.09,45.44,44.84,44.91,5411650
"2016-08-11",45.69,45.91,45.2,45.43,4913008
"2016-08-18",44.33,44.7,43.84,44.43,4809563
"2016-08-25",39.91,40.97,39.59,40.16,8047920
"2016-09-01",38.03,39.44,37.62,39.43,7784101
"2016-09-08",41.97,42.69,41.47,41.59,4776771
"2016-09-15",38.38,39.4,38.23,39.2,7327096
