"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume"
"2016-02-29",132,133.36,130.9,131.03,4376341
"2016-03-01",132.24,134.64,132.03,134.37,3786328
"2016-03-02",133.7,137.44,133.22,136.3,5168887
"2016-03-03",137.22,137.96,136.07,137.8,5146815
"2016-03-04",137.54,139.42,137.02,137.8,3966935
"2016-03-07",137.28,140.51,136.87,140.15,5161376
"2016-03-08",139.71,140.35,137.42,139.07,5539956
"2016-03-09",139.31,142.17,139.23,140.41,4378456
"2016-03-10",141.24,141.47,138.09,140.19,4018224
"2016-03-11",141.73,142.92,140.51,142.36,4354954
"2016-03-14",142.01,143.19,141.04,142.78,4047559
"2016-03-15",141.74,143.33,141.54,142.96,3707538
"2016-03-16",142.62,144.88,142.11,144.79,4200019
"2016-03-17",144.78,147.32,144.45,147.04,5820336
"2016-03-18",147.4,147.51,145.51,147.09,12081614
"2016-03-21",147.3,148.71,146.72,148.63,3714259
"2016-03-22",148.06,149.28,147.84,148.1,4054809
"2016-03-23",148,148.03,145.13,145.4,4753828
"2016-03-24",144.98,148.22,144.49,147.95,5042895
"2016-03-28",147.75,148.65,147.23,148.4,3260841
"2016-03-29",147.59,149.76,147.5,149.33,3127103
"2016-03-30",149.95,150.41,148.32,148.41,3324850
"2016-03-31",149.79,153.1,149.36,151.45,6775712
"2016-04-01",150.51,152.96,150.25,152.52,3919972
"2016-04-04",152.34,153.52,151.91,152.07,3901552
"2016-04-05",151.43,151.6,149.65,150,3334931
"2016-04-06",149.9,150.15,147.81,150.02,4179157
"2016-04-07",149.07,149.6,148,148.25,3651838
"2016-04-08",149.06,149.99,148.12,149.35,3293391
"2016-04-11",150.26,151.95,149.22,149.25,3832395
"2016-04-12",149.61,150.11,148.58,149.63,3592693
"2016-04-13",150.75,151.23,149.63,151.23,3167304
"2016-04-14",151.5,152.76,150.38,151.16,3163867
"2016-04-15",151.04,152.1,150.96,151.72,3526272
"2016-04-18",151.75,153.14,151.49,152.53,5911265
"2016-04-19",146.47,146.95,142.61,144,13149148
"2016-04-20",144.24,147.2,144,146.11,6721442
"2016-04-21",146.58,150.12,146.46,149.3,5992604
"2016-04-22",149.44,151,147.5,148.5,5190627
"2016-04-25",148.16,148.9,147.11,148.81,2845511
"2016-04-26",148.65,149.79,147.9,149.08,2978004
"2016-04-27",149.35,150.78,148.97,150.47,3086611
"2016-04-28",149.75,150.18,146.72,147.07,3771853
"2016-04-29",146.49,147.34,144.19,145.94,4217744
"2016-05-02",146.56,147,144.43,145.27,3499020
"2016-05-03",144.65,144.9,142.9,144.13,3558829
"2016-05-04",143.36,145,143.31,144.25,2575776
"2016-05-05",145.95,147.3,145.45,146.47,6492015
"2016-05-06",144.86,147.97,144.47,147.29,4882514
"2016-05-09",147.7,148.2,147.01,147.34,4298800
"2016-05-10",148.24,150.04,147.74,149.97,3982554
"2016-05-11",149.71,151.09,148.74,148.95,3075213
"2016-05-12",149.21,149.39,147.11,148.84,3247675
"2016-05-13",148.79,149.86,147.42,147.72,2372098
"2016-05-16",147.65,149.99,147.44,149.46,3061873
"2016-05-17",149.21,149.5,147.29,148,3489779
"2016-05-18",147.99,148.52,146.36,147.34,2482097
"2016-05-19",146.48,146.93,143.96,144.93,3618752
"2016-05-20",145.71,147.51,145.55,147.25,3576766
"2016-05-23",147.61,147.95,146.66,146.77,2088554
"2016-05-24",146.88,148.75,146.88,148.31,2827106
"2016-05-25",148.93,152.09,148.5,151.69,4347009
"2016-05-26",151.55,152.51,151.05,152.44,3042788
"2016-05-27",152.35,152.93,152.15,152.84,2456289
"2016-05-31",152.56,153.81,152.27,153.74,5836645
"2016-06-01",153,153.27,151.54,152.51,2663419
"2016-06-02",152.59,153.5,152.12,153.5,2642601
"2016-06-03",152.4,153.04,151.7,152.89,2328256
"2016-06-06",153.09,153.95,152.34,152.73,2378662
"2016-06-07",153.31,153.93,152.66,153.33,4464985
"2016-06-08",153.53,154.09,153.04,154,2935036
"2016-06-09",152.92,153.76,152.73,153.42,2021796
"2016-06-10",152.79,153.33,151.86,152.37,3120563
"2016-06-13",151.63,152.5,150.28,151.28,3610407
"2016-06-14",151.28,151.79,150.4,151.06,2865833
"2016-06-15",151.46,151.79,150.6,150.68,2260406
"2016-06-16",150.19,151.3,149,151.06,2449064
"2016-06-17",150.96,152.72,150.6,151.99,4663870
"2016-06-20",152.6,154.67,152.52,153.61,3572102
"2016-06-21",154.16,154.57,153.69,154.05,2760344
"2016-06-22",153.75,154.71,152.27,152.92,2833664
"2016-06-23",153.45,155.48,152.6,155.35,3969369
"2016-06-24",149.97,150.61,146.18,146.59,9082793
"2016-06-27",146.18,146.6,142.5,143.5,5166665
"2016-06-28",144.78,145.73,144.22,145.7,3997694
"2016-06-29",146.5,148.48,146.45,148.46,3367736
"2016-06-30",148.86,151.91,148.67,151.78,3967126
"2016-07-01",152.19,152.97,151.4,152.35,2658280
"2016-07-05",151.19,152,150.76,151.68,2465240
"2016-07-06",151.85,152.41,149.92,152.37,2569393
"2016-07-07",152.75,153.69,151.89,152.6,2138421
"2016-07-08",154,154.6,153.08,154.46,3040593
"2016-07-11",154.6,156.04,154.5,155.33,2833712
"2016-07-12",156,157.12,155.52,157.04,3843793
"2016-07-13",157.75,158.34,157.06,158.02,2746439
"2016-07-14",158.81,161.4,158.58,160.28,4637644
"2016-07-15",159.9,159.98,158.5,159.78,4476810
"2016-07-18",159.3,160.75,158.73,159.86,6729685
"2016-07-19",161.78,162.14,157.89,159.58,7120017
"2016-07-20",159.97,161.71,159.6,161.36,4376286
"2016-07-21",160.75,161.85,159.89,160.45,4048975
"2016-07-22",160.78,162.17,160.48,162.07,2520077
"2016-07-25",162,162.88,161.75,162.65,2804578
"2016-07-26",162.65,163.6,161.37,162.12,2894559
"2016-07-27",162.12,162.57,161.18,161.83,2162680
"2016-07-28",161.38,161.81,160.71,161.37,2340369
"2016-07-29",161.36,161.67,160.03,160.62,3547546
"2016-08-01",160.65,161.65,159.84,161.45,2823588
"2016-08-02",161.27,161.45,160.36,160.58,3080899
"2016-08-03",160.13,160.86,159.8,160.67,2861659
"2016-08-04",160.86,161.7,160.12,161.55,2489068
"2016-08-05",162,163.51,161.57,163.5,3812370
"2016-08-08",162.73,163.27,161.58,162.04,3039306
"2016-08-09",162.22,162.77,161.64,161.77,2737530
"2016-08-10",162.19,162.66,161.96,162.08,2466675
"2016-08-11",162.25,164.95,162.18,163.53,8768585
"2016-08-12",163.19,163.46,161.52,161.95,2543079
"2016-08-15",162.4,162.97,161.78,161.88,2970415
"2016-08-16",161.11,161.93,160.69,160.7,2210229
"2016-08-17",160.97,161.16,159.84,160.44,3225919
"2016-08-18",160.89,162,160.44,161.36,3652013
"2016-08-19",160.84,160.91,159.52,160.04,2815184
"2016-08-22",160,160.57,159.13,160,2039331
"2016-08-23",160.33,161.34,160.23,160.26,2838137
"2016-08-24",159.89,160.18,158.32,159.05,3645837
"2016-08-25",159,159.54,158.42,158.63,2575023
"2016-08-26",158.88,160.44,157.85,158.32,2498909
"2016-08-29",158.83,160.21,158.5,159.72,2475879
"2016-08-30",159.76,160.15,158.81,159.4,1813343
"2016-08-31",159.66,159.66,158.26,158.88,2323649
