"","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume"
"2013-11-21",53.9,54.41,53.5,53.76,450680
"2013-12-05",52.14,52.44,51.63,52,306302
"2013-12-12",51.16,51.62,50.66,50.8,938130
"2013-12-19",51.86,52.38,51.35,51.9,1546498
"2013-12-26",53.08,53.26,52.83,52.86,411676
"2014-01-02",53,53.74,52.32,52.52,855188
"2014-01-09",54.18,54.54,53.74,54.49,329404
"2014-01-16",56,56.38,55.68,56.26,577848
"2014-01-23",56.98,57.46,56.8,57.3,528460
"2014-01-30",56.16,57.08,55.66,56.88,877486
"2014-02-06",58.4,58.9,57.7,58.52,860768
"2014-02-13",60.9,62.11,59.54,62.04,410518
"2014-02-20",62.61,63.42,62.11,63.16,522816
"2014-02-27",63.1,63.42,62.46,63.18,488946
"2014-03-06",63.19,63.72,62.89,63.34,703534
"2014-03-13",64.28,64.28,63.02,63.04,435120
"2014-03-20",61.94,62.08,61.44,61.77,526222
"2014-03-27",60.84,61.26,60.1,60.78,423904
"2014-04-03",61.24,62.32,60.66,62.1,1702950
"2014-04-10",61.26,61.92,59.59,59.82,347918
"2014-04-17",59.21,59.86,58.93,58.97,303400
"2014-04-24",60.28,60.58,59.31,60.32,624776
"2014-05-01",63.22,64.1,62.84,63.86,605884
"2014-05-08",64.8,65.96,64.48,65.42,673358
"2014-05-15",63.88,64.47,63.02,63.4,495118
"2014-05-22",63.82,64.54,63.78,64.12,279030
"2014-05-29",64.02,64.05,63.36,64.05,352612
"2014-06-05",65.6,65.96,65.16,65.48,278844
"2014-06-12",66.02,66.14,65.46,65.51,434440
"2014-06-19",65.85,65.85,65.2,65.35,430648
"2014-06-26",67.22,67.87,66.68,67.08,398964
"2014-07-03",67.88,68.36,67.68,68.2,240488
"2014-07-10",66.4,66.95,65.87,66.7,384438
"2014-07-17",65.38,65.74,64.98,65.1,490212
"2014-07-24",67.04,67.16,66.28,66.52,1154714
"2014-07-31",63.07,63.25,62.22,62.24,842216
"2014-08-07",63.28,63.72,62.97,63.14,786778
"2014-08-14",63.98,64.33,63.2,63.65,654398
"2014-08-21",62.38,62.5,61.04,61.2,1404630
"2014-08-28",61.92,61.97,61.58,61.86,427720
"2014-09-04",63.28,63.81,62.92,63.26,988462
"2014-09-11",62.12,62.59,61.97,62.06,658220
"2014-09-18",60.64,60.64,59.84,59.9,1182302
"2014-09-25",59.32,59.92,58.66,58.66,1265112
"2014-10-02",60.31,60.95,60.18,60.78,1377242
"2014-10-09",61.34,61.58,60.24,60.42,1339294
"2014-10-16",57.99,59.3,57.91,59.1,1106824
"2014-10-23",62.94,63.21,61.96,63.18,1152474
"2014-10-30",70.58,71.56,69.84,71.43,636054
"2014-11-06",72.22,72.97,71.52,72.96,939682
"2014-11-13",76.74,76.94,76.06,76.25,1026978
