"","HRS.Open","HRS.High","HRS.Low","HRS.Close","HRS.Volume"
"2014-10-23",66.88,67.22,66.39,66.77,320692
"2014-10-30",68.07,69.25,67.65,68.98,645109
"2014-11-06",70.9,71.04,70.52,70.66,528197
"2014-11-13",71.29,71.53,70.32,70.51,442442
"2014-11-20",70.65,71.78,70.58,71.49,484028
"2014-12-04",70.59,70.95,70.08,70.73,1488814
"2014-12-11",69.83,71.41,69.83,70.61,561781
"2014-12-18",70.72,71.53,70.65,71.49,748113
"2015-01-08",69.12,70.56,69.11,70.04,641812
"2015-01-15",68.91,69.12,67.25,67.31,658219
"2015-01-22",68.54,69.33,68.12,69.09,483743
"2015-01-29",68.11,68.2,67.06,67.95,819827
"2015-02-05",69.07,69.72,68.85,69.49,632590
"2015-02-12",76.7,77.99,76.7,77.31,1075509
"2015-02-19",78.17,78.91,77.97,78.72,610006
"2015-02-26",78.13,78.13,77.6,77.74,871335
"2015-03-05",77.03,77.04,76.23,76.44,691056
"2015-03-12",72.46,72.97,72,72.5,852843
"2015-03-19",72.16,72.78,71.86,72.18,1008698
"2015-03-26",70.45,73.32,69.84,73.28,2865149
"2015-04-02",78.5,79.52,78.37,78.7,1580165
"2015-04-09",79.93,80.75,79.54,80.68,711047
"2015-04-16",80.99,81.1,80.09,80.35,720721
"2015-04-23",81.88,82.24,81.12,82,792257
"2015-04-30",79.09,80.79,78.75,80.24,1359263
"2015-05-07",78.4,79.11,77.58,78.2,1184777
"2015-05-14",77.87,78.79,77.71,78.75,854028
"2015-05-21",79.44,79.67,78.98,79.32,580326
"2015-05-28",80.03,80.47,79,79.25,5354616
"2015-06-04",78.45,78.77,77.42,77.8,909254
"2015-06-11",78.89,78.99,78.52,78.64,590073
"2015-06-18",78.6,79.18,78.55,79.03,656447
"2015-06-25",79.08,79.5,78.3,78.4,592880
"2015-07-02",77.74,77.84,77.5,77.74,661912
"2015-07-09",78.15,78.93,78.09,78.49,1271472
"2015-07-16",82.38,82.42,81.64,82.32,944422
"2015-07-23",81.62,82.43,81.33,82.09,711371
"2015-07-30",81.69,82.49,81.38,82.34,619994
"2015-08-06",83.04,83.22,82.28,82.94,820878
"2015-08-13",83.53,83.97,82.54,82.58,666592
"2015-08-20",81.46,81.66,80.16,80.21,567269
"2015-08-27",76.5,77.1,75.52,77.06,738601
"2015-09-03",75.41,76.58,75.31,75.75,899234
"2015-09-10",75.43,75.87,74.83,75.07,727339
