"","APC.Open","APC.High","APC.Low","APC.Close","APC.Volume"
"2014-05-22",100.67,102.44,100.16,101.58,3727075
"2014-05-29",102.06,103.5,101.59,103.31,2320011
"2014-06-05",101.4,102.43,100.48,102.21,3805570
"2014-06-12",107.5,109.29,106.91,107.73,5611328
"2014-06-19",109.82,110.28,108.82,110.22,2615006
"2014-06-26",109.87,109.98,108.02,109.09,1925436
"2014-07-03",107.93,108.5,107.26,107.58,1259189
"2014-07-10",105.98,106.78,105.21,106.14,2649661
"2014-07-17",112.26,112.5,107.96,108.11,5619196
"2014-07-24",110.45,112.11,110.11,111,4549499
"2014-07-31",109.14,109.14,106,106.85,6914080
"2014-08-07",107.48,107.75,106,107.12,3320136
"2014-08-14",106.6,106.86,105.33,105.89,3892956
"2014-08-21",110.3,110.93,109.01,110.73,2576099
"2014-08-28",110.02,111.23,109.84,111.08,2230640
"2014-09-04",111.94,112,107.99,108.51,7292072
"2014-09-11",106.2,107.52,105.18,107.39,2306749
"2014-09-18",107.4,107.78,105.07,105.8,3167044
"2014-09-25",104.42,104.64,102.27,102.28,4739621
"2014-10-02",98.23,99.48,96.32,98.67,6146348
"2014-10-09",95.17,95.23,89.31,90,14297872
"2014-10-16",83.12,90.39,83.12,89.57,10761683
"2014-10-23",91.29,93.2,90.34,92.17,3985401
"2014-10-30",90.87,91.17,89.01,89.46,6244995
"2014-11-06",90.17,93.54,89.97,93.51,4073781
"2014-11-13",90.45,91.38,88.4,89.46,5525749
"2014-11-20",90.64,93.12,90.31,92.47,4822467
"2014-12-04",79.5,79.97,78.26,79.38,5704794
"2014-12-11",75.77,77.28,75.07,75.25,7807035
"2014-12-18",80.98,81.98,77.9,81.01,9704179
"2015-01-08",77.49,79.05,76.63,78.91,6229225
"2015-01-15",78.9,78.95,75.41,75.48,4178330
"2015-01-22",81.14,81.56,78.87,81.52,5254147
"2015-01-29",79.91,80.5,77.95,80.14,6589631
"2015-02-05",84.21,84.78,83.02,83.68,4703722
"2015-02-12",87.01,87.69,85.96,87.31,7110695
"2015-02-19",82.84,86.98,82.84,86.1,6215484
"2015-02-26",85.45,86.19,84.57,85.24,4002373
"2015-03-05",83.32,83.34,82.41,82.84,3312179
"2015-03-12",79.84,79.93,78.01,78.19,2972525
"2015-03-19",81.04,82.28,79.91,80.43,4001142
"2015-03-26",83.5,84.04,82.46,83.2,4060903
"2015-04-02",83.3,85.37,82.92,84.55,3567863
"2015-04-09",86.71,89.6,86.51,88.9,5976704
"2015-04-16",94.56,94.99,93.72,93.94,5076531
"2015-04-23",93.1,94.72,92.96,93.46,2639294
"2015-04-30",94.2,94.72,92.76,94.1,5498374
"2015-05-07",89.69,89.75,87.68,88.77,5234333
"2015-05-14",85.31,86.05,84.36,84.49,3154919
"2015-05-21",83.77,85.66,83.5,85.6,3907136
"2015-05-28",84.31,84.74,82.83,83.92,3087900
"2015-06-04",83.11,83.85,82.68,83.4,2284962
"2015-06-11",84.55,84.95,83.72,83.93,1845108
"2015-06-18",83.58,83.69,82.73,82.89,2408410
"2015-06-25",81.7,81.82,80.68,80.73,3039708
"2015-07-02",77.38,77.99,76.72,76.78,3474390
"2015-07-09",76.84,77.32,76,76.08,3703230
"2015-07-16",76.15,76.15,74.33,74.69,4296594
"2015-07-23",72.8,73.07,71.65,72.54,3054196
"2015-07-30",76.2,77.27,75.52,76.63,3999753
"2015-08-06",73.67,76.39,73.15,76.15,5069360
"2015-08-13",77.19,77.75,76.09,76.24,4298692
"2015-08-20",72.42,73.14,70.73,71.05,6732339
"2015-08-27",66.88,70.2,66.5,69.01,7150398
"2015-09-03",69.85,71.32,68.74,69.51,3992032
"2015-09-10",67.33,67.75,66.06,67.21,3986652
"2015-09-17",69.07,70.04,68.2,68.57,6174299
"2015-09-24",63.1,64.24,62.51,63.7,3423467
"2015-10-01",61.34,62.33,59.75,60.95,4083685
"2015-10-08",69.01,72.73,68.76,72.33,7080778
"2015-10-15",71.42,72.99,70.78,72.96,4077672
"2015-10-22",72.05,73.24,71.51,73,3307241
"2015-10-29",65.27,68.17,64.83,67.58,6885623
"2015-11-05",69.71,71.74,69.42,70.1,3194720
"2015-11-12",59.88,60.86,58.35,58.5,9222658
"2015-11-19",61.15,61.34,58.85,59.64,5099693
"2015-12-03",59.45,59.88,57.79,58.14,6107945
"2015-12-10",50.57,52.4,49.89,51.23,8363900
"2015-12-17",48.64,48.99,45.91,46.73,13563465
"2015-12-24",51.4,51.74,50.64,51.22,2691620
"2015-12-31",48.22,49.05,47.97,48.58,3672312
"2016-01-07",41.95,42.9,39.8,40.11,13733204
"2016-01-14",35.13,35.68,33.66,35,15123206
"2016-01-21",30.36,33.81,30.03,33.55,11334969
"2016-01-28",37.85,38.77,36.5,37.25,12132403
"2016-02-04",42.52,44.06,40.6,41.36,13658760
"2016-02-11",35.95,36.54,34.67,35.68,16452319
"2016-02-18",40.85,41.16,36.93,37.03,11657991
"2016-02-25",37.16,38.61,36.93,37.64,8400454
"2016-03-03",42.24,43.45,41.76,42.98,9476139
"2016-03-10",41.8,42.57,40.02,42.5,7024620
"2016-03-17",49.51,50.39,48.96,49.26,6748288
"2016-03-24",44.88,46.5,44.34,46.27,8731540
"2016-03-31",46.13,47.37,45.86,46.57,5185061
"2016-04-07",45.42,46.27,45.09,45.75,4387163
"2016-04-14",49.67,49.88,48.6,49.46,4232188
"2016-04-21",50.62,50.92,49.11,50.03,7759421
"2016-04-28",54.36,55.44,53.03,53.2,4091846
"2016-05-05",48.26,48.34,45.87,46.1,9399558
"2016-05-12",48.6,49.67,47.43,48.25,6732798
"2016-05-19",48.02,49.52,47.51,49.22,3683856
"2016-05-26",53,53,52.01,52.28,3975554
"2016-06-02",51.53,51.84,50.6,51.69,3713739
"2016-06-09",54.32,55.12,54.08,54.48,2959924
"2016-06-16",52.53,53.44,51.63,53.3,4468980
"2016-06-23",55.25,55.6,54.34,55.52,3792940
"2016-06-30",53.1,53.61,52.06,53.25,4838163
"2016-07-07",55.93,57.35,54.64,55.22,4874231
"2016-07-14",56.83,56.92,55.43,55.52,3397409
"2016-07-21",54.56,55.47,53.79,54.17,3979044
"2016-07-28",53.8,54.68,52.96,53.36,6067778
"2016-08-04",52.39,53.1,51.06,51.27,5453744
"2016-08-11",53.16,54.41,52.45,54.01,3675303
"2016-08-18",54.8,55.95,54.41,55.94,4891284
"2016-08-25",54.39,55.41,53.81,55.15,2759991
"2016-09-01",53.12,54.02,52.6,53.54,5195640
"2016-09-08",57.92,59.25,57.78,59.06,4277848
"2016-09-15",56.74,57.29,55.94,56.93,6970935
