"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume"
"2014-04-03",97.98,98.71,97.79,98.07,4502062
"2014-04-10",98.89,99.45,97.16,97.32,5482542
"2014-04-17",101.58,101.87,99.22,99.91,10169777
"2014-04-24",102.06,102.62,101.52,101.8,5168827
"2014-05-01",101.58,101.78,100.57,100.8,4178542
"2014-05-08",101.84,102.12,100.17,100.28,4374979
"2014-05-15",100.36,100.36,98.34,99.5,6593973
"2014-05-22",101.45,101.96,101.21,101.6,3757831
"2014-05-29",102.34,104.12,102.3,103.86,4791983
"2014-06-05",103.64,104.1,103.16,103.91,4055636
"2014-06-12",106.84,108.08,106.14,106.33,5847659
"2014-06-19",107.15,107.99,106.77,107.6,5898671
"2014-06-26",114.92,117.56,114.7,116.12,14230631
"2014-07-03",117.74,117.94,116.38,117.5,3574030
"2014-07-10",115.84,116.38,114.8,115.4,5113047
"2014-07-17",115.65,115.65,114,114.64,5352082
"2014-07-24",112.3,113.29,112.22,113.1,4750640
"2014-07-31",109.58,109.93,107.94,108.39,7562242
"2014-08-07",107.97,108.62,106.6,107.01,4653275
"2014-08-14",107.96,108.41,105.55,105.91,5857636
"2014-08-21",109.96,109.99,108.9,109.44,4643025
"2014-08-28",110.84,110.84,110.01,110.16,3516554
"2014-09-04",108.24,108.27,105.09,105.64,7410698
"2014-09-11",103.22,104.9,103,104.45,5823117
"2014-09-18",103.97,104.94,103.32,104.47,6517459
"2014-09-25",103.39,103.43,100.37,101.01,7360157
"2014-10-02",98.14,98.45,96.8,97.78,10864079
"2014-10-09",97.96,97.97,94.7,94.92,14846339
"2014-10-16",86.75,91.22,86,90.64,15422021
"2014-10-23",98.21,99.4,97.07,98.26,7767742
"2014-10-30",96.88,97.91,96.03,97.62,5104685
"2014-11-06",95.5,97.08,94.1,96.98,9507524
"2014-11-13",96.61,97.47,92.72,94.85,18117272
"2014-11-20",95,96.25,94.66,96.14,8198682
"2014-12-04",86.08,88.16,85.4,87.43,9014318
"2014-12-11",82.95,85.2,82.75,83.01,12332612
"2014-12-18",85.25,85.52,82.07,84.23,13255256
"2015-01-08",82.49,83.29,81.94,82.7,7911582
"2015-01-15",78.74,79.16,76.42,76.63,10918870
"2015-01-22",82.94,83.12,80.71,82.14,9039967
"2015-01-29",81.16,82.06,79.52,81.9,9037345
"2015-02-05",85.64,86.44,84.91,85.92,7749709
"2015-02-12",86.16,87.4,85.48,85.96,6561113
"2015-02-19",85.24,87.58,85.12,86.98,6764812
"2015-02-26",84.48,84.62,83.27,83.89,8485350
"2015-03-05",84.34,85.08,83.92,84.82,5798210
"2015-03-12",81.46,81.64,80.77,80.94,7630157
"2015-03-19",80.73,81.9,80.61,81.01,8425601
"2015-03-26",84,84.6,82.76,83.16,8150506
"2015-04-02",84.09,85.43,83.89,84.39,6039614
"2015-04-09",86.38,88.93,86.26,88.45,9207274
"2015-04-16",91.25,93.26,90.23,91.89,17143244
