"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume"
"2014-06-05",65.26,66.2,65.11,65.89,4359766
"2014-06-12",67.38,68.14,66.62,66.64,9660889
"2014-06-19",68.45,69,68.02,68.98,4846530
"2014-06-26",69.63,70.37,69.35,69.55,7733195
"2014-07-03",70.98,71.03,70.34,70.97,2506595
"2014-07-10",69.73,69.9,68.91,69.35,5630753
"2014-07-17",71.88,71.9,70.28,70.35,5844381
"2014-07-24",74.1,74.33,73.23,73.41,6243555
"2014-07-31",70.25,70.31,68.51,68.99,9979608
"2014-08-07",68.35,68.55,67.03,67.37,6886202
"2014-08-14",69.83,69.85,67.17,67.34,8358153
"2014-08-21",68.91,68.91,68.05,68.34,4710170
"2014-08-28",68.11,68.26,67.27,67.38,7429945
"2014-09-04",67.53,67.94,66.23,66.55,10185419
"2014-09-11",66.12,67.29,65.73,67.07,6610762
"2014-09-18",66.79,66.8,65.9,66.33,5760702
"2014-09-25",64.48,64.88,63.33,63.66,6286363
"2014-10-02",61.9,61.93,59.67,61.44,15773142
"2014-10-09",59.88,59.94,56.87,57.28,17293383
"2014-10-16",48.9,52.88,48.53,51.17,28459668
"2014-10-23",55.39,56.36,54.8,55.85,10908026
"2014-10-30",54.06,54.53,53.11,53.92,7251439
"2014-11-06",51.8,53.22,51.4,53.17,13579840
"2014-11-13",52.83,58,50.77,53.79,35987469
"2014-11-20",48.7,49.46,48.39,49.21,23272258
"2014-12-04",40.47,41.28,40.02,40.74,32565669
"2014-12-11",38.06,39.13,38.03,38.23,22655605
"2014-12-18",40.81,40.84,38.5,39.23,30803943
"2015-01-08",39.76,40.4,39.1,40.21,20043626
"2015-01-15",38.84,39.13,37.27,37.33,19531221
"2015-01-22",40.9,41.16,40.39,40.82,17995487
"2015-01-29",39.87,39.87,38.32,39.57,14800086
"2015-02-05",42.97,43.71,42.88,43.35,15218346
"2015-02-12",42.65,43.35,42.5,42.77,12946634
"2015-02-19",43.16,44.64,43.08,44.24,12861733
"2015-02-26",43.25,43.31,42.53,42.7,15498924
"2015-03-05",42.55,43.02,42.51,42.94,7833752
"2015-03-12",41.67,41.67,40.91,40.99,11146404
"2015-03-19",40.97,41.57,40.75,41.55,11622240
"2015-03-26",44.03,44.43,43.13,43.18,17432481
"2015-04-02",43.7,44.32,43.49,43.96,11130433
"2015-04-09",44.49,46.27,44.43,46.04,17869293
"2015-04-16",47.97,48.74,47.47,47.83,15509085
"2015-04-23",47.1,48.64,47.1,48.17,12865475
"2015-04-30",49.31,49.7,48.76,48.95,11404100
"2015-05-07",47.17,47.21,46.08,46.35,18428221
"2015-05-14",47.52,47.55,46.29,46.44,14052749
"2015-05-21",45.33,46.36,45.29,46.16,15714737
"2015-05-28",45.5,45.59,44.91,45.35,7455375
"2015-06-04",45.16,45.46,44.68,44.71,12418587
"2015-06-11",46.59,46.6,45.57,45.62,6935850
"2015-06-18",46.02,46.19,44.34,44.58,17903001
"2015-06-25",44.16,44.23,43.5,43.5,8706015
"2015-07-02",41.66,42.18,41.33,41.91,10453651
"2015-07-09",41.54,41.82,41.26,41.31,10740351
"2015-07-16",41.41,41.52,40.16,40.21,15030796
"2015-07-23",42.19,42.97,41.69,42.33,16688677
"2015-07-30",43.28,43.71,42.17,42.29,10686147
"2015-08-06",40.57,41,39.8,40.85,11875567
"2015-08-13",42.34,42.44,41.59,41.76,11117576
"2015-08-20",39.13,39.69,37.66,37.7,17164534
"2015-08-27",35.68,38.16,35.47,38.04,21299276
"2015-09-03",38.46,39.13,37.56,38.08,15205755
"2015-09-10",37.14,37.89,36.24,37.58,12506637
"2015-09-17",38.58,39.52,38.13,38.7,12070759
"2015-09-24",36.93,37.44,36.4,37,12877099
"2015-10-01",35.87,36.19,34.45,34.91,14580330
"2015-10-08",39.48,40.54,38.72,40.41,11359391
"2015-10-15",38.62,39.28,38,39.26,8743523
"2015-10-22",38.92,39.98,38.83,39.71,17252563
"2015-10-29",38.12,38.69,37.68,38.19,8362773
"2015-11-05",38.82,39.52,38.17,38.41,15070465
"2015-11-12",37.45,38.33,37.18,37.49,8821754
"2015-11-19",38.55,39.07,37.86,38.04,8808407
"2015-12-03",39.24,39.38,37.61,38.01,14444065
"2015-12-10",38.01,38.78,37.68,38.15,15317826
"2015-12-17",35.85,35.97,34.09,34.18,18732153
"2015-12-24",35.43,35.54,34.93,35.15,3725129
"2015-12-31",33.95,34.47,33.88,34.04,6194508
"2016-01-07",32.79,33.74,32.66,32.91,11050852
"2016-01-14",30.67,32.05,29.64,31.84,13907535
"2016-01-21",28.23,29.63,28.13,29.29,15121642
"2016-01-28",30.32,30.59,29.42,30.45,17802544
"2016-02-04",32.39,33.48,32.18,32.43,13710131
"2016-02-11",28.7,29.34,27.96,28.8,12860810
"2016-02-18",31.74,31.85,30.94,31.46,11392953
"2016-02-25",32.43,32.66,31.57,32.5,9291314
"2016-03-03",33.51,34.34,33.37,34.17,13448613
"2016-03-10",34.6,34.83,33.93,34.51,9859719
"2016-03-17",35.78,36.74,35.54,36.38,10180141
"2016-03-24",34.31,35.31,34.28,35.22,6330867
"2016-03-31",35.84,36.38,35.54,35.72,7420210
"2016-04-07",35.97,36.75,35.93,36.25,9262500
"2016-04-14",38.39,38.87,38.03,38.38,9817854
"2016-04-21",40.28,41.57,40.22,40.33,16368665
"2016-04-28",41.13,41.65,40.41,41.04,9252333
"2016-05-05",40.44,40.77,39.58,39.94,12807103
"2016-05-12",40,40.33,39.72,40.05,10429268
"2016-05-19",40,40.43,39.32,40.14,7559111
"2016-05-26",42.8,43.2,42.5,42.64,8913078
"2016-06-02",41.92,42.13,41.5,42.13,6651714
"2016-06-09",45.69,46.08,45.39,45.5,8514637
