"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume"
"2015-03-12",60.46,60.65,60.03,60.62,650030
"2015-03-19",58.94,59.28,58.64,58.95,913728
"2015-03-26",57.9,58.34,57.6,58.16,1188916
"2015-04-02",56.77,57.1,56.69,56.71,663709
"2015-04-09",57.4,57.46,56.97,57.36,1691802
"2015-04-16",59.5,59.59,59.07,59.18,883462
"2015-04-23",58.15,58.78,57.98,58.6,712260
"2015-04-30",59.73,60,59.07,59.31,647268
"2015-05-07",59.3,59.66,58.9,59.45,523410
"2015-05-14",59.19,59.19,58.04,58.29,1128428
"2015-05-21",57.2,57.88,57.02,57.79,610102
"2015-05-28",57.74,57.96,57.57,57.92,740345
"2015-06-04",57.09,57.4,56.4,56.47,624239
"2015-06-11",55.67,56.13,55.31,55.52,714744
"2015-06-18",55.85,56.15,55.52,55.81,590163
"2015-06-25",53.75,53.93,53.13,53.21,982191
"2015-07-02",51.96,52.05,51.04,51.46,868321
"2015-07-09",49.36,49.58,48.59,48.67,767442
"2015-07-16",50.41,50.53,50.13,50.27,547864
"2015-07-23",49.1,49.2,48.63,48.86,698331
"2015-07-30",48.11,48.74,47.68,48.37,655473
"2015-08-06",48.36,50.28,47.94,49.07,1492103
"2015-08-13",47.2,47.22,46.29,46.48,1087963
"2015-08-20",46.66,46.74,45.9,45.9,599153
"2015-08-27",40.99,42.87,40.9,42.31,1781304
"2015-09-03",41.98,42.6,41.63,42.31,1340761
"2015-09-10",41.2,41.55,40.6,41.33,1143758
"2015-09-17",40.19,40.36,38.7,38.79,2683626
"2015-09-24",35.75,35.82,34.41,34.97,2891560
"2015-10-01",34,34.3,33.57,33.87,2160903
"2015-10-08",37.21,39.18,37.13,38.7,2850000
"2015-10-15",38.5,38.84,36.8,38.05,2799811
"2015-10-22",36.86,37.67,36.75,37.36,1623481
"2015-10-29",37.06,40.02,36.41,39.77,4248059
"2015-11-05",41.35,41.95,41.25,41.47,1367481
"2015-11-12",39.27,40.15,39.06,39.75,1061062
"2015-11-19",42.88,43.29,42.5,42.61,698143
