"","HCA.Open","HCA.High","HCA.Low","HCA.Close","HCA.Volume"
"2013-07-25",38.54,38.7,38.44,38.68,1292433
"2013-08-01",39,39.96,38.4,39.08,4310621
"2013-08-08",38.2,38.81,38.19,38.53,2134683
"2013-08-15",38.63,38.83,37.98,38.41,2304460
"2013-08-22",38.43,38.99,38.23,38.5,1307578
"2013-08-29",38.47,39.11,38.47,38.75,1317518
"2013-09-05",38.44,38.92,38.44,38.69,5440818
"2013-09-12",39.67,39.91,38.95,39.74,3206301
"2013-09-19",42.75,43.11,42.29,42.34,3375953
"2013-09-26",42.21,42.56,42.06,42.37,1818984
"2013-10-03",45.29,47.07,45.29,45.94,8183530
"2013-10-10",46.3,46.75,45.54,45.65,4319908
"2013-10-17",46.03,47.47,46.03,47.38,2053766
"2013-10-24",46.7,46.91,45.35,45.8,5327352
"2013-10-31",46.69,47.45,46.67,47.14,5919712
"2013-11-07",45.48,45.5,43.87,44.24,6181675
"2013-11-14",45.58,45.99,45.34,45.85,2216210
"2013-11-21",44.11,44.56,43.96,44.44,2013344
"2013-12-05",46.9,46.9,46.43,46.57,1218501
"2013-12-12",46.62,46.86,45.19,46.32,2921786
"2013-12-19",46.49,46.5,45.62,45.66,2181366
"2013-12-26",46.7,46.8,46.5,46.62,803495
"2014-01-02",47.39,48.4,47.26,47.77,2221061
"2014-01-09",50.55,51.02,50.24,50.9,2848268
"2014-01-16",51.1,51.56,50.92,51.22,3380121
"2014-01-23",49.69,50,49.25,49.79,1830304
"2014-01-30",49.48,50.17,49.39,49.49,1815020
"2014-02-06",48.06,48.45,47.63,48.37,1878292
"2014-02-13",48.76,50.65,48.67,50,4917022
"2014-02-20",49.6,50.42,49.3,50.23,1279059
"2014-02-27",50.32,51.65,50.23,51.52,2504230
"2014-03-06",50.63,50.72,49.58,49.62,4358435
"2014-03-13",49.33,49.43,47.16,48,4641884
"2014-03-20",49.95,50.23,49.32,49.43,1564855
"2014-03-27",50.44,50.66,50.02,50.36,2165201
"2014-04-03",52.07,52.07,50.96,51.15,3101087
"2014-04-10",50.67,50.75,48.77,49.21,1736646
"2014-04-17",48.65,49.22,48.1,49.01,1576393
"2014-04-24",50.76,51.23,50.46,50.53,2579471
"2014-05-01",52,52.84,51.48,52.4,3084800
"2014-05-08",51.43,52.32,51.01,51.18,1678038
"2014-05-15",52.52,52.64,51.8,52.1,1538918
"2014-05-22",52.45,53.47,52.08,52.33,5786034
"2014-05-29",53.37,53.66,53.29,53.39,1737042
"2014-06-05",54.71,56.39,54.68,56.26,3971435
"2014-06-12",55,55,54.29,54.52,1557493
"2014-06-19",55.73,56.54,55.47,56.49,1604307
"2014-06-26",56.6,56.72,54.58,55.76,5599092
"2014-07-03",57.29,57.75,56.69,57.11,1044507
"2014-07-10",54.36,56.11,54.36,55.7,2656277
"2014-07-17",61.22,62.99,60.37,60.61,7161607
"2014-07-24",61.89,62.41,61.39,61.5,3002213
"2014-07-31",65.54,65.57,64.51,65.31,4663254
"2014-08-07",67.43,68,66.93,67.22,2495495
"2014-08-14",66.72,67.34,66.68,67.2,1682720
"2014-08-21",68.77,68.83,68.2,68.45,1956882
"2014-08-28",69.2,69.46,68.94,68.98,1153083
"2014-09-04",69.15,69.25,67.42,68.08,5281425
"2014-09-11",70.71,72.43,70.71,72.35,2443127
"2014-09-18",71.77,72.76,71.37,72.36,1807843
"2014-09-25",73.01,73.18,71.4,71.54,1929390
"2014-10-02",68.75,69.54,67.19,69.37,3471985
"2014-10-09",72,72.11,69.14,69.48,3260275
"2014-10-16",66.56,68.99,65.06,68.23,11510076
"2014-10-23",71.08,71.98,70.3,71.36,2218606
"2014-10-30",69.66,69.82,68.45,69.4,3984544
"2014-11-06",67.91,69.12,67.86,68.97,3543328
"2014-11-13",65,65.7,63.81,64.77,4640357
"2014-11-20",66.7,67.91,66.34,67.87,3553438
"2014-12-04",71.24,72.98,70.96,72.53,5132923
"2014-12-11",73.05,74.33,72.59,73.56,3021858
"2014-12-18",73.99,74.29,73.37,74.22,2755182
"2015-01-08",73.77,75.09,73.56,74.93,3627147
"2015-01-15",70.75,71.06,69.58,70.07,2770640
"2015-01-22",69.52,70.68,68.75,70.4,2759063
"2015-01-29",71.92,72.42,70.74,72.19,4202111
"2015-02-05",69,69.69,68.61,68.85,4916623
"2015-02-12",68.91,69.46,68.65,69.02,2808614
"2015-02-19",69.03,70.26,68.94,69.6,3409076
"2015-02-26",70.92,72.37,70.44,72.27,3567647
"2015-03-05",74.99,75.38,72.31,72.91,4418049
"2015-03-12",71.99,73.08,71.85,72.42,3610032
"2015-03-19",75,75.87,74.74,75.42,3048190
"2015-03-26",75.47,76.81,75.13,76.1,3043015
"2015-04-02",74.96,75.78,74.56,75.05,1657833
"2015-04-09",76.72,77.92,76.55,77.85,3083454
"2015-04-16",79.94,79.94,77.64,77.81,3109797
"2015-04-23",77.58,78.02,76.97,77.44,4276124
"2015-04-30",75.71,76.27,73.88,74.01,5310482
"2015-05-07",74.7,77.37,74.54,76.59,4451848
"2015-05-14",78.51,79.48,78.31,79.07,2874463
"2015-05-21",82.22,82.39,81.56,81.59,2673083
"2015-05-28",81.74,82.01,80.95,81.8,1946131
"2015-06-04",80.81,81.18,80.4,80.48,2062543
"2015-06-11",82.83,84.11,82.62,83.62,3774396
"2015-06-18",84.04,84.34,82.72,83.6,2899687
"2015-06-25",84.02,92.63,83.74,90.72,15829744
"2015-07-02",91,91.6,90.42,90.5,2785429
"2015-07-09",91.43,92.18,91.14,91.64,4195371
"2015-07-16",93.74,93.99,91.9,93.74,4567951
"2015-07-23",93.44,94.44,93.02,93.32,1451331
"2015-07-30",93.3,93.59,92.09,92.96,1615269
"2015-08-06",90.78,93.05,90.73,91.38,2616210
"2015-08-13",91.11,91.89,90.46,90.85,1247117
"2015-08-20",89.25,89.25,87.01,87.05,2861492
"2015-08-27",87.48,89.84,86.76,88.84,3112003
"2015-09-03",86.17,88.18,85.74,86.4,2370147
"2015-09-10",85.8,86.45,84.85,85.28,2979937
"2015-09-17",85.52,87.05,84.39,86.02,3198119
"2015-09-24",83.42,83.68,81.67,81.9,2756682
"2015-10-01",77.32,78.33,75.55,77.09,3605406
"2015-10-08",76.95,77.34,74.77,76.66,3380755
"2015-10-15",69.5,72.58,68.13,72.21,15350172
"2015-10-22",65.79,69.01,64.04,66.08,14667859
"2015-10-29",69,69.65,67.67,67.7,4533241
"2015-11-05",68.67,68.98,67.27,68.59,5229816
"2015-11-12",67.48,67.79,65.02,65.11,6027281
"2015-11-19",68.97,69.09,65.09,65.39,8715584
"2015-12-03",70.02,70.56,66.82,67.38,4258758
"2015-12-10",67.44,69.09,67.38,68.43,2813264
"2015-12-17",64.42,66.1,64.42,64.74,4842098
"2015-12-24",69.21,70,68.62,68.92,911488
"2015-12-31",67.95,68.86,67.6,67.63,2320243
"2016-01-07",65.14,65.51,63.6,64.29,4071687
"2016-01-14",65.06,66.47,64.54,65.12,5089267
"2016-01-21",62.99,65.39,62.37,64.03,3591530
"2016-01-28",68.79,70.39,66.31,67.51,5490362
"2016-02-04",70.2,70.89,69.03,70.13,3231394
"2016-02-11",66.11,67.28,64.11,64.25,4245797
"2016-02-18",67.4,68.22,66.91,67.52,3089681
"2016-02-25",70.43,70.81,69.08,70,2847614
"2016-03-03",71.23,73,71.12,72.93,3442544
"2016-03-10",72.6,73.72,71.78,72.2,2364539
"2016-03-17",74.36,74.58,72.8,73.72,2572106
"2016-03-24",76.19,76.99,75.33,76.37,2507589
"2016-03-31",77.92,78.7,77.84,78.05,2311291
"2016-04-07",78.49,79.31,78.06,78.84,3581316
"2016-04-14",80.79,81,80.24,80.72,2812487
"2016-04-21",80.39,81.09,80.01,80.22,3322012
"2016-04-28",81.56,83.69,81.51,81.96,3928923
"2016-05-05",79.99,80.96,79.9,80.61,2331961
"2016-05-12",80.6,80.84,77.42,77.69,4142639
"2016-05-19",76.07,77.15,75.69,76.72,2396827
"2016-05-26",77.75,77.88,76.89,77.2,1353989
"2016-06-02",78.18,78.99,77.97,78.98,2015785
"2016-06-09",80.82,81.28,80.63,81.03,1589849
"2016-06-16",77.01,77.75,76.51,77.66,1347394
"2016-06-23",79.85,80.62,79.45,79.75,1460607
"2016-06-30",77.17,77.5,76.21,77.01,2473825
"2016-07-07",76.42,77.94,76.11,76.99,2215123
"2016-07-14",79.98,80.13,78.04,78.31,2098160
"2016-07-21",80.37,81.79,80.17,80.63,2761255
"2016-07-28",74.88,78.87,74.1,77.88,4733887
"2016-08-04",75.64,75.7,75,75.25,1695345
"2016-08-11",76.54,77.49,76.43,77.12,2602797
"2016-08-18",73.75,75.08,73.24,74.66,2282307
"2016-08-25",74.16,75.46,73.85,75.02,2653686
"2016-09-01",75.59,75.9,74.76,75.16,1952975
"2016-09-08",78,78.11,77.39,77.98,1422128
"2016-09-15",74.98,75.88,74.7,75.39,2091652
