"","NFX.Open","NFX.High","NFX.Low","NFX.Close","NFX.Volume"
"2014-11-13",33,33.29,32.1,32.9,3326093
"2014-11-20",33.11,34.62,33.04,34.6,2325441
"2014-12-04",26.33,26.98,25.25,26.18,3604462
"2014-12-11",24,24.94,23.93,24.02,3361058
"2014-12-18",26.89,27.46,25.29,26.23,4674122
"2015-01-08",23.64,24.39,23.18,23.98,7448172
"2015-01-15",24.75,24.96,23.48,23.5,4249042
"2015-01-22",28.31,28.58,27.44,28.53,4997648
"2015-01-29",27.82,28.64,27.15,28.51,4304631
"2015-02-05",31.66,32.05,30.6,30.89,5097562
"2015-02-12",30.62,31.11,30.28,30.89,2584002
"2015-02-19",31.81,33.02,31.23,32.78,2470834
"2015-02-26",33.88,33.99,32.91,33.6,22585890
"2015-03-05",33.15,33.15,32.26,32.77,2915592
"2015-03-12",31.34,31.69,31.03,31.1,2117848
"2015-03-19",32.46,33.06,32.17,32.47,2440952
"2015-03-26",34.48,35.19,33.95,34.24,3234172
"2015-04-02",35.81,37.5,35.73,36.28,3551289
"2015-04-09",36.11,37.34,36.11,37.1,2184425
"2015-04-16",38.43,39.26,37.99,38.75,2937850
"2015-04-23",37.61,38.83,37.61,38.04,1889908
"2015-04-30",39.78,40.18,38.52,39.24,3214058
"2015-05-07",36.06,36.29,34.89,35.24,4086310
"2015-05-14",35.45,35.79,34.47,34.54,3157542
"2015-05-21",37.7,38.45,37.7,38.29,2516239
"2015-05-28",37.24,37.27,36.11,36.79,1836556
"2015-06-04",36.01,36.34,35.48,36.15,2152228
"2015-06-11",38.05,38.29,37.42,37.44,1354624
"2015-06-18",37.43,38.07,37.21,37.38,2573342
"2015-06-25",38.12,38.34,37.62,37.63,2688553
"2015-07-02",35.28,35.94,34.89,35.04,1837805
"2015-07-09",35.55,36.07,35.19,35.46,2214312
"2015-07-16",35.13,35.42,34.28,35.3,3357700
"2015-07-23",33.46,33.92,32.67,33.72,3616328
"2015-07-30",32.8,33.67,32.19,33.36,4420313
"2015-08-06",32.53,34.85,32.21,34.77,4450950
"2015-08-13",36.07,36.49,35.42,36.08,2385443
"2015-08-20",33.82,34.02,32.49,32.5,3626645
"2015-08-27",29.15,31.78,28.91,30.7,5851878
"2015-09-03",33.09,34.4,32.51,33.14,2994099
"2015-09-10",34.22,34.87,33.85,34.47,4979029
"2015-09-17",35.92,36.57,35.05,35.38,4027015
"2015-09-24",32.85,33.63,32.51,33.35,3107149
"2015-10-01",33.67,34.22,33.31,33.81,3733997
"2015-10-08",37.05,38.58,36.61,38.21,3516353
"2015-10-15",38.26,40.36,37.99,40.17,3693918
"2015-10-22",38.86,39.86,38.72,39.16,2993566
"2015-10-29",39.69,40.73,39.6,40.2,2286085
"2015-11-05",38.31,39.98,37.34,38.95,4833554
"2015-11-12",38.83,39.32,37.97,38.19,3540554
"2015-11-19",40.3,40.72,38.26,39.16,4360523
"2015-12-03",37.69,38.55,36.6,36.97,4148973
"2015-12-10",35.13,36.8,34.82,36.52,3006967
"2015-12-17",34.37,34.75,32.33,32.61,4474633
"2015-12-24",33.27,33.53,32.54,33.09,1032774
"2015-12-31",31.68,33.02,31.57,32.56,2032498
"2016-01-07",29.17,30.91,28.85,29.41,3902933
"2016-01-14",28.46,28.82,26.92,27.87,6595357
"2016-01-21",23.65,25.41,23.23,25.33,7614740
"2016-01-28",28.17,28.53,26.94,27.58,4791893
"2016-02-04",28.49,29.18,27.16,27.25,3355567
"2016-02-11",22.88,23.88,22.36,23.66,6052904
"2016-02-18",25.06,25.22,22.54,22.6,6222563
"2016-02-25",23.19,25.32,23.03,24.41,6485957
"2016-03-03",29.25,29.88,28.32,29.16,7576836
"2016-03-10",30.57,30.61,29.61,30.48,6031307
"2016-03-17",33.9,34.17,32.96,33.72,3999374
"2016-03-24",31.33,32.51,31.14,32.38,4605008
"2016-03-31",32.5,33.51,32.26,33.25,3997173
"2016-04-07",32.6,33.26,32.43,32.85,2812181
"2016-04-14",35.13,35.58,34.79,35.52,2127355
"2016-04-21",36.9,36.99,35.98,36.09,2826234
"2016-04-28",37.88,38.24,36.03,36.24,5322712
"2016-05-05",35.81,37.55,35.81,36.53,5148054
"2016-05-12",38.34,39.19,37.83,38.63,3072975
"2016-05-19",38.48,39.76,38.19,39.71,2743101
"2016-05-26",41.64,41.99,40.62,40.8,2315263
"2016-06-02",39.41,40.32,39.25,40.31,2568259
"2016-06-09",40.94,41.55,40.85,41.27,2023101
"2016-06-16",39.77,39.81,38.49,39.13,2662944
"2016-06-23",43.76,44.08,42.64,42.93,4209635
"2016-06-30",44.4,44.45,43.55,44.18,4162216
"2016-07-07",43.89,44.16,42.24,42.77,2577049
"2016-07-14",45.19,45.24,44.26,44.6,2155279
"2016-07-21",44.31,45.22,44.11,44.4,3003130
"2016-07-28",42.13,42.91,41.57,42.38,2140367
"2016-08-04",44.44,46.62,44.25,45.68,5344055
"2016-08-11",45.76,47.48,45.6,47.21,3901912
"2016-08-18",46.29,46.83,45.94,46.78,2469699
"2016-08-25",45.14,45.15,43.96,44.31,2951285
"2016-09-01",43.1,44.14,42.84,44.12,2191417
"2016-09-08",45.32,46.25,44.93,46.01,2934523
"2016-09-15",40.99,42.04,40.88,41.17,2654759
