"","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume"
"2015-11-19",161.69,163.2,161.44,162.83,2953640
"2015-12-03",164.51,166.1,163.31,163.67,3439954
"2015-12-10",160.93,163.41,160.61,161.86,3653253
"2015-12-17",162.44,163.58,160.6,160.68,1704232
"2015-12-24",161.85,162.33,161.44,161.75,491044
"2015-12-31",162.08,164,161.5,161.5,1873399
"2016-01-07",154.85,157.06,153.55,154.82,3826032
"2016-01-14",151.96,154.16,151.33,153.18,2264000
"2016-01-21",148.97,151.24,148.66,150.38,2211757
"2016-01-28",148.55,149.97,147.81,149.59,2076122
"2016-02-04",145,145.14,141.79,143.28,5330126
"2016-02-11",147.13,148.39,144.76,146.65,2179396
"2016-02-18",149.13,149.84,146.82,148.65,2868002
"2016-02-25",154.69,154.88,152.86,154.72,1739205
"2016-03-03",148.56,151.96,147.38,151.6,5551656
"2016-03-10",153.21,154.69,151.05,152.87,1412964
"2016-03-17",153.82,154.74,153.59,153.84,1583231
"2016-03-24",153.24,154.08,150.85,151.43,2497812
"2016-03-31",157.96,159.8,157.52,157.58,2690629
"2016-04-07",154.42,154.58,151.48,152.03,4017292
"2016-04-14",152.59,152.91,151.14,151.4,2354474
"2016-04-21",152.49,152.74,150.69,151.42,2094563
"2016-04-28",152.01,153.65,151.14,151.44,2198141
"2016-05-05",148.98,150.38,146.37,147.84,4867938
"2016-05-12",147.32,147.77,146.32,146.72,2860443
"2016-05-19",142.45,143.08,141.42,142.7,2795729
"2016-05-26",149.01,153.88,147.7,149.71,7665347
"2016-06-02",150.05,151.51,148.55,151.51,3957636
"2016-06-09",153,154.14,152.92,154.05,1812097
"2016-06-16",154.86,156.5,154.11,156.42,1937877
"2016-06-23",158.6,158.79,156.34,157.03,2912400
"2016-06-30",156.96,157.82,155.5,157.04,3091123
"2016-07-07",158.33,164.16,158,163.7,6497912
"2016-07-14",167.15,168,166.28,166.94,2150083
"2016-07-21",167.43,167.75,166.3,167.05,1384561
"2016-07-28",166.26,166.86,165.8,166.35,1866549
"2016-08-04",166.04,167.74,165.89,166.55,1638320
"2016-08-11",169.11,169.59,167.33,167.88,1498052
"2016-08-18",168.42,168.71,167.2,167.75,1353380
"2016-08-25",167.2,167.41,164.64,164.86,1817656
"2016-09-01",159,159,155.54,156.21,6038471
"2016-09-08",155.19,155.49,152.94,153.47,2993129
"2016-09-15",150.72,152.97,150.11,152.67,2304866
