"","FIS.Open","FIS.High","FIS.Low","FIS.Close","FIS.Volume"
"2015-12-17",61.99,62.49,59.75,59.88,2062507
"2015-12-24",61.13,61.42,60.8,61.11,411329
"2015-12-31",60.77,61.36,60.51,60.6,871122
"2016-01-07",58.5,59.61,58.08,59.19,2160638
"2016-01-14",59.41,60.62,58.93,60.3,3068161
"2016-01-21",58.14,58.94,57.67,58.05,2661905
"2016-01-28",59.3,59.46,58.06,58.21,1654714
"2016-02-04",59.46,60.26,59.46,60.15,1448277
"2016-02-11",56.2,56.88,55.99,56.44,1955747
"2016-02-18",59.51,59.76,58.93,59.17,1233499
"2016-02-25",59.33,60.07,58.93,60.04,1556002
"2016-03-03",59.85,60.47,59.43,60.33,2195541
"2016-03-10",60.24,61.75,60.07,61.56,4338544
"2016-03-17",62.73,63.37,62.53,63.06,2292656
"2016-03-24",62.67,62.72,61.95,62.62,1567778
"2016-03-31",63.03,63.74,62.84,63.31,1409342
"2016-04-07",64.05,64.38,63.48,63.89,1480746
"2016-04-14",64.18,64.48,63.93,64.19,1176389
"2016-04-21",66.22,66.68,64.99,65.24,2024283
"2016-04-28",66.02,66.46,65.51,65.67,1617682
"2016-05-05",70.89,71.5,69.93,70.39,2919982
"2016-05-12",72.05,72.98,71.3,71.77,4713444
"2016-05-19",72.05,72.74,71.73,72.61,1753870
"2016-05-26",73.5,74.5,73.26,74.03,1813925
"2016-06-02",74.65,75.46,74.26,75.38,1346818
"2016-06-09",75.07,75.4,74.92,75.14,1190063
"2016-06-16",73.31,73.9,72.93,73.76,2308508
"2016-06-23",73.59,73.92,73.31,73.91,1603346
"2016-06-30",72.51,73.68,72.27,73.68,2288315
"2016-07-07",74.23,74.82,74.23,74.76,1672230
"2016-07-14",77.54,77.75,76.85,76.89,1964532
"2016-07-21",78.05,78.2,77.38,77.83,1773467
"2016-07-28",80.68,80.72,79.76,80.36,1418726
"2016-08-04",78.26,78.81,78.15,78.22,1549180
"2016-08-11",80.15,80.72,80.15,80.5,1491887
"2016-08-18",79.02,79.46,78.97,79.24,1453007
"2016-08-25",79.51,79.75,79.2,79.61,1031758
"2016-09-01",79.41,79.79,79.05,79.64,1407634
"2016-09-08",79.67,80.07,79.1,79.26,2070645
"2016-09-15",75.91,76.97,75.5,76.65,2161661
