"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume"
"2013-02-28",28.86,29.28,28.78,29,5290572
"2013-03-07",29.8,29.8,27.43,27.62,19959702
"2013-03-14",27.74,28.14,27.68,27.94,4239328
"2013-03-21",28.13,29.2,27.78,29.03,9011204
"2013-03-28",30.06,30.34,29.84,30.31,6357198
"2013-04-04",29.69,30.16,29.65,30.04,4101336
"2013-04-11",31.51,32.5,31.48,31.9,13188708
"2013-04-18",31.64,31.64,31.02,31.26,4186316
"2013-04-25",31.98,32.58,31.88,32.52,3625046
"2013-05-02",32.5,32.64,32.12,32.33,4737434
"2013-05-09",33,33.3,32.7,32.86,3853718
"2013-05-16",32.9,33.06,32.34,32.44,4098382
"2013-05-23",32.62,32.71,32.15,32.54,2793624
"2013-05-30",32.68,32.86,32.32,32.34,2269784
"2013-06-06",32.05,32.08,31.36,31.83,3393196
"2013-06-13",32.1,32.83,31.96,32.67,3429718
"2013-06-20",31.88,31.94,31.52,31.7,2320662
"2013-06-27",32.06,32.62,32.06,32.4,2248944
"2013-07-11",33.74,33.77,33.44,33.62,2498512
"2013-07-18",33.18,33.44,33.03,33.28,3895488
"2013-07-25",33.14,33.7,33.14,33.58,2400666
"2013-08-01",33.95,34.68,33.92,34.6,2164892
"2013-08-08",33.78,33.78,33.44,33.56,2800566
"2013-08-15",33,33,32.32,32.44,4364830
"2013-08-22",33.71,35.09,33.66,34.26,4715178
"2013-08-29",33.66,34,33.62,33.9,1945890
"2013-09-05",34.59,34.9,34.49,34.78,2672784
"2013-09-12",35.33,35.4,35.08,35.18,2776400
"2013-09-19",36.1,36.42,36.1,36.17,2330346
"2013-09-26",35.88,36.4,35.88,36.18,1859040
"2013-10-03",36.7,36.95,36.35,36.58,2430374
"2013-10-10",35.82,36.28,35.8,36.18,2958360
"2013-10-17",36.78,36.88,36.51,36.86,3134426
"2013-10-24",37.86,37.98,37.54,37.65,2251646
"2013-10-31",38.54,38.72,38.34,38.68,2531800
"2013-11-07",38.94,39.28,38.4,38.46,2413472
"2013-11-14",39.98,40.62,39.79,40.54,2997848
"2013-11-21",40.78,40.78,39.97,40.13,6071596
"2013-12-05",36.36,36.46,36.02,36.12,3685246
"2013-12-12",35.25,35.66,35.14,35.31,4543380
"2013-12-19",36.64,36.76,36.31,36.66,3337188
"2013-12-26",37.03,37.35,37.03,37.25,1192698
"2014-01-02",37.18,37.68,37,37.14,3027234
"2014-01-09",36.94,37.34,36.86,37.32,4386992
"2014-01-16",36.8,36.8,35.94,36.04,3291974
"2014-01-23",34.52,34.54,33.92,34.24,5468910
"2014-01-30",34.02,34.1,33.78,33.98,3578336
"2014-02-06",33.22,34.68,33.16,34.66,6051608
"2014-02-13",35.09,35.09,34.58,34.79,2634614
"2014-02-20",33.99,34.32,33.63,33.82,4574260
"2014-02-27",36.12,36.26,35.72,36.16,6023086
"2014-03-06",35.98,36.04,35.6,35.88,2678066
"2014-03-13",36.18,36.28,36.02,36.15,2424918
"2014-03-20",36.19,36.54,36.15,36.38,1983872
"2014-03-27",35.66,35.86,35.33,35.7,3714664
"2014-04-03",36.82,37.14,36.6,36.71,1939094
"2014-04-10",35.63,35.78,34.82,34.93,3712106
"2014-04-17",34.66,34.94,34.46,34.5,2246238
"2014-04-24",34.39,34.52,34.21,34.22,2844572
"2014-05-01",34.14,34.53,33.88,34.26,2338162
"2014-05-08",34,34.64,33.95,34.52,4098266
"2014-05-15",34.56,34.56,33.88,34.21,4021512
"2014-05-22",34.04,34.36,33.89,34.05,4193902
"2014-05-29",33.88,33.88,33.52,33.88,4283134
"2014-06-05",34.24,34.44,33.75,34.35,2903952
"2014-06-12",33.62,33.62,33.26,33.39,3424818
"2014-06-19",34.1,34.2,33.82,33.92,2630314
"2014-06-26",33.12,33.19,32.72,33,3861044
"2014-07-03",33.53,33.73,33.53,33.58,1037864
"2014-07-10",33.41,33.52,33.22,33.3,2667692
"2014-07-17",30.96,31.27,30.92,31.1,8842724
"2014-07-24",31.49,32,31.48,31.82,2690346
"2014-07-31",32.16,32.44,32.16,32.2,3757970
"2014-08-07",32.62,32.72,32.24,32.32,3254880
"2014-08-14",32.77,33.08,32.69,33.05,1757468
"2014-08-21",34.98,35.08,34.46,34.62,4846564
"2014-08-28",37.46,37.72,37.04,37.62,2270946
"2014-09-04",38.06,38.52,38.04,38.44,3308684
"2014-09-11",37.56,37.76,37.54,37.74,1976146
"2014-09-18",37.8,37.95,37.7,37.84,1494608
"2014-09-25",37.56,37.76,37.13,37.42,3067458
"2014-10-02",37.51,37.98,37.36,37.9,3073374
"2014-10-09",38.27,38.46,37.86,38.08,5177832
"2014-10-16",37.59,38.47,37.59,38.36,3587960
"2014-10-23",39.7,40.56,39.7,40.04,3319168
"2014-10-30",39.94,40.52,39.77,40.42,1686634
"2014-11-06",39.82,41,39.82,40.94,2497472
"2014-11-13",41.5,41.55,40.96,41.28,2607540
"2014-11-20",41.18,41.77,41.02,41.6,4725700
"2014-12-04",45.38,45.71,45.24,45.52,2198980
"2014-12-11",45.52,46.04,44.65,45.41,2457864
"2014-12-18",46.06,46.36,45.42,46.36,2847818
"2015-01-08",47.96,48.48,47.78,48.47,3329926
"2015-01-15",46,46.91,45.53,45.57,3435000
"2015-01-22",46.09,47.39,45.76,47.13,3200930
"2015-01-29",46.78,47.3,46.42,46.82,2899150
"2015-02-05",47.18,47.92,47.14,47.46,2044172
"2015-02-12",47.5,47.87,47.23,47.84,1652592
"2015-02-19",48.34,48.66,48.02,48.46,1649254
"2015-02-26",49.1,49.85,49.02,49.52,3157742
"2015-03-05",52.58,52.96,52.46,52.48,3284250
"2015-03-12",52.78,53.2,52.54,53.14,2579036
"2015-03-19",52.8,53.41,52.79,53.37,1951182
"2015-03-26",52.24,52.37,51.75,51.88,2505572
"2015-04-02",52.15,52.28,51.72,51.96,2119292
"2015-04-09",52.12,52.38,51.4,51.84,2096630
"2015-04-16",51.86,51.98,51.6,51.73,2138154
"2015-04-23",51.7,52.53,51.63,52.26,1683026
"2015-04-30",49.88,50.28,49.22,49.44,2889658
"2015-05-07",50.66,50.92,50.28,50.42,2417974
"2015-05-14",50.87,51.17,49.5,49.68,5068304
"2015-05-21",50.34,51,50.1,50.78,4253168
"2015-05-28",48.24,48.63,48.14,48.47,2597330
"2015-06-04",48.72,49.28,48.72,48.93,2677000
"2015-06-11",49.06,49.33,48.8,48.93,1548620
"2015-06-18",49.63,50.26,49.6,50.16,1857538
"2015-06-25",50.26,50.28,49.79,49.79,1478118
"2015-07-02",50.33,50.45,48.97,49.31,2015228
"2015-07-09",50.69,51,50.27,50.32,2496230
"2015-07-16",52.71,53,52.32,52.96,1827465
"2015-07-23",53.29,53.43,52.79,52.89,1167894
"2015-07-30",52.55,52.88,52.22,52.75,1009169
"2015-08-06",53.67,55.22,53.15,53.57,2502191
"2015-08-13",53.34,54.13,53.22,53.63,2604283
"2015-08-20",55.25,55.95,54.95,55.25,3531026
"2015-08-27",49.39,49.88,48.74,49.68,3416011
"2015-09-03",48.61,49.2,48.33,48.48,2655422
"2015-09-10",49.25,50.25,49.25,49.84,2845605
"2015-09-17",50.25,51.27,50.19,50.49,2740559
"2015-09-24",48.64,49.06,48.34,48.88,2033520
"2015-10-01",48.48,49.2,47.3,47.86,4028439
"2015-10-08",48.05,49.05,47.91,49.02,2652360
"2015-10-15",48.82,49.54,48.68,49.34,2331457
"2015-10-22",50.5,51.49,50.45,51.04,2062526
"2015-10-29",50.26,50.38,49.52,50.18,1374494
"2015-11-05",51.79,51.91,51.16,51.54,2472012
"2015-11-12",48.1,49.22,48.07,48.11,2945270
"2015-11-19",45.01,46.63,45.01,46.2,4859458
"2015-12-03",53.44,53.61,51.91,52.51,3971858
"2015-12-10",54.25,54.78,53.61,54.15,2360480
"2015-12-17",55.36,55.49,53.73,53.86,2523541
"2015-12-24",54.4,54.58,54.01,54.33,597263
"2015-12-31",54.44,54.54,53.8,53.81,1471703
