"","ITW.Open","ITW.High","ITW.Low","ITW.Close","ITW.Volume"
"2013-10-03",75.31,75.69,74.48,74.91,1888299
"2013-10-10",74.95,76.58,74.85,76.52,2076425
"2013-10-17",75.73,76.92,75.53,76.86,1452467
"2013-10-24",78.94,79.5,78.25,78.51,2289628
"2013-10-31",78.52,79.36,78.3,78.79,1901884
"2013-11-07",78.81,79.28,78.3,78.36,1727093
"2013-11-14",79.5,79.78,79.2,79.55,2103372
"2013-11-21",78.79,79.42,78.74,79.17,1597779
"2013-12-05",77.92,79.23,77.79,78.91,2277696
"2013-12-12",78.61,78.84,78.24,78.43,2056763
"2013-12-19",81.09,82.15,80.87,81.82,2230766
"2013-12-26",83.56,83.84,83.4,83.71,1046025
"2014-01-02",83.97,84.1,83.07,83.19,1390787
"2014-01-09",82.34,82.87,81.93,82.08,1783314
"2014-01-16",82.48,83.08,82.34,82.84,1154805
"2014-01-23",82.24,82.24,81.13,81.54,1448323
"2014-01-30",79.02,79.42,78.76,79.29,2143343
"2014-02-06",77.83,78.62,77.8,78.12,2702687
"2014-02-13",78.32,78.47,77.95,78.18,6027048
"2014-02-20",79.55,80.92,79.46,80.76,1919480
"2014-02-27",82.26,82.65,81.98,82.23,2180326
"2014-03-06",82.59,82.8,82.32,82.37,1845709
"2014-03-13",82.3,82.6,80.94,81.08,2870887
"2014-03-20",80.5,80.71,80.08,80.67,2275232
"2014-03-27",80.54,80.54,79.47,79.84,1542625
"2014-04-03",83.45,83.91,82.96,83.62,2400196
"2014-04-10",83.26,83.59,81.78,81.98,1926048
"2014-04-17",83.53,84.48,83.34,84.21,2654071
"2014-04-24",85.66,85.8,85.16,85.61,1871113
"2014-05-01",85.15,85.74,84.82,85.28,1713797
"2014-05-08",85.88,86.84,85.88,86.12,1236395
"2014-05-15",85.78,86.1,84.82,85.96,2327944
"2014-05-22",85.95,86.26,85.39,85.86,1345093
"2014-05-29",86.72,86.94,86.35,86.75,1271623
"2014-06-05",87.2,87.87,87.05,87.67,1986082
"2014-06-12",88.4,88.41,87.61,87.81,1475166
"2014-06-19",88.5,88.95,88.27,88.88,1719356
"2014-06-26",88.05,88.2,87.31,87.95,1397848
"2014-07-03",87.72,87.97,87.51,87.7,864364
"2014-07-10",85.96,86.25,85.49,85.65,1587902
"2014-07-17",85.77,85.77,84.71,84.74,1936919
"2014-07-24",85.62,86.03,85.29,85.39,2052191
"2014-07-31",83.93,84.01,82.35,82.37,2777580
"2014-08-07",83.29,84.08,82.95,83.04,1790151
"2014-08-14",86.17,86.81,85.94,86.73,1537440
"2014-08-21",89.27,89.44,88.54,89.06,1266821
"2014-08-28",88.05,88.25,87.51,88.03,899271
"2014-09-04",88.17,89.43,88.08,88.29,1863066
"2014-09-11",87.8,88.64,87.71,88.56,1818482
"2014-09-18",89.01,89.11,88.58,88.93,1590388
"2014-09-25",86.4,86.4,84.96,84.96,1986133
"2014-10-02",83.12,83.48,82.66,83.06,1460544
"2014-10-09",83.3,83.39,81.57,81.68,1860286
"2014-10-16",80.1,83.42,79.99,83.07,3936037
"2014-10-23",87.1,87.86,87.1,87.34,1754056
"2014-10-30",89.38,90.16,88.79,90.02,1966942
"2014-11-06",92,93.04,91.66,92.96,1322223
"2014-11-13",93.2,93.42,92.51,92.66,2169565
"2014-11-20",94.04,95.11,93.88,95.08,1734274
"2014-12-04",96.72,96.84,95.85,96.17,1904482
"2014-12-11",95.07,95.81,94.8,94.99,1250104
"2014-12-18",94.47,95.44,94.09,95.44,1685126
"2015-01-08",92.94,94.32,92.9,94.28,1717447
"2015-01-15",92.88,93.5,91.95,92.17,1735598
"2015-01-22",94.43,94.94,93.55,94.6,2242771
"2015-01-29",92.13,94.06,91.68,93.75,3202679
"2015-02-05",96,97.26,95.9,97.07,1671779
"2015-02-12",97.09,97.81,96.9,97.78,1513715
"2015-02-19",97.97,98.8,97.97,98.43,1317797
"2015-02-26",99.87,99.95,99.2,99.31,1775512
"2015-03-05",98.14,99.25,98.09,99.12,1705866
"2015-03-12",96.52,98.25,96.38,98.08,1420170
"2015-03-19",99.36,99.68,98.77,99.37,1666639
"2015-03-26",96.08,96.93,95.78,96.53,1685944
"2015-04-02",96.31,97.3,96.26,96.61,1074605
"2015-04-09",97.07,97.74,96.77,97.28,954635
"2015-04-16",98.59,98.83,98.02,98.24,1431921
"2015-04-23",94.24,95.09,93.77,94.71,2653562
"2015-04-30",94.19,94.83,93.31,93.58,1731890
"2015-05-07",94.74,95.3,94.46,95.02,992174
"2015-05-14",96.45,97.56,96.42,97.46,1324680
"2015-05-21",96.68,97.96,96.52,97.51,1294429
"2015-05-28",95.84,95.89,94.93,95.54,1332781
"2015-06-04",94.48,94.63,93.29,93.45,1481511
"2015-06-11",94.7,94.92,94.2,94.83,1321996
"2015-06-18",93.13,93.88,92.75,93.53,1713792
"2015-06-25",94.48,94.5,92.8,92.91,1800960
"2015-07-02",93.52,93.84,92.81,93.4,1662855
"2015-07-09",92.96,93.35,91.86,91.86,1439575
"2015-07-16",94.26,94.33,93.4,93.61,1265168
"2015-07-23",90.06,90.84,89.19,89.4,2469712
"2015-07-30",88.92,89.55,88.77,89.28,1411873
"2015-08-06",89.6,89.83,89.12,89.22,1026647
"2015-08-13",89.04,89.84,88.6,89.43,968774
"2015-08-20",88.32,88.32,87.39,87.41,1462585
"2015-08-27",84.22,85.28,83.33,84.82,2294435
"2015-09-03",83.76,83.97,82.95,83.25,1459168
"2015-09-10",83.37,83.99,82.85,83.41,1499208
"2015-09-17",85.56,86.91,85.28,85.56,3076874
"2015-09-24",82.31,83.21,81.28,82.88,2302680
"2015-10-01",82.18,82.72,81,81.55,1568457
"2015-10-08",86.11,87.99,85.9,87.68,1238313
"2015-10-15",85.46,85.62,84.4,85.55,1524322
"2015-10-22",85.94,89.86,85.56,89.53,3506144
"2015-10-29",91.9,92.17,91.21,91.92,959852
"2015-11-05",93.1,93.64,92.29,93.1,1109419
"2015-11-12",90.58,91.51,89.69,89.72,1535389
"2015-11-19",91.6,92.6,90.9,92.48,1322757
"2015-12-03",93.47,93.89,91.75,92.36,1803092
"2015-12-10",92.39,94.02,92.22,93.29,1760598
"2015-12-17",93.95,94.17,92.54,92.55,2007606
"2015-12-24",94,94.44,93.97,94.13,338990
"2015-12-31",92.79,93.42,92.41,92.68,1071056
"2016-01-07",85.33,85.98,84.51,84.73,2606632
"2016-01-14",82.83,83.98,81.82,82.83,2530168
"2016-01-21",81.83,82.51,80.58,81.65,3716013
"2016-01-28",87.11,88.77,86.61,88.76,3301704
"2016-02-04",89.57,92.7,89.52,91.46,1744963
"2016-02-11",88.93,90.37,88.32,89.6,1767754
"2016-02-18",95.1,95.85,94.76,95.57,1601931
"2016-02-25",94.64,95.1,93.97,94.98,1582952
"2016-03-03",96.88,97.06,95.85,96.57,1631987
"2016-03-10",97.25,97.63,96.13,97.06,1348752
"2016-03-17",98.45,101.04,98.41,100.68,2363563
"2016-03-24",101.44,101.82,101.22,101.39,1576622
"2016-03-31",102.56,102.98,102,102.44,1233887
"2016-04-07",102.07,103.41,101.98,102.56,2040401
"2016-04-14",105.15,105.6,104.63,104.93,1133175
"2016-04-21",104.61,106.14,104.32,104.57,2086757
"2016-04-28",104.7,105.66,104.3,104.57,1279337
"2016-05-05",103.96,104.35,102.98,103.16,1366493
"2016-05-12",104.52,105.03,103.77,104.53,1488422
"2016-05-19",102.58,103.3,101.68,102.76,1233621
"2016-05-26",105.3,105.82,104.99,105.26,834611
"2016-06-02",106.44,107.12,105.93,107.12,1376115
"2016-06-09",108.56,108.98,107.78,108.8,1482155
"2016-06-16",104.91,105.56,103.86,105.31,1677230
"2016-06-23",106.35,106.82,105.91,106.82,1488648
"2016-06-30",102.14,104.16,102.14,104.16,1609896
"2016-07-07",105.36,106.3,104.99,105.92,1641748
"2016-07-14",111.45,111.78,111.02,111.05,1322145
"2016-07-21",114.16,115.02,113.69,114,2255583
"2016-07-28",115.47,115.73,114.27,115.36,989301
"2016-08-04",114.99,116.41,114.61,115.64,1112949
"2016-08-11",117.91,119.08,117.8,118.88,1002152
"2016-08-18",118.8,118.99,118.39,118.98,938877
"2016-08-25",119.12,119.72,118.86,119.4,1172033
"2016-09-01",118.86,119.65,118.04,119.64,1427161
"2016-09-08",119.16,119.89,118.92,119.02,1268272
"2016-09-15",116.07,117.64,115.83,117.35,981391
