"","MRK.Open","MRK.High","MRK.Low","MRK.Close","MRK.Volume"
"2016-03-17",51.93,51.97,51.33,51.53,9555267
"2016-03-24",52.79,53.35,52.59,53.07,7565772
"2016-03-31",53.08,53.48,52.76,52.91,8259755
"2016-04-07",55.34,55.78,55.05,55.42,10508834
"2016-04-14",56.02,56.6,55.94,56.45,8245094
"2016-04-21",56.34,57.03,56.31,56.6,10535052
"2016-04-28",55.89,56.23,55.54,55.74,9048323
"2016-05-05",54.28,54.4,53.34,54.09,11208270
"2016-05-12",54.59,54.62,53.93,54.12,8222230
"2016-05-19",54.16,54.98,54.08,54.58,8732162
"2016-05-26",56.47,56.72,56.34,56.39,5703588
"2016-06-02",56.44,56.86,56.36,56.82,7295472
"2016-06-09",57.51,57.82,56.93,57.18,9227682
"2016-06-16",56.99,57.67,56.13,57.5,22052207
"2016-06-23",57.48,57.68,57.1,57.68,6968390
"2016-06-30",57.15,57.68,56.91,57.61,9277691
"2016-07-07",58.89,59.02,58.29,58.78,9351899
"2016-07-14",59.87,59.93,59.48,59.65,7345481
"2016-07-21",59,59.1,58.56,58.79,6127255
"2016-07-28",58.52,58.59,58.11,58.43,7289712
"2016-08-04",57.74,58.23,57.74,57.84,5541434
"2016-08-11",62.61,63.73,62.48,63.63,10365025
"2016-08-18",63.08,63.64,63.08,63.63,6926572
"2016-08-25",62.86,63.1,62.27,62.32,7947704
"2016-09-01",62.7,62.98,62.39,62.9,6544694
"2016-09-08",62.45,63.29,62.33,63.24,9186287
"2016-09-15",61.24,62.6,61.12,62.38,9026862
