"","ESRX.Open","ESRX.High","ESRX.Low","ESRX.Close","ESRX.Volume"
"2015-02-12",85,85.1,83.99,84.5,3445086
"2015-02-19",85.07,85.73,84.86,85.5,2971485
"2015-02-26",84.83,85.05,84.16,84.54,6628483
"2015-03-05",83.09,84.47,83.02,84.28,3457749
"2015-03-12",81.66,82.5,81.6,82.28,2207611
"2015-03-19",83.31,84,83.09,83.95,2710393
"2015-03-26",82.94,83.57,82.2,82.99,2894201
"2015-04-02",84.49,85.22,84.14,84.58,2622659
"2015-04-09",85.16,89.25,84.82,88.47,8641569
"2015-04-16",86.85,87.05,85.85,86.37,2553722
"2015-04-23",85.92,87.24,85.38,86.89,3131924
"2015-04-30",84.77,88.86,84.65,86.4,9928669
"2015-05-07",83.79,84.7,83.41,83.85,4129515
"2015-05-14",86.6,87.53,86.4,87.46,9652086
"2015-05-21",88.4,90.99,88.4,90.2,10622232
"2015-05-28",89.8,90.19,88.81,89.23,2829911
"2015-06-04",86.09,86.77,86.09,86.56,4180119
"2015-06-11",87.69,88.45,87.24,88.09,3919109
"2015-06-18",88.36,89.74,88.16,89.59,4592766
"2015-06-25",90.98,91.9,90.33,91.18,4298058
"2015-07-02",89.76,90.22,89.09,89.24,2265986
"2015-07-09",88.65,88.9,87.89,87.91,2528602
"2015-07-16",91.23,91.81,90.96,91.07,3385802
"2015-07-23",94.2,94.2,92.81,93.06,2871274
"2015-07-30",90.73,91.3,89.64,90.25,3767495
"2015-08-06",90.6,91.04,88.33,89.29,3942228
"2015-08-13",88.83,89.61,88.3,88.51,2356079
"2015-08-20",89.32,89.73,88.13,88.13,4108736
"2015-08-27",84.9,85.5,83.56,85.2,3944466
"2015-09-03",84.08,84.99,83.63,83.86,3092084
"2015-09-10",83.46,84.71,82.91,83.9,7716425
"2015-09-17",84.7,85.91,84.23,84.68,4466266
"2015-09-24",82.85,83.15,82.11,82.43,5765466
"2015-10-01",81.34,81.47,79.66,80.97,4059546
"2015-10-08",82.33,83.99,81.86,82.71,4478120
"2015-10-15",83.32,84.69,82.85,84.63,2694563
"2015-10-22",86.18,86.32,81.01,82.69,7893050
"2015-10-29",85.83,87.84,85.83,87.15,3972291
"2015-11-05",88.37,88.88,87.7,88.6,2356709
"2015-11-12",84.58,84.83,82.86,84.46,4300822
"2015-11-19",84.77,85.23,82.96,83.56,4473824
"2015-12-03",86.45,86.94,84.19,84.68,4725227
"2015-12-10",85.37,86.45,85.16,85.99,4051980
"2015-12-17",86.62,87.58,86.35,86.65,4733458
"2015-12-24",87.97,88.65,87.9,88.25,1937390
"2015-12-31",87.23,88.05,87.1,87.41,2117323
"2016-01-07",85.01,86.82,85.01,85.84,5167398
"2016-01-14",79.65,79.65,77.28,77.51,16486911
"2016-01-21",70.95,72.41,69.42,71.91,8220977
"2016-01-28",72.93,72.99,69.48,69.86,7178159
"2016-02-04",68.68,69.92,67.55,68.15,6066623
"2016-02-11",66.39,66.89,65.55,66.37,4844599
"2016-02-18",69.09,69.44,68.1,68.29,4379510
"2016-02-25",69.45,70.14,69.25,69.69,3779368
"2016-03-03",71.29,72.5,70.34,72.4,4296743
"2016-03-10",69.32,70.29,68.1,68.35,4447893
"2016-03-17",69.38,69.48,65.97,67.59,8989396
"2016-03-24",66.93,67.6,66.23,67.38,4909924
"2016-03-31",69.05,69.94,68.15,68.69,6388660
"2016-04-07",68.76,70.98,68.76,70.05,7819600
"2016-04-14",71.33,71.64,70.93,71.17,2480817
"2016-04-21",73.07,73.87,72.49,73.33,3057433
"2016-04-28",75.52,76.35,74.73,74.93,4411906
"2016-05-05",72.63,73.41,72.56,72.95,2736655
"2016-05-12",73.56,73.96,72.16,72.61,3675258
"2016-05-19",71.9,72.81,71.41,72.35,2410523
"2016-05-26",74.48,74.98,74.39,74.71,2317880
"2016-06-02",75.68,76.63,75.5,76.26,2749337
"2016-06-09",76.86,77.19,76.2,76.93,3820505
"2016-06-16",74.05,75.05,73.97,74.74,3856654
"2016-06-23",76.27,77,75.98,76.95,3230515
"2016-06-30",75.98,76.21,75.26,75.8,5270947
"2016-07-07",76.18,77.08,76.08,76.55,2684148
"2016-07-14",79.09,80.02,78.88,79.45,3634880
"2016-07-21",79.28,79.5,78.38,78.59,3307460
"2016-07-28",77.28,77.68,76.93,77.09,2636041
"2016-08-04",76.13,76.37,75.64,75.89,2616791
"2016-08-11",75.83,76.36,75.71,76.17,2927932
"2016-08-18",76.7,77.15,76.53,76.62,2015994
"2016-08-25",76.08,76.08,71.26,71.74,13815591
"2016-09-01",72.98,72.99,71.8,72.22,3564046
"2016-09-08",72.44,72.67,72.09,72.11,3174153
"2016-09-15",70.2,70.7,69.76,70.44,3376584
