"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume"
"2015-08-27",108.24,110.74,107.85,109.92,1816965
"2015-09-03",108.79,109.32,108.08,108.83,1101708
"2015-09-10",110.14,111.42,109.69,110.44,1607666
"2015-09-17",113.45,115.35,113.04,113.54,1585442
"2015-09-24",109.05,111,108.69,110.54,1410875
"2015-10-01",110.21,112.4,109.64,112.33,1800931
"2015-10-08",118.11,120.73,117.72,120.53,1651250
"2015-10-15",121.6,121.87,120.23,121.58,902477
"2015-10-22",118.82,120.77,118.34,120.55,2349621
"2015-10-29",119.03,120.18,119.01,119.93,943098
"2015-11-05",117.2,118.53,116.97,117.64,1292873
"2015-11-12",116.46,116.81,115.13,115.15,814476
"2015-11-19",118.02,118.47,117.43,117.91,740714
"2015-12-03",118.97,119.49,117.38,117.89,1223306
"2015-12-10",116.69,117.29,115.63,115.96,938813
"2015-12-17",118.05,118.49,115.25,115.3,1056969
"2015-12-24",116.19,116.28,115.55,115.78,331069
"2015-12-31",115.04,116.14,114.37,114.38,965446
"2016-01-07",105.95,107.87,104.94,105.27,1963091
"2016-01-14",103.48,105.4,102.48,104.82,1485000
"2016-01-21",102.11,102.74,100.59,101.85,1627953
"2016-01-28",104.08,105.2,103.38,104,1030241
"2016-02-04",107.46,109.68,107.13,109.17,1373717
"2016-02-11",104.02,104.6,102.55,103.3,1437884
"2016-02-18",109.73,110,108.34,108.76,1001044
"2016-02-25",102.59,103.69,101.59,103.68,1250679
"2016-03-03",104.73,105.48,104.46,105.24,1164357
"2016-03-10",104.83,106.26,103.88,105.26,1638952
"2016-03-17",106.03,108.08,106.03,107.84,1762164
"2016-03-24",109.27,110.6,109.08,110.53,1065802
"2016-03-31",112.62,113.4,111.06,111.52,1289121
"2016-04-07",111.73,112.06,110.45,110.73,1014346
"2016-04-14",114.4,115.98,114.08,115.47,1343794
"2016-04-21",115.84,116.66,115.11,115.29,819425
"2016-04-28",115.36,115.73,114.69,115.3,1796206
"2016-05-05",115.32,115.93,114.22,115.04,1240974
"2016-05-12",117.29,117.75,116.6,117.13,944326
