"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume"
"2014-10-30",51.9,52.31,51.27,51.95,487349
"2014-11-06",51.81,52.7,51.64,52.63,412152
"2014-11-13",54.81,54.95,54.27,54.71,1041953
"2014-11-20",54.01,55.13,53.66,55.12,423031
"2014-12-04",56.39,56.74,56,56.33,665040
"2014-12-11",56.96,57.67,56.44,56.46,461073
"2014-12-18",56.44,56.64,55.55,56.1,494833
"2015-01-08",60,61.67,59.74,61.44,1289401
"2015-01-15",61.39,61.94,59.5,59.63,599544
"2015-01-22",56.13,58.11,55.96,58.01,881777
"2015-01-29",58.05,58.78,56.64,58.67,1473080
"2015-02-05",54.64,55.3,54.25,55,717062
"2015-02-12",56.36,57.36,55.82,57.24,814241
"2015-02-19",56.57,57.1,56.09,56.81,657628
"2015-02-26",55.72,56.64,55.63,56.43,877168
"2015-03-05",57.15,58.13,56.93,57.89,453254
"2015-03-12",57,57.21,56.34,56.99,519356
"2015-03-19",56.3,58.39,56.19,58.32,741012
"2015-03-26",54.4,54.92,53.15,54.58,775792
"2015-04-02",52.29,53.3,52.29,52.75,1095982
"2015-04-09",52.63,53,52.27,52.72,921296
"2015-04-16",52.9,53.26,52.29,52.77,602835
"2015-04-23",55.9,56.72,55.5,56.01,1419541
"2015-04-30",59.6,60.13,58.76,58.84,1239182
"2015-05-07",58.66,59.35,58.66,58.87,483457
"2015-05-14",59.02,59.69,58.55,59.31,439910
"2015-05-21",59.07,59.69,58.82,59.38,418863
"2015-05-28",59.5,61.33,59.31,61.18,1060084
"2015-06-04",63.11,63.36,62.39,62.79,1308752
"2015-06-11",62.59,63.05,62.2,62.96,406645
"2015-06-18",62.29,63.48,62,62.15,784059
"2015-06-25",61.25,62.17,61.17,61.57,790830
"2015-07-02",63.37,64,62.8,63.29,1006116
"2015-07-09",63.36,63.37,62.01,62.2,568129
"2015-07-16",65.05,65.58,64.71,65.37,561879
"2015-07-23",65.74,66.52,65.17,65.59,1484213
"2015-07-30",62.8,62.93,62.14,62.36,663849
"2015-08-06",61.95,62.04,60.55,60.94,391119
"2015-08-13",60.63,61.26,60.14,60.2,509828
"2015-08-20",59.5,59.5,57.96,58.02,538189
