"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume"
"2015-07-23",147,147.95,145.79,146.11,4116025
"2015-07-24",145.81,146.47,143.98,144.06,2454976
"2015-07-27",143.22,143.35,140.8,141.03,3532068
"2015-07-28",141.61,142.17,139.51,141.81,4138151
"2015-07-29",142.48,144.61,142.37,144.14,3260403
"2015-07-30",143.35,143.92,142.21,143.01,2643990
"2015-07-31",143.76,144.92,143.29,144.17,3163496
"2015-08-03",144.44,144.75,142.59,143.69,3087956
"2015-08-04",143.55,144.87,143.04,143.54,1972989
"2015-08-05",143.9,145.6,143.77,144.95,2926094
"2015-08-06",144.7,145.25,143.42,143.82,2457029
"2015-08-07",143.22,143.84,141.7,142.42,2953194
"2015-08-10",143.79,146.77,143.78,145.86,3432610
"2015-08-11",144.14,144.93,143.28,144.05,2816679
"2015-08-12",142.55,143.01,139.86,142.43,4405521
"2015-08-13",142.03,145.45,141.53,144.81,5129524
"2015-08-14",144.61,145.47,143.76,145.09,2927085
"2015-08-17",144.6,144.86,142.93,144.44,3745958
"2015-08-18",144.39,145.21,143.82,144.6,1955511
"2015-08-19",143.42,144.48,142.32,142.72,2967691
"2015-08-20",141.62,141.9,136.9,137.02,6578220
"2015-08-21",134.88,135.09,131.46,131.71,7888130
"2015-08-24",123.64,135.5,115.14,127.19,9367054
"2015-08-25",130,130.72,125.43,125.49,7136648
"2015-08-26",129.34,129.76,125.23,129.34,6346570
"2015-08-27",131.08,132.36,129.46,131.87,5721523
"2015-08-28",131.43,133.72,130.86,133.24,4502112
"2015-08-31",132.37,132.7,130.39,130.68,4191922
"2015-09-01",128.16,128.99,126.94,127.44,5813736
"2015-09-02",128.71,130.67,127.74,130.63,4766841
"2015-09-03",132.31,132.35,130.48,131.02,3343868
"2015-09-04",129.55,130.49,128.66,129.76,3714986
"2015-09-08",132.27,133.99,132,133.82,3474899
"2015-09-09",135.59,136.25,132.21,132.65,4695181
"2015-09-10",132.34,134.57,132.27,133.55,2932075
