"","HCN.Open","HCN.High","HCN.Low","HCN.Close","HCN.Volume"
"2013-06-27",65.66,67.22,65.66,67.13,2077434
"2013-07-11",66.62,68.67,66.47,68.6,2521505
"2013-07-18",68.15,68.51,67.84,68.49,1121679
"2013-07-25",65.56,66.04,65.11,65.78,1635124
"2013-08-01",64.67,64.85,63.56,63.58,2322571
"2013-08-08",62.75,62.9,62.29,62.81,1724522
"2013-08-15",60.75,60.79,59.51,59.89,2200189
"2013-08-22",60.71,60.9,60.12,60.77,2014120
"2013-08-29",61.46,61.46,60.71,61.28,1628523
"2013-09-05",61.21,61.25,59.88,60.02,1268486
"2013-09-12",61.77,62.15,61.2,61.29,1289884
"2013-09-19",65.54,66.08,65.27,65.39,2127469
"2013-09-26",63.57,63.73,63.2,63.72,1022501
"2013-10-03",62.78,62.78,61.34,61.58,2242311
"2013-10-10",61.88,63.12,61.81,63.09,1278353
"2013-10-17",64.49,65.36,64.28,65.27,1964414
"2013-10-24",65.31,65.62,64.8,65.58,1164068
"2013-10-31",64.76,65.33,64.56,64.85,1599021
"2013-11-07",62.71,62.83,61.37,61.43,1526318
"2013-11-14",60.01,60.99,59.98,60.56,1467403
"2013-11-21",58.5,58.87,58.33,58.73,1561298
"2013-12-05",55.11,55.48,54.65,55.18,2137132
"2013-12-12",54.2,54.33,53.31,53.64,2400922
"2013-12-19",54.25,54.26,52.42,52.58,3332650
"2013-12-26",53.09,53.47,52.82,53.05,1467790
"2014-01-02",53.15,53.69,53.08,53.54,2575096
"2014-01-09",54.07,54.22,53.5,54.02,1558330
"2014-01-16",55.8,56.17,55.65,56.06,2183410
"2014-01-23",56.6,56.62,55.95,56.03,2188647
"2014-01-30",56.92,57.53,56.8,57.05,1775302
"2014-02-06",56,56.54,55.87,56.28,2066628
"2014-02-13",56.68,57.42,56.55,56.99,1458826
"2014-02-20",57.41,57.95,56.31,56.58,1846557
"2014-02-27",57.99,58.4,57.77,58.13,1038144
"2014-03-06",59.86,59.87,58.94,59.05,1582973
"2014-03-13",59.39,59.39,58.55,58.64,1766868
"2014-03-20",57.06,57.12,56.45,57.05,2027245
"2014-03-27",58.06,58.8,57.82,58.78,1083141
"2014-04-03",59.97,60.09,59.14,59.49,1375547
"2014-04-10",61.95,62.46,61.29,61.67,1644017
"2014-04-17",62.67,62.74,61.4,61.94,1885159
"2014-04-24",61.78,62.58,61.62,62.36,1033732
"2014-05-01",63.02,63.28,62.32,63.25,1450092
"2014-05-08",63.05,64.39,63.05,64.31,2531340
"2014-05-15",63.95,64.6,63.87,64.55,1961741
"2014-05-22",63.93,64.2,63.58,63.64,1461107
"2014-05-29",62.3,62.86,62.25,62.67,3754679
"2014-06-05",63.52,64.82,63.47,64.74,2060126
"2014-06-12",62.79,63.1,62.01,62.95,1918469
"2014-06-19",62.32,63.22,62.2,63.03,3473479
"2014-06-26",62.86,63.23,62.85,62.9,2083220
"2014-07-03",62.26,62.26,61.42,61.92,1463337
"2014-07-10",62.57,63.4,62.51,62.89,2073790
