"","ANTM.Open","ANTM.High","ANTM.Low","ANTM.Close","ANTM.Volume"
"2015-08-13",149.97,150.61,148.45,149.69,1548104
"2015-08-20",150.54,151.62,147.72,147.86,1925513
"2015-08-27",143,144.37,139.44,142.16,2050774
"2015-09-03",140.81,143.94,140.58,142.95,2722072
"2015-09-10",145.11,146.28,143.76,143.94,2026601
"2015-09-17",151.98,152.44,148.32,150.27,2263397
"2015-09-24",147.52,149.98,144.79,147.06,1868694
"2015-10-01",140.31,140.68,137,138.94,2138226
"2015-10-08",139.22,139.38,136.18,137.33,1998369
"2015-10-15",143.13,145.56,137.11,145.23,3426824
"2015-10-22",142.25,143.14,135.24,139.41,5605629
"2015-10-29",140.85,142.71,140.4,141.34,2384532
"2015-11-05",135.51,136.44,133.79,136.04,1847249
"2015-11-12",134.36,135.7,133.26,133.43,1750981
"2015-11-19",130.52,131.98,126.25,127.86,5703812
"2015-12-03",132.78,133.81,129.04,129.43,2837560
"2015-12-10",132.03,135.2,131.33,134.84,1687005
"2015-12-17",137.7,140.49,137.26,139.01,1631774
"2015-12-24",140.68,141.49,140.45,140.56,357532
"2015-12-31",140.12,141.22,139.42,139.44,706709
"2016-01-07",136.12,137.82,134.63,135.43,1596783
"2016-01-14",134.79,139.24,133.86,138.1,2271107
"2016-01-21",137.15,140.49,137.01,138.78,2017424
"2016-01-28",131.09,133.08,126.42,126.42,3195091
"2016-02-04",126,127.49,122.78,126.64,2287916
"2016-02-11",119.8,121.15,118.82,119.98,1920140
"2016-02-18",127.66,129.48,127.53,128.02,1415680
"2016-02-25",130.63,132.24,129.92,132.23,1316776
"2016-03-03",133.25,133.5,130.25,132.97,1524864
"2016-03-10",135.41,139.6,134.65,137.81,2099655
"2016-03-17",143.67,144,138.86,140.35,1609341
"2016-03-24",138.57,140,137.87,139.97,1273917
"2016-03-31",139.61,140.3,137.65,138.99,1375169
"2016-04-07",143.67,144.57,142.5,143.42,1522612
"2016-04-14",143.16,143.72,141.5,143.21,1402016
"2016-04-21",145.27,146.5,144.82,145.91,1262989
"2016-04-28",145.05,146.4,143.61,144,1344151
"2016-05-05",138.73,139.53,136.46,137.07,1710365
"2016-05-12",139.84,140.2,135.15,136.08,2176614
"2016-05-19",135.38,137.01,133.38,133.79,1353639
"2016-05-26",131.46,131.54,129.27,129.61,1651753
"2016-06-02",132.74,133.4,132.2,133.29,1462519
"2016-06-09",133.93,134.73,133.36,133.75,1467725
"2016-06-16",132.11,133.47,130.11,132.28,2788392
"2016-06-23",129.75,130.29,127.72,128.67,3328515
"2016-06-30",130.87,132.15,130.3,131.34,2307478
"2016-07-07",132.44,132.45,128.55,129.44,2008275
"2016-07-14",134.47,134.67,133.5,133.91,828864
"2016-07-21",134.58,140.62,134.16,139,3674782
"2016-07-28",133.15,134.24,132.05,132.9,2531004
"2016-08-04",127.69,127.88,126.13,126.82,1409745
"2016-08-11",128.37,128.6,127.6,128.2,1412895
"2016-08-18",129.05,131.1,128.84,129.43,1866642
"2016-08-25",127.23,128.64,127.01,127.11,1396803
"2016-09-01",124.9,125.72,123.18,123.36,1985043
"2016-09-08",125.7,127.76,125.7,127.67,2126475
"2016-09-15",123.21,124.89,122.96,124.34,1404148
