"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume"
"2015-01-29",69.02,69.25,67.78,68.64,2675077
"2015-02-05",72.24,74.38,72.23,73.94,1592490
"2015-02-12",74.35,75.42,74.35,75.11,1040778
"2015-02-19",74.91,75.53,74.35,74.69,1671918
"2015-02-26",75.77,76.48,74.9,75.29,1315856
"2015-03-05",74.77,74.77,73.01,73.55,2105094
"2015-03-12",70.36,70.93,70.1,70.62,937372
"2015-03-19",70.24,70.24,68.74,68.94,1697138
"2015-03-26",68.81,69.65,68.53,68.83,1515101
"2015-04-02",68.13,68.72,67.74,68.07,1305808
"2015-04-09",70.45,72.06,70.01,71.9,1557614
"2015-04-16",75.08,75.8,74.72,75.35,2379087
"2015-04-23",75.93,76.47,75.29,75.3,1531353
"2015-04-30",76.16,76.5,75.35,76.22,1639155
"2015-05-07",78.74,78.84,78.09,78.31,1780427
"2015-05-14",78.65,78.8,78.12,78.21,1454329
"2015-05-21",77.27,78.3,77.27,78.13,1066428
"2015-05-28",76.44,76.6,76.07,76.51,805082
"2015-06-04",77.77,78.23,76.96,77.79,1567712
"2015-06-11",78.24,78.51,77.76,77.98,761836
"2015-06-18",79.09,80.59,79,80.37,1730496
"2015-06-25",82.44,83.44,82.43,83.14,1606010
"2015-07-02",81.21,81.5,79.63,80.19,1928648
"2015-07-09",77.23,77.78,76.33,76.36,1087036
"2015-07-16",79.43,79.86,78.4,79.63,1711315
"2015-07-23",75.73,75.73,73.02,74.52,2619677
"2015-07-30",78.18,78.75,77.43,78.59,1298837
"2015-08-06",77.2,77.54,76.46,77.13,1145996
"2015-08-13",77.28,77.49,76.69,77.44,1206163
"2015-08-20",74.71,75.55,73.55,73.89,1682629
"2015-08-27",71.2,73.18,70.95,72.63,1788155
"2015-09-03",71.09,71.8,70.56,71.26,1520959
"2015-09-10",69.94,70.96,69.63,70.16,881173
"2015-09-17",71.13,72.2,70.54,70.73,861341
"2015-09-24",66.95,67.66,65.1,67.35,1863532
"2015-10-01",65.13,65.74,64.35,65.5,1258673
