"","UAL.Open","UAL.High","UAL.Low","UAL.Close","UAL.Volume"
"2014-02-27",46.81,47.35,46.42,46.51,3099768
"2014-03-06",47.59,48.85,47.58,47.98,6104221
"2014-03-13",46.18,46.23,44.5,44.93,3631950
"2014-03-20",44.47,45.38,44.1,45.23,3493065
"2014-03-27",44,44.08,42.85,43.89,3501109
"2014-04-03",47.03,47.44,45.75,46.45,2967855
"2014-04-10",44.41,44.75,42.26,42.28,5767035
"2014-04-17",44,44.03,42.77,43.55,3224087
"2014-04-24",44.18,44.58,40.81,41.53,15590464
"2014-05-01",40.77,41.88,40.69,40.92,3201442
"2014-05-08",39.77,41.47,39.71,40.37,5041266
"2014-05-15",41.48,41.65,40.12,40.8,4732729
"2014-05-22",41.26,42.36,41.22,42,3589642
"2014-05-29",44.78,45.33,43.85,44.6,5394058
"2014-06-05",46.93,47.69,46.83,47,4454792
"2014-06-12",44.02,44.13,41.6,42.6,17075735
"2014-06-19",44.24,44.7,43.13,43.63,3676698
"2014-06-26",41.49,42.23,41.04,41.51,6674088
"2014-07-03",39.55,40.49,39.55,39.88,4290675
"2014-07-10",41.6,45.26,41.2,45.17,20819891
"2014-07-17",44.68,45.33,42.96,43.35,8266405
"2014-07-24",48.93,49.28,44.55,44.92,14792876
"2014-07-31",46.04,47.22,45.45,46.39,5015723
"2014-08-07",44.09,44.72,42.71,43.26,5836657
"2014-08-14",44.15,45.94,44.15,45.92,5621024
"2014-08-21",49.45,49.52,47.83,48.01,5271508
"2014-08-28",47.83,48.5,47.52,48.32,2208566
"2014-09-04",49.27,50.86,48.8,50.42,5688330
"2014-09-11",52,52.41,50.6,51.03,5889213
"2014-09-18",49,50.05,48.47,49.9,3552357
"2014-09-25",47.96,47.96,46.43,47.01,5666336
"2014-10-02",45.8,46.94,45.27,46.13,5260717
"2014-10-09",46.2,47.18,44.46,45.04,15993364
"2014-10-16",41.4,44.44,41.36,43.77,10699247
"2014-10-23",46.66,50.55,46.66,49.42,15771061
"2014-10-30",52.18,52.43,51.37,51.74,3917400
"2014-11-06",54.85,56.47,54.6,55.66,6666659
"2014-11-13",54.79,56.79,54.68,56.76,6223180
"2014-11-20",56.79,57.64,56.04,56.39,4670786
"2014-12-04",61.81,63.15,61.19,61.75,8911737
"2014-12-11",64.44,66.5,64.38,65.8,6767616
"2014-12-18",63.52,64.6,62,64.25,5512860
"2015-01-08",65.7,67.52,65.41,66.64,6889597
"2015-01-15",64.28,66.03,63.72,63.83,6255711
"2015-01-22",71,73.2,69.82,72.34,9681207
"2015-01-29",71.38,73.79,70.71,73.53,6116906
"2015-02-05",71.29,71.35,68.63,69.6,5160371
"2015-02-12",66.01,67.55,64.85,67.34,4416597
"2015-02-19",68.45,68.92,66.04,66.09,4806192
"2015-02-26",69.63,69.7,66.39,67.42,7527365
"2015-03-05",69.3,69.31,67.33,67.92,3902648
"2015-03-12",66.19,67.96,66.08,67.74,4361298
"2015-03-19",68.83,70.31,68.19,70.09,5548465
"2015-03-26",64,65.19,63.09,64.97,5993050
"2015-04-02",64.24,64.54,61.73,61.88,7559435
"2015-04-09",62.26,62.92,60.56,61.16,8906243
"2015-04-16",60.95,62.94,60.72,62.2,4452547
"2015-04-23",62.74,64.1,62.31,62.8,8683814
"2015-04-30",59.9,61.29,59.33,59.74,7179945
"2015-05-07",59.81,62.79,59.81,62.52,7861096
"2015-05-14",61.6,62.16,61.17,61.75,3722928
"2015-05-21",54.6,55.37,54.08,54.13,10723093
"2015-05-28",53.7,54.17,53.28,53.49,4948877
"2015-06-04",55.5,56.37,53.99,54.57,7131128
"2015-06-11",52.91,53.53,52.33,52.5,3370897
"2015-06-18",51.43,52.08,51.01,52.01,4278616
"2015-06-25",54.9,55.4,54.37,54.94,4182387
"2015-07-02",51.88,52.51,50.98,51.5,5318875
"2015-07-09",53.46,54.12,53.06,53.26,3437781
"2015-07-16",55.88,56.44,54.98,54.98,5440432
"2015-07-23",58.72,60,56.16,56.67,10259219
"2015-07-30",57.09,57.31,56.55,56.84,3153720
"2015-08-06",58.41,58.96,56.95,57.51,3748966
"2015-08-13",57.65,58.59,57.18,58.35,3337810
"2015-08-20",57.59,57.66,56.52,56.59,4127735
"2015-08-27",54.38,54.73,52.33,53.36,5483002
"2015-09-03",57.53,58.14,57.04,57.25,9934547
"2015-09-10",57.96,58.36,56.6,56.9,6483058
"2015-09-17",58.19,62.21,58.08,61.56,16192663
"2015-09-24",57.58,57.66,55.77,56.33,5696873
"2015-10-01",52.95,53.17,52,53,5924745
"2015-10-08",51.25,52.43,50.5,52.26,4971106
"2015-10-15",57.79,58.08,56.72,57.76,4181509
"2015-10-22",55.09,56.44,54.14,56.05,7514565
"2015-10-29",59.13,60.72,58.6,60.25,4243028
"2015-11-05",60.51,60.98,60.18,60.3,4623364
"2015-11-12",59,60.11,59,59.25,2668121
"2015-11-19",58.09,59.3,57.8,58.5,3292610
