"","FLR.Open","FLR.High","FLR.Low","FLR.Close","FLR.Volume"
"2015-11-19",48.26,48.92,48.17,48.87,1302616
"2015-12-03",48.65,49.1,48,48.31,1638809
"2015-12-10",45.27,45.77,45.16,45.49,1452498
"2015-12-17",46.92,46.98,45.56,46.12,1927243
"2015-12-24",48.55,49.12,48.54,48.71,781775
"2015-12-31",47.48,47.98,47.22,47.22,842741
"2016-01-07",44.73,45.23,44.34,44.48,2169055
"2016-01-14",42.07,42.64,41.08,42.08,2694629
"2016-01-21",41.18,41.93,40.73,41.32,2355233
"2016-01-28",43.6,44.13,43.29,43.55,1420536
"2016-02-04",43.57,45.27,43.31,44.94,1704574
"2016-02-11",41.51,42.32,41.06,41.74,1991631
"2016-02-18",46.76,47.15,46.03,46.46,2174894
"2016-02-25",45.88,46.26,45.16,46.01,956238
"2016-03-03",48.81,49.29,48.34,48.89,1536081
"2016-03-10",50.26,50.44,48.93,49.84,1536912
"2016-03-17",52.79,55,52.79,54.79,2467755
"2016-03-24",53.73,54.15,53.35,54.12,1111547
"2016-03-31",54.12,54.17,53.04,53.7,2177902
"2016-04-07",51.56,51.68,50.79,51.04,1867174
"2016-04-14",53.27,53.62,52.8,52.88,1309044
"2016-04-21",53.28,53.91,53.13,53.72,1335588
"2016-04-28",55.1,55.48,54.19,54.28,1116199
"2016-05-05",54.62,55.29,54.11,54.68,1637811
"2016-05-12",51.91,52.17,51.21,51.33,1265568
"2016-05-19",49.28,49.75,48.96,49.38,1206042
"2016-05-26",52.85,53.14,52.21,52.6,1229133
"2016-06-02",51.93,52.53,51.93,52.52,902338
"2016-06-09",53.53,53.53,52.98,53.36,792974
"2016-06-16",50.22,50.88,49.7,50.77,740046
"2016-06-23",52.36,52.98,52.31,52.98,756786
"2016-06-30",48.74,49.3,48.16,49.28,1468477
"2016-07-07",49.76,50.52,49.64,50.05,1090897
"2016-07-14",53.58,53.83,53.18,53.2,684854
"2016-07-21",53.38,54.2,53.12,53.25,744856
"2016-07-28",53.72,53.99,53.32,53.7,910425
"2016-08-04",52.72,53.44,52.44,52.94,1025504
"2016-08-11",51.95,52.38,51.82,52.02,993724
"2016-08-18",51.98,52.74,51.8,52.56,941750
"2016-08-25",52.8,53.04,52.68,52.88,793234
"2016-09-01",51.9,52.43,50.98,51.53,899308
"2016-09-08",51.59,51.93,51.06,51.08,1408654
"2016-09-15",49.05,49.59,48.9,49.33,811285
