"","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume"
"2015-05-20",64.75,64.95,64.12,64.78,4837627
"2015-05-21",65.13,65.75,64.87,65.58,6049929
"2015-05-22",65.04,65.66,64.9,65.11,3804927
"2015-05-26",64.57,64.82,63.5,63.84,6128788
"2015-05-27",63.94,64.99,63.7,63.82,6754869
"2015-05-28",63.53,63.95,63.11,63.86,5192453
"2015-05-29",63.7,64.08,63.44,63.68,5701567
"2015-06-01",64.46,64.47,63.24,63.61,4140426
"2015-06-02",63.7,64.32,63.4,64.07,5076840
"2015-06-03",63.81,64.29,63.62,63.8,5380761
"2015-06-04",63.41,63.74,62.93,63,5361723
"2015-06-05",62.76,64.22,62.71,63.04,5809871
"2015-06-08",62.92,63.47,62.78,63.43,6630611
"2015-06-09",63.78,64.33,63.06,63.06,6316866
"2015-06-10",63.91,64.24,63.49,64.02,4776336
"2015-06-11",63.97,64.24,63.85,64.03,3890693
"2015-06-12",63.76,63.85,63.12,63.51,4996904
"2015-06-15",63.08,63.64,62.8,63.27,4710220
"2015-06-16",63.44,63.55,62.69,63.43,5310277
"2015-06-17",63.88,64.13,62.71,63.09,4740983
"2015-06-18",63.15,63.5,62.8,62.93,5413298
"2015-06-19",62.55,63.28,62.13,62.35,13125911
"2015-06-22",62.48,62.97,62.19,62.58,4356609
"2015-06-23",62.68,63.35,62.51,63.17,3643707
"2015-06-24",63.13,63.55,62.83,62.83,3974768
"2015-06-25",63.17,63.17,62.13,62.22,4706519
"2015-06-26",62.15,62.28,61.72,62.18,6684200
"2015-06-29",61.42,61.74,61,61.01,5256851
"2015-06-30",61.53,61.61,60.86,61.41,5356245
"2015-07-01",61.51,61.51,59.69,60.03,7394067
"2015-07-02",60.18,60.77,60.18,60.52,6777174
"2015-07-06",59.52,59.76,58.72,59.06,7553690
"2015-07-07",58.9,59.9,58.24,59.65,7129830
"2015-07-08",59.14,59.72,58.08,58.36,5629112
"2015-07-09",59.65,59.76,58.66,58.67,5436649
"2015-07-10",59.31,59.54,58.67,59.13,5056865
"2015-07-13",59.11,59.2,58.64,58.93,4905927
"2015-07-14",58.75,59.74,58.69,59.53,5480979
"2015-07-15",59.11,59.55,58.13,58.42,5229830
"2015-07-16",58.61,58.78,57.68,57.95,5322877
"2015-07-17",57.6,57.89,56.65,57.2,7363807
"2015-07-20",57.18,57.2,56.16,56.57,8086921
"2015-07-21",56.76,57.16,56.17,56.49,8424497
"2015-07-22",56.29,56.39,55.67,55.83,10373332
"2015-07-23",55.1,55.31,53.3,54.04,12065338
"2015-07-24",53.95,53.95,51.98,52.09,13241748
"2015-07-27",51.34,52.02,50.54,50.65,14268141
"2015-07-28",50.94,52.96,50.87,52.24,13384644
"2015-07-29",52.05,53.44,52,52.9,11816703
"2015-07-30",52.99,53.29,51.88,52.07,10081574
"2015-07-31",51.43,51.45,50.25,50.34,12202290
"2015-08-03",49.8,50.47,49.33,49.71,11241135
"2015-08-04",49.59,50.34,49.59,49.87,7690581
"2015-08-05",50.3,50.85,49.03,49.12,8047236
"2015-08-06",48.89,50.36,48.33,50.28,11641105
"2015-08-07",50.25,50.65,48.6,48.84,10286258
"2015-08-10",48.89,50.21,48.55,50.2,10574039
"2015-08-11",49.28,50.52,49.06,50.4,10713638
"2015-08-12",50.21,51.88,50.15,51.54,14037600
"2015-08-13",51,51.05,49.86,50.1,10045531
"2015-08-14",49.99,50.29,49.69,49.77,7851087
"2015-08-17",49.48,49.81,49.26,49.56,5807407
"2015-08-18",49.62,49.79,49.12,49.51,7310189
"2015-08-19",49.28,49.28,47.05,47.68,14528514
"2015-08-20",47.45,48.1,47,47,10545745
"2015-08-21",46.66,47.38,45.38,45.39,13834848
"2015-08-24",41.98,44.93,41.1,42.93,21161664
"2015-08-25",45.02,45.02,42.14,42.19,15722479
"2015-08-26",42.93,43.57,42.25,43.41,18964158
"2015-08-27",44.62,46.53,44.45,45.87,19276595
"2015-08-28",45.56,48,45.56,46.82,14899319
"2015-08-31",46.3,49.32,45.7,49.15,17754624
"2015-09-01",48.17,48.17,46.79,47.75,17177785
"2015-09-02",48.3,48.66,47,48.19,11239480
"2015-09-03",48.5,49.87,47.77,48.18,9671296
"2015-09-04",47.21,47.6,46.86,47.2,10511646
"2015-09-08",48.27,48.68,47.15,48.46,13533927
"2015-09-09",49.05,49.7,47.59,47.85,16175483
"2015-09-10",48,48.75,47.33,48.43,8847016
"2015-09-11",47.74,47.76,46.95,47.36,9247650
"2015-09-14",47.12,47.15,46.34,46.77,8767911
"2015-09-15",47.15,47.79,47.11,47.28,6667487
"2015-09-16",47.71,49.54,47.64,49.47,11338709
"2015-09-17",49.41,50.91,49.06,50.13,14130971
"2015-09-18",49.15,49.52,47.93,48.36,12738971
"2015-09-21",48.85,49,48.14,48.75,7591508
"2015-09-22",47.73,49,47.61,48.62,10218214
"2015-09-23",48.72,48.98,47.81,47.86,6306034
"2015-09-24",47.51,48.23,47.33,47.76,8142645
"2015-09-25",48.54,48.54,46.92,47.19,8630107
"2015-09-28",46.44,47.05,45.84,45.85,7967605
"2015-09-29",46.28,46.69,45.72,46.57,7969437
"2015-09-30",46.92,48,46.9,47.96,8795975
"2015-10-01",48.69,49.4,47.54,48.16,10387764
"2015-10-02",47.58,51.19,47.56,51.19,12545289
"2015-10-05",51.94,53.12,51.51,52.98,12783887
"2015-10-06",53.18,55.53,53.06,55.14,15335321
"2015-10-07",55.94,56.38,53.84,55.27,13755838
"2015-10-08",55,56.54,54.59,56.28,9484693
"2015-10-09",56.59,56.69,55.21,56.1,9090459
"2015-10-12",56.07,56.1,54.46,55.27,7472396
"2015-10-13",54.78,55.9,54.36,55.04,6203202
"2015-10-14",55.05,55.7,54.88,55.46,6396201
"2015-10-15",54.36,55.28,53.8,55.23,7829558
"2015-10-16",55.69,55.95,54.51,55.23,7294494
"2015-10-19",54.49,54.78,53.48,53.69,7910763
"2015-10-20",53.9,54.25,53.19,53.54,8553455
"2015-10-21",53.41,53.82,52.9,52.97,6332113
"2015-10-22",53.33,54.76,53.19,54.58,7366934
"2015-10-23",54.3,54.81,53.65,54.61,5905549
"2015-10-26",54.56,54.57,52.94,52.95,5313476
"2015-10-27",52.01,52.13,50.74,51.69,7972022
"2015-10-28",51.75,53.67,51.58,53.34,9311052
"2015-10-29",52.19,54.54,51.14,53.62,9231053
"2015-10-30",53.93,54.17,52.59,53.35,7531570
"2015-11-02",53,55.25,52.87,54.94,8138864
"2015-11-03",55.3,57.15,55.16,56.73,9096916
"2015-11-04",56.73,56.8,55.47,56.34,8719806
"2015-11-05",55.88,57.24,55.77,56.28,7215571
"2015-11-06",55.77,56.44,55,55.77,6559216
"2015-11-09",55.63,56.14,54.39,54.64,5594907
"2015-11-10",54.48,55.15,54,54.65,5167351
"2015-11-11",54.52,54.74,53.33,53.44,6935831
"2015-11-12",52.45,53.08,51.8,51.97,7337801
"2015-11-13",51.89,52.11,51.03,51.83,6345608
"2015-11-16",51.9,54.44,51.59,54.37,8276579
"2015-11-17",54.15,54.69,53.45,53.9,6216967
"2015-11-18",54.44,55.07,53.44,54.48,4900346
"2015-11-19",54.19,54.47,53.18,53.56,6305888
"2015-11-20",53.62,54.05,52.64,52.93,5728469
"2015-11-23",52.79,53.77,52.47,53.28,5603148
"2015-11-24",53.46,55.61,53.38,55.32,8201874
"2015-11-25",54.99,55.08,54.32,54.38,5144138
"2015-11-27",53.83,54.09,53.25,53.48,2785972
"2015-11-30",53.51,54.49,53.35,54.05,8462727
"2015-12-01",54.46,54.75,53.9,54.61,7703627
"2015-12-02",54.21,54.57,52.18,52.55,10640201
"2015-12-03",52.81,52.98,51.48,51.61,10673036
"2015-12-04",50.84,51.49,50.16,51.19,9393929
"2015-12-07",49.73,50.29,48.16,48.99,11541385
"2015-12-08",47.65,49.15,46.88,48.3,8723011
"2015-12-09",48.35,49.74,47.75,48.47,9890950
"2015-12-10",48.23,49.95,48.01,49.22,11059943
"2015-12-11",48.25,48.45,46.81,48.13,14658388
"2015-12-14",47.58,50.14,47.4,49.53,14130290
"2015-12-15",50.35,51.06,50.14,50.56,10759874
"2015-12-16",50.3,50.84,49.12,49.35,11438912
"2015-12-17",49.37,49.46,46.92,47.28,12951122
"2015-12-18",47.05,47.58,45.76,45.93,16525394
"2015-12-21",46.03,46.15,44.56,45.1,10873348
"2015-12-22",45.18,46.56,44.91,46.28,10361467
"2015-12-23",47.29,49.07,47.27,49.03,9806911
"2015-12-24",49.04,49.21,48.06,48.59,3262118
"2015-12-28",47.61,47.79,46.94,47.19,8786568
"2015-12-29",48.23,48.37,47.2,47.77,6285348
"2015-12-30",46.94,47.74,46.54,46.6,6605053
"2015-12-31",46.06,47.2,45.88,46.69,6681687
"2016-01-04",46.41,47.77,46.08,46.88,8896277
"2016-01-05",46.67,47.52,45.99,47.4,7012434
"2016-01-06",46.1,46.32,45.04,45.35,10995614
"2016-01-07",44.74,45.62,43.92,44.06,10843954
"2016-01-08",44.18,44.59,42.86,43.29,9118753
"2016-01-11",43.32,43.62,40.6,41.12,17258754
"2016-01-12",41.87,42.04,39.13,40.25,16782858
"2016-01-13",40.75,41.79,38.87,39,18906731
"2016-01-14",39.21,41.83,38.66,41.25,18243091
"2016-01-15",39.34,40.45,38.36,39.36,19078757
"2016-01-19",39.74,39.89,35.6,36.4,20779362
