"","JNPR.Open","JNPR.High","JNPR.Low","JNPR.Close","JNPR.Volume"
"2014-08-07",23.45,23.5,22.99,23,4499908
"2014-08-14",23.45,23.65,22.95,23,9829523
"2014-08-21",23.8,24.1,23.65,23.99,5015601
"2014-08-28",23.08,23.19,22.9,23.18,4385386
"2014-09-04",23.07,23.51,23.01,23.17,4143622
"2014-09-11",23.72,23.72,23.31,23.7,4044986
"2014-09-18",22.82,22.98,22.77,22.79,4968314
"2014-09-25",22.52,22.55,22.08,22.16,4990792
"2014-10-02",21.68,22.05,21.61,21.95,2903215
"2014-10-09",21.12,21.12,20.73,20.94,7306761
"2014-10-16",18.83,19.38,18.83,19.19,7666244
"2014-10-23",19.91,20.37,19.78,20.32,8248065
"2014-10-30",20.95,21.23,20.8,20.97,10288318
"2014-11-06",21.45,21.67,21.41,21.61,5634279
"2014-11-13",20.8,20.85,20.35,20.45,7385043
"2014-11-20",21.35,21.49,21.18,21.39,3879762
"2014-12-04",22.22,22.28,22.08,22.24,3912834
"2014-12-11",21.59,21.72,21.34,21.37,4480196
"2014-12-18",21.69,21.91,21.68,21.9,3909737
"2015-01-08",22.61,23.1,22.6,23.03,5419058
"2015-01-15",22.32,22.55,21.32,21.39,10814471
"2015-01-22",21.59,22.06,21.52,22.05,1765374
"2015-01-29",22.71,22.99,22.49,22.71,6543059
"2015-02-05",22.83,23.34,22.82,23.24,4228185
"2015-02-12",23.43,23.94,23.41,23.65,4493380
"2015-02-19",23.73,24.09,23.62,24,3250473
"2015-02-26",24.4,24.56,23.97,24.11,3836676
"2015-03-05",23.32,23.54,23.09,23.15,3831662
"2015-03-12",23.43,23.71,23.39,23.57,3322537
"2015-03-19",23.64,23.91,23.64,23.65,3724591
"2015-03-26",22.55,22.56,22.13,22.31,6027248
"2015-04-02",22.51,22.68,22.43,22.58,3644899
"2015-04-09",23.37,23.73,23.26,23.67,5063006
"2015-04-16",24.27,24.49,24.18,24.29,5969393
"2015-04-23",24.13,24.24,23.62,24,9061799
"2015-04-30",26.46,26.7,26.28,26.43,3959164
"2015-05-07",26.71,26.89,26.66,26.73,3343470
"2015-05-14",27.23,27.44,27.17,27.44,3529639
"2015-05-21",27.55,27.66,27.23,27.59,3318097
"2015-05-28",27.84,27.93,27.61,27.65,5143604
"2015-06-04",27.38,27.47,27.07,27.15,3415446
"2015-06-11",27.8,28.1,27.77,27.92,3626446
"2015-06-18",27.96,28.1,27.45,27.89,6995630
"2015-06-25",26.82,27.12,26.78,26.96,3403759
"2015-07-02",26.34,26.39,25.99,26.11,4327430
"2015-07-09",26.01,26.21,25.61,25.71,5845379
"2015-07-16",26.27,26.54,26.2,26.35,3646161
"2015-07-23",26.39,26.61,26.34,26.49,5959658
"2015-07-30",27.47,27.99,27.24,27.96,6948096
"2015-08-06",28.36,28.46,27.96,28.01,4192748
"2015-08-13",28.4,28.61,28.14,28.17,3649538
"2015-08-20",27.88,28,27.14,27.36,6167881
"2015-08-27",25.82,26.23,25.47,26,5279438
