"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume"
"2015-01-22",82.32,82.97,80.41,81.41,5269282
"2015-01-29",77.18,78.02,75.43,77.77,5502066
"2015-02-05",86.45,90.2,86.28,87.65,6285355
"2015-02-12",88.25,90.82,88.16,89.8,5468702
"2015-02-19",88.19,91.45,87.46,91.24,4946526
"2015-02-26",88.3,89.52,85.64,86.75,6015012
"2015-03-05",87.08,88.14,86.45,87.98,4889929
"2015-03-12",85.2,86.89,85.2,86.02,3027232
"2015-03-19",85.9,86.29,84.71,85.02,2808814
"2015-03-26",86,88.59,86,87.86,4983397
"2015-04-02",88.32,89.48,87.97,87.98,3918975
"2015-04-09",91.59,92.62,90.44,90.74,4365614
"2015-04-16",96.48,96.7,95.5,95.91,3138176
"2015-04-23",96.98,98.49,96.74,97.57,3188361
"2015-04-30",104.1,105.23,103.18,103.52,3846422
"2015-05-07",101.38,102.48,100.02,101.79,4461096
"2015-05-14",104.9,105.78,103.96,104.21,2451688
"2015-05-21",101.9,104.12,101.9,103.42,2077649
"2015-05-28",99.64,101.55,99.64,101.46,2599701
"2015-06-04",100.84,101.19,99.4,99.48,5154379
"2015-06-11",104.26,104.79,103.81,104.32,1907804
"2015-06-18",104.51,105.38,103.76,104.82,3366901
"2015-06-25",105.17,106.5,104.89,106.13,2883255
"2015-07-02",101.5,102.03,101.03,101.65,2395994
"2015-07-09",96.82,98.93,96.68,97.31,3585445
"2015-07-16",100.75,101.49,99.91,100.75,1975676
"2015-07-23",96.09,96.1,93.78,93.8,4504767
"2015-07-30",93.8,94.2,92.66,94.15,2351741
"2015-08-06",91.4,92.1,90.01,90.18,3443073
"2015-08-13",89.49,89.88,88.49,89.28,3137332
"2015-08-20",84.48,85.76,83.79,83.91,4695365
"2015-08-27",83,85.94,82.61,85.26,6190697
"2015-09-03",83.34,84.13,82.14,82.69,3707749
"2015-09-10",82.88,85.03,82.78,84.11,3701032
"2015-09-17",86.27,87.62,85.86,86.2,4116652
"2015-09-24",82.16,84.3,80.82,83.85,4046368
"2015-10-01",84.72,87.04,84.13,85.98,5044086
"2015-10-08",95.57,97.51,95.16,97.5,3711835
"2015-10-15",93.75,94.15,91.49,93.4,4164579
"2015-10-22",93.27,94.61,92.92,94.51,5116163
"2015-10-29",91.58,92.47,91.56,92,3078200
"2015-11-05",94.83,95.82,93.88,94.99,3028955
"2015-11-12",90.75,91,88.77,90.05,4097166
"2015-11-19",94.85,95.1,92.9,93.12,2331558
"2015-12-03",95.66,96.3,94.28,95.17,3880603
"2015-12-10",88.3,88.94,87.14,87.5,2526055
"2015-12-17",89.3,89.36,87.36,87.69,2498565
"2015-12-24",89.45,89.89,88.17,88.17,1314919
"2015-12-31",87,87.9,86.88,86.9,1804419
"2016-01-07",82.38,82.57,79.62,80.09,5271046
"2016-01-14",74.91,77.67,73.94,76.37,4771696
"2016-01-21",72.43,74.79,71.55,74.59,4436401
"2016-01-28",78.75,80.19,77.16,77.39,3831865
