"","UTX.Open","UTX.High","UTX.Low","UTX.Close","UTX.Volume"
"2015-07-02",111.33,111.59,109.22,109.56,5159473
"2015-07-09",110,110.44,108.92,108.92,2554982
"2015-07-16",112.32,112.36,111.04,111.26,3063780
"2015-07-23",102.18,102.19,100.74,101.14,5926087
"2015-07-30",99.38,101.29,99,100.73,6739131
"2015-08-06",98.99,99.21,98.36,98.98,4198449
"2015-08-13",98.54,99,98.06,98.38,4689944
"2015-08-20",97.5,98.15,95.82,95.82,6079717
"2015-08-27",92.52,93.48,91.55,93.27,7454933
"2015-09-03",92,92.58,91.64,91.91,4494967
"2015-09-10",92.04,92.09,90.89,91.4,6120676
"2015-09-17",93.89,94.92,93.14,93.31,5168199
"2015-09-24",85.75,86.99,85.5,86.82,7101033
"2015-10-01",88.9,89.43,87.53,88.36,3596451
"2015-10-08",92.86,94.39,92.84,94.33,4001073
"2015-10-15",92.71,93.23,92.15,93.18,3761643
"2015-10-22",98.29,100.23,98.1,99.79,5717150
"2015-10-29",99.24,99.61,98.24,99.05,3287316
"2015-11-05",100.43,100.99,99.72,100.8,2832488
"2015-11-12",97.26,99.73,96.88,99.22,8803624
"2015-11-19",97.97,98.89,97.83,98.3,4366641
"2015-12-03",95.3,95.8,94.4,94.7,6082505
"2015-12-10",94.07,94.67,91.63,93.87,5814097
"2015-12-17",95.13,95.73,93.84,93.87,4802328
"2015-12-24",95.89,96.52,95.87,96.3,1382707
"2015-12-31",96.41,96.68,95.71,96.07,2950974
"2016-01-07",91.47,93.35,91.43,91.9,6984819
"2016-01-14",89.08,89.58,87.86,89.01,7354476
"2016-01-21",84.83,86.79,84.54,85.57,5741204
"2016-01-28",86.3,87.2,85.92,86.45,5751435
"2016-02-04",86.09,88.71,86.03,88.12,5893531
"2016-02-11",85.39,86.55,83.84,84.66,7670194
"2016-02-18",88.55,89.04,88.16,88.36,4964696
"2016-02-25",93.91,98.73,93.68,98.07,16834573
"2016-03-03",95.2,96.15,95.07,96.11,4597920
"2016-03-10",96.6,97.12,95.05,96.18,4801830
"2016-03-17",97.82,99.27,97.39,98.84,4159642
"2016-03-24",98.15,99.08,98,99.06,2847303
"2016-03-31",100.08,100.42,98.99,100.1,3821429
"2016-04-07",99.9,101.41,99.67,100.89,3828799
"2016-04-14",105,105.43,101.25,104.68,5218172
"2016-04-21",105.56,105.96,105.25,105.43,2628426
"2016-04-28",105.15,105.59,103.69,104.23,4667240
"2016-05-05",101.12,101.23,99.91,100.29,3530255
"2016-05-12",101.78,102.28,101.15,101.46,2866967
"2016-05-19",98.67,98.94,97.94,98.51,3138484
"2016-05-26",100.44,101,100.28,100.41,2503780
"2016-06-02",100.25,100.81,100.07,100.79,2468534
"2016-06-09",101.57,102.35,101.49,102.32,3608910
"2016-06-16",100.29,101.54,99.35,101.12,4550347
"2016-06-23",102.5,102.5,101.73,102.33,3074800
"2016-06-30",100.87,102.57,100.56,102.55,5837739
