"","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume"
"2014-02-20",42.84,43.2,42.24,42.96,2830488
"2014-02-27",42.84,44.36,42.84,44,3563941
"2014-03-06",43.92,44.56,43.68,44.36,1913676
"2014-03-13",43.2,43.28,42,42.4,2541010
"2014-03-20",42.88,44.4,42.8,43.84,2690867
"2014-03-27",43.4,43.88,43.04,43.64,2375096
"2014-04-03",46,47.16,46,47.08,3421460
"2014-04-10",46.08,46.16,45.04,45.24,2179093
"2014-04-17",45.64,45.96,44.88,45.72,2685556
"2014-04-24",48.24,48.28,46.92,47.96,3195413
"2014-05-01",48.4,48.8,48.16,48.32,1765155
"2014-05-08",47.16,48.08,46.84,47.68,1933070
"2014-05-15",47.8,48.08,47,47.44,1707985
"2014-05-22",47.24,47.76,47.2,47.28,1954027
"2014-05-29",49.12,49.2,48.44,49.2,1134913
"2014-06-05",50.12,50.16,49.48,49.64,1437628
"2014-06-12",51.08,51.28,50.4,50.52,1469251
"2014-06-19",50.84,50.88,49.68,49.76,1646329
"2014-06-26",49.6,50.2,48.88,49.36,1955865
"2014-07-03",49.44,49.96,49.29,49.8,736030
"2014-07-10",49.24,49.88,48.92,49.6,1347636
"2014-07-17",50.8,51.52,50.66,51.24,2073168
"2014-07-24",51.32,51.62,50.84,51.36,2447732
"2014-07-31",53.12,53.36,52.52,53.04,3834214
"2014-08-07",52.04,52.4,51.44,51.72,1813706
"2014-08-14",54.4,54.48,53.66,53.8,1889646
"2014-08-21",54.08,54.56,53.92,54.4,1172944
"2014-08-28",54.6,55.08,54.32,55.04,1261212
"2014-09-04",56.24,56.6,54.4,54.48,4059010
"2014-09-11",54.36,54.64,53.84,54.4,1097106
"2014-09-18",55.76,56.2,55.4,55.52,2470705
"2014-09-25",54.32,54.32,52.92,53.04,2124991
"2014-10-02",52.28,52.56,50.68,51.92,1797196
"2014-10-09",52.04,52.34,50.92,51.04,1937938
"2014-10-16",49.88,50.44,49.6,49.72,2972198
"2014-10-23",49.64,51.44,49.56,51.12,3957942
"2014-10-30",51.52,51.88,51,51.24,1397569
"2014-11-06",52.72,53.48,52.42,53.2,1167816
"2014-11-13",54.04,54.24,53.72,53.8,1602318
"2014-11-20",53.6,54.28,53.36,54.16,2188771
"2014-12-04",56.4,57,56.18,56.8,1731888
"2014-12-11",54.56,55.4,54.52,55.08,1535705
"2014-12-18",54.76,55.6,54.6,55.56,1594164
"2015-01-08",54.08,55.28,54.08,55.24,1557496
"2015-01-15",54.92,55.24,53.52,53.56,1498034
"2015-01-22",54.6,56,54.28,55.88,1276012
"2015-01-29",52.96,54.52,52.56,54.24,2609980
"2015-02-05",53.8,54.04,53.44,53.84,1625055
"2015-02-12",54.04,54.52,53.88,54.28,1577134
"2015-02-19",55.24,55.72,54.92,55,1213129
"2015-02-26",54.8,54.92,53.2,53.44,2869956
"2015-03-05",53.48,54.12,52.88,54.08,2167836
"2015-03-12",51.28,51.48,50.56,50.68,2015086
"2015-03-19",51.88,52.2,51.32,51.36,1962726
"2015-03-26",51.4,51.82,50.8,51.48,1643039
"2015-04-02",50.88,51.34,50.72,51.08,1851838
"2015-04-09",52.24,52.68,51.88,52.52,1035878
"2015-04-16",52,52.28,51.4,51.68,1849691
"2015-04-23",51.48,52.84,51.48,52.56,2701393
"2015-04-30",46.24,46.24,45.12,46,5143320
"2015-05-07",45.76,46.12,45.16,45.28,3550063
"2015-05-14",45,45.48,44.96,45.2,1905045
"2015-05-21",45.68,46.3,45.64,46.04,1688662
"2015-05-28",45.56,46.22,45.48,46,1597695
"2015-06-04",45.92,46.16,45.04,45.24,2040354
"2015-06-11",45.32,45.9,45.24,45.48,1784314
"2015-06-18",44.56,44.96,44.4,44.56,1638720
"2015-06-25",44.08,44.36,43.94,44.04,2578858
"2015-07-02",42.96,42.96,41.76,42.24,3189628
"2015-07-09",41.64,41.92,40.96,40.96,4541212
"2015-07-16",42,42.62,41.96,42.44,3269449
"2015-07-23",42.8,43.68,42.64,43.24,3956841
"2015-07-30",42.92,43.12,42.6,43.08,2424276
"2015-08-06",44,44.52,43.88,43.88,2392425
"2015-08-13",44.04,44.28,43.56,43.8,1643982
"2015-08-20",44.56,44.92,44.04,44.12,2857630
"2015-08-27",40.2,41.04,39.96,40.92,3861037
"2015-09-03",39.92,40.68,39.92,40.08,4932924
"2015-09-10",40.96,41.52,40.76,41.24,2609048
"2015-09-17",42.36,43.12,42.2,42.32,2241397
"2015-09-24",40.36,40.72,39.84,40.4,2064426
"2015-10-01",38.84,39.12,38,38.56,2793070
"2015-10-08",41.44,42.36,41.36,42.12,2550869
"2015-10-15",40.4,41.36,40.12,41.2,8756616
"2015-10-22",40.76,41.36,40.6,41.16,2330521
"2015-10-29",37.28,37.4,36.68,37.36,2733530
"2015-11-05",38.56,38.92,38.12,38.52,1465553
"2015-11-12",40.72,41.2,40.32,40.52,3952428
"2015-11-19",42.12,42.36,41.48,41.72,1654458
