"","ORCL.Open","ORCL.High","ORCL.Low","ORCL.Close","ORCL.Volume"
"2014-04-24",39.76,39.86,39.02,39.75,13966368
"2014-05-01",40.72,41.19,40.64,40.97,13946266
"2014-05-08",41.09,41.26,40.55,40.87,10212874
"2014-05-15",41.84,42.17,41.64,41.93,19267105
"2014-05-22",41.6,41.94,41.5,41.52,12276366
"2014-05-29",41.79,42.21,41.61,42.2,9630468
"2014-06-05",41.85,42.33,41.74,42.1,10648457
"2014-06-12",42.53,42.62,41.84,42,11060987
"2014-06-19",42.93,43.19,42.43,42.51,27255839
"2014-06-26",40.55,40.55,39.98,40.15,16643088
"2014-07-03",40.98,41.36,40.97,41.34,7863604
"2014-07-10",39.89,40.52,39.89,40.32,9566987
"2014-07-17",40.21,40.71,39.86,39.91,24450522
"2014-07-24",40.35,40.67,40.35,40.47,10797706
"2014-07-31",40.65,40.94,40.35,40.39,13690385
"2014-08-07",40.3,40.43,39.58,39.67,9180938
"2014-08-14",40.29,40.4,39.98,40.22,9707120
"2014-08-21",41.16,41.81,41.16,41.58,9569211
"2014-08-28",41.67,41.67,41.21,41.27,8737110
"2014-09-04",41.89,42.09,41.37,41.55,12248108
"2014-09-11",40.25,40.69,40.2,40.68,12393909
"2014-09-18",41.35,41.77,41.2,41.55,26454473
"2014-09-25",39.35,39.35,38.64,38.76,13296768
"2014-10-02",38.15,38.55,37.92,38.27,14808086
"2014-10-09",38.99,39.21,38.51,38.74,15004850
"2014-10-16",37.99,38.18,37.52,37.56,21419345
"2014-10-23",38.08,38.5,38.01,38.23,9667612
"2014-10-30",38.4,38.66,38.39,38.5,9644417
"2014-11-06",39.22,39.86,39.11,39.81,11603443
"2014-11-13",40.17,40.77,39.89,40.72,11868670
"2014-11-20",40.71,41,40.61,40.92,9062196
"2014-12-04",42.12,42.12,41.49,41.89,9247301
"2014-12-11",41.12,41.64,40.71,40.76,12395832
"2014-12-18",43.83,45.37,43.57,45.35,54495641
"2015-01-08",43.63,43.94,43.38,43.41,17516877
"2015-01-15",43.48,43.64,42.57,42.63,13431005
"2015-01-22",43.95,45.33,43.18,44.05,17969124
"2015-01-29",42.82,43.02,42.32,42.86,12805069
"2015-02-05",42.5,43.24,42.5,43.16,9630270
"2015-02-12",43.48,44.06,43.41,43.89,12519731
"2015-02-19",44.13,44.37,44,44.11,8465711
"2015-02-26",43.8,44.15,43.71,43.89,8519272
"2015-03-05",43.66,43.89,43.26,43.8,10983546
"2015-03-12",41.46,41.76,41.26,41.62,13716747
"2015-03-19",44,44.49,44,44.16,15729627
"2015-03-26",42.78,43.23,42.46,42.99,14065618
