"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume"
"2014-08-14",82.95,83.91,82.55,83.69,2849886
"2014-08-21",86.7,86.72,86.01,86.24,1767584
"2014-08-28",86.03,86.92,85.82,86.61,1188238
"2014-09-04",87.22,87.87,86.54,86.88,3331976
"2014-09-11",84.58,85.11,83.57,84.01,3321134
"2014-09-18",85.71,86.39,85.37,85.89,3497398
"2014-09-25",82.83,82.83,81.74,81.74,2429249
"2014-10-02",79.18,79.39,75.94,77.76,8948755
"2014-10-09",78.97,79.37,76.56,76.61,3570416
"2014-10-16",67.46,70.52,66.12,69.71,8930411
"2014-10-23",76.42,77.07,75.96,76.12,3223058
"2014-10-30",76.35,77.57,75.63,77.4,3747018
"2014-11-06",75.18,75.64,74.32,75.42,4054378
"2014-11-13",72.63,72.72,70.22,70.83,5418429
"2014-11-20",75.52,77.99,75.5,77.83,4789859
"2014-12-04",74.33,75.24,73.62,74.97,3914586
"2014-12-11",67.11,68.12,66.62,66.82,4743700
"2014-12-18",69.9,70.3,66.83,69.03,5258512
"2015-01-08",67.1,68.9,66.6,68.89,5432708
"2015-01-15",60.24,60.5,58.68,59.09,5531113
"2015-01-22",66.84,67.59,65.97,67.31,5501532
"2015-01-29",69.95,70.69,68.65,70.48,5810118
"2015-02-05",75.3,75.89,74.33,75.21,3014419
"2015-02-12",74.73,75.32,74.08,75.11,2812748
"2015-02-19",75.47,77.88,74.94,77.43,4599027
"2015-02-26",78.99,80.18,78.38,80.06,4279905
"2015-03-05",78.2,78.35,76.86,76.88,2722044
"2015-03-12",75.1,75.9,74.01,74.16,2960806
"2015-03-19",77.22,77.87,76.69,77.51,2647415
"2015-03-26",79.7,79.93,78.4,78.44,2035792
"2015-04-02",79.28,80.07,77.94,78.17,4424716
"2015-04-09",77.28,77.91,76.8,77.81,3572685
"2015-04-16",78.82,79.46,78.13,79.24,2545740
"2015-04-23",81.14,81.72,80.84,81.23,2919041
"2015-04-30",80.9,81.17,78.9,79.31,4829420
"2015-05-07",79.8,80.12,78.91,79.94,4047619
"2015-05-14",80.41,81.68,80.4,81.63,2658355
"2015-05-21",80.69,81.38,80.27,81,2289441
"2015-05-28",78.94,79.67,77.98,79.56,3302186
"2015-06-04",77.71,78.07,77.18,77.38,2622961
"2015-06-11",77.98,79.29,77.48,78.67,3126404
"2015-06-18",78.91,80.48,78.8,80.03,2508081
"2015-06-25",79.19,79.52,78.8,78.89,2347771
"2015-07-02",81.47,82.18,81,81.45,3388871
"2015-07-09",79.6,80,79.19,79.45,3839194
"2015-07-16",82.42,83.44,82.02,83.21,3018197
"2015-07-23",82.11,82.48,81.22,81.39,2110277
"2015-07-30",79.49,79.98,78.38,79.12,4040972
"2015-08-06",78.45,79.86,77.94,79.64,4605267
"2015-08-13",83.2,84.4,82.49,83.08,4177415
"2015-08-20",80.24,81.78,79.42,79.53,3734959
"2015-08-27",75.03,76.54,73.17,75.02,5779424
"2015-09-03",79.1,80.06,77.77,78.46,3356948
"2015-09-10",81.21,82.07,80.11,81.02,4419395
"2015-09-17",79.48,80.76,78.38,79.31,3974617
"2015-09-24",77.61,78.42,76.51,77.65,3714315
"2015-10-01",77.63,78.48,76.52,77.93,2965943
"2015-10-08",82.97,84.87,82.37,84.58,3179229
"2015-10-15",83.03,83.89,81.86,83.49,2181074
"2015-10-22",81.33,82.84,80.73,82.61,3323280
"2015-10-29",84.52,86.92,84.52,86.43,3568939
"2015-11-05",93.34,93.95,92.61,93.68,3106417
"2015-11-12",89.96,89.96,88.41,89.24,2681625
"2015-11-19",92.36,92.98,91.63,92.38,2322542
"2015-12-03",91,91.28,88.2,88.57,2834604
"2015-12-10",86.48,87.55,85.68,86.75,2694463
"2015-12-17",83,83.34,81.76,81.78,3147685
"2015-12-24",84.53,84.98,83.81,84.36,1054240
"2015-12-31",81.5,82.41,81.21,81.8,2095784
"2016-01-07",76.67,78.11,75.95,76.45,6357978
"2016-01-14",75.93,80.08,74.32,79.28,5347514
"2016-01-21",76.71,77.23,75.29,76.04,4359656
"2016-01-28",79.24,80,77,78.7,5159610
"2016-02-04",79.09,80.92,78.6,79.88,5641396
"2016-02-11",73.53,75.04,71.74,72.9,7702917
"2016-02-18",81.34,81.75,78.89,79.44,4190447
"2016-02-25",79.25,79.33,77.62,78.76,3293221
"2016-03-03",84.94,86.58,84.55,86.09,3831306
"2016-03-10",86.07,86.07,84.12,85.43,2463370
"2016-03-17",88.01,88.66,86.44,88.38,2442564
"2016-03-24",86.97,88.12,86.57,88.06,2547271
"2016-03-31",87.27,87.81,86.21,86.59,2808539
"2016-04-07",84.6,85.02,83.83,84.51,1741240
"2016-04-14",87.11,87.63,86.57,86.92,1735290
"2016-04-21",86.84,87.65,86.08,87.4,2270587
"2016-04-28",88.36,89.06,87.34,87.79,3036519
"2016-05-05",80.02,80.82,78.44,79.08,2830377
"2016-05-12",80,80.1,77.84,78.25,2603211
"2016-05-19",77.55,77.96,76.68,77.65,2210059
"2016-05-26",80.42,80.6,79.12,80.04,3567052
"2016-06-02",80.57,81.43,80.52,80.83,2303665
"2016-06-09",81.65,81.89,80.88,81.13,3298236
"2016-06-16",78.47,79.57,78.1,79.43,1867433
"2016-06-23",80.02,80.87,79.6,80.87,2097293
"2016-06-30",79.4,79.49,77.71,79.34,3505627
"2016-07-07",76.59,77.1,73.67,74.27,6056071
"2016-07-14",76.36,76.81,76.06,76.61,2901024
"2016-07-21",75.55,76.17,74.95,75.12,2659814
"2016-07-28",75.69,76.38,75.09,76.25,4051947
"2016-08-04",78.37,78.83,77.31,77.54,2692882
"2016-08-11",77.42,78.47,77,78.16,1962223
"2016-08-18",77.98,78.18,77.18,77.95,3632135
"2016-08-25",77.89,79.45,77.83,79.07,3665977
"2016-09-01",78.93,78.93,77.66,78.29,2165433
"2016-09-08",79.8,80.46,79.47,80.08,2001807
"2016-09-15",77.43,79.53,77.1,79.1,2885369
