"","DFS.Open","DFS.High","DFS.Low","DFS.Close","DFS.Volume"
"2015-07-09",57.55,57.63,56.61,56.75,3051139
"2015-07-16",59.24,59.56,59.09,59.31,2670480
"2015-07-23",58.81,58.83,56.9,57.24,8283487
"2015-07-30",55.37,56.38,55.31,56.28,3176596
"2015-08-06",54.52,54.58,53.55,53.59,4627735
"2015-08-13",55.38,55.56,54.69,55.09,3317526
"2015-08-20",55.51,56.84,55.11,55.49,4204584
"2015-08-27",53.62,54.63,53.3,54.44,3921243
"2015-09-03",52.11,52.76,51.93,52.2,3442479
"2015-09-10",52.33,52.91,52.2,52.5,2743172
"2015-09-17",53.4,54.24,52.99,53.19,3803111
"2015-09-24",51.24,51.69,50.86,51.45,2515688
"2015-10-01",51.73,52.09,51.43,51.75,3533479
"2015-10-08",55.16,55.9,54.96,55.72,2829122
"2015-10-15",54.93,55.43,54.55,55.36,3222849
"2015-10-22",55.19,56.14,54.97,55.88,4453154
"2015-10-29",57.29,57.49,56.44,56.94,2747978
"2015-11-05",56.42,56.93,56.34,56.91,2826473
"2015-11-12",56.72,56.76,55.93,56.01,3496090
"2015-11-19",57.12,57.81,56.91,57.65,3384321
"2015-12-03",56.18,56.26,55.1,55.31,3105007
"2015-12-10",54.09,54.95,54.09,54.27,3487324
"2015-12-17",55.11,55.19,53.75,53.88,4123995
"2015-12-24",54.71,55.01,54.33,54.77,1908667
"2015-12-31",54.1,54.49,53.62,53.62,1989791
"2016-01-07",50.79,51.8,50.46,50.6,4824102
"2016-01-14",49.06,50.43,48.19,50.16,5631336
"2016-01-21",48.78,49.53,48.29,48.42,4576566
"2016-01-28",46.08,46.99,44.82,44.83,12584527
"2016-02-04",45.29,46.41,45.14,46.31,6493147
"2016-02-11",44.14,44.14,42.86,43.25,6535656
"2016-02-18",46.44,46.86,45.98,46.39,2437878
"2016-02-25",46.75,47.16,46.25,47.16,2133912
"2016-03-03",47.96,48.85,47.84,48.76,3430108
"2016-03-10",48.28,48.53,47.5,48.31,2739058
"2016-03-17",48.69,49.87,48.45,49.52,2989612
"2016-03-24",49.47,49.7,49.08,49.68,1888966
"2016-03-31",50.23,51.13,50.12,50.92,4003745
"2016-04-07",50.71,50.86,49.98,50.26,3176330
"2016-04-14",52.46,52.68,52.09,52.32,2513303
"2016-04-21",57.13,58.1,56.26,56.36,4341140
"2016-04-28",56.51,57.25,56.46,56.68,2258185
"2016-05-05",55.22,55.62,54.62,54.83,2354638
"2016-05-12",55.52,55.84,54.96,55.3,2038588
"2016-05-19",54.25,54.88,53.91,54.44,2779034
"2016-05-26",56.52,56.62,56.17,56.19,1509535
"2016-06-02",56.91,57.15,56.53,57.15,1757525
"2016-06-09",57.11,57.15,56.45,56.8,1847889
"2016-06-16",52.77,52.77,51.54,52.59,6309084
"2016-06-23",54,54.28,53.82,54.28,2892095
"2016-06-30",52.84,53.61,52.18,53.59,3732795
"2016-07-07",52.81,53.63,52.81,53.22,2889524
"2016-07-14",57.34,57.53,56.78,57.44,3313400
"2016-07-21",56.3,56.68,55.95,56.1,2548534
"2016-07-28",56.57,57,56.31,56.88,1529941
"2016-08-04",56.34,56.7,56.24,56.51,1790964
"2016-08-11",57.63,58.27,57.48,58.05,2877667
"2016-08-18",58.06,58.33,57.91,58.12,1897527
"2016-08-25",57.84,58.1,57.72,58.01,2198926
"2016-09-01",60.03,60.29,59.19,59.6,2552694
"2016-09-08",59.56,59.86,59.33,59.72,2467095
"2016-09-15",57.31,57.91,57.01,57.69,3217364
