"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume"
"2015-03-05",69.35,69.72,69.01,69.48,546495
"2015-03-12",70.49,71.36,70.05,70.9,1089223
"2015-03-19",71.03,71.52,70.31,70.93,1094697
"2015-03-26",68.63,69.94,68.17,69.62,1569842
"2015-04-02",69.88,70.8,69.71,70.7,987009
"2015-04-09",71.31,71.31,70.52,71.2,891999
"2015-04-16",70.95,71.11,70.42,71,867700
"2015-04-23",73.79,74.27,73,73.79,1735867
"2015-04-30",73.1,73.95,72.9,73.15,1194607
"2015-05-07",74.35,74.82,74.12,74.64,993497
"2015-05-14",74.83,75.17,74.38,75.01,1169932
"2015-05-21",75.9,76.34,75.76,76.03,947482
"2015-05-28",75.39,75.74,75.15,75.65,810921
"2015-06-04",74.74,75.08,73.86,74.26,833549
"2015-06-11",77.35,77.63,77.12,77.5,865640
"2015-06-18",77.37,77.82,76.48,77.7,1442804
"2015-06-25",78.1,78.4,77.37,77.69,900126
"2015-07-02",77.07,77.74,75.69,76.68,1145016
"2015-07-09",74.81,75.59,74.46,74.74,989149
"2015-07-16",78.24,78.75,77.92,78.66,882947
"2015-07-23",78.3,79.25,77.65,78,1870308
"2015-07-30",76.72,77.39,76.51,77.26,878404
"2015-08-06",77.46,77.85,76.89,77.15,747915
"2015-08-13",76.79,77.43,76.45,76.99,603325
"2015-08-20",76.78,76.81,75.02,75.03,1012519
"2015-08-27",68.92,70.28,68.92,70.07,1608270
"2015-09-03",69.1,70.4,69,69.43,1117445
"2015-09-10",69.36,70.25,68.79,69.9,1477650
"2015-09-17",70.94,71.8,69.21,69.42,1776092
"2015-09-24",66.98,67.27,66.05,67.12,1199108
"2015-10-01",68.14,68.78,67.44,68.21,1174973
"2015-10-08",68.51,69.32,68.41,69.12,1155175
"2015-10-15",68.03,69.46,68,69.45,1670649
"2015-10-22",66.53,68.77,66.52,68.1,2683404
"2015-10-29",71.49,72.09,70.76,71.02,1572509
"2015-11-05",72.39,73.4,72.06,73.28,1413167
"2015-11-12",74.31,74.68,73.93,73.95,1113454
"2015-11-19",75.58,75.9,75.01,75.4,720131
"2015-12-03",74.44,74.6,72.49,72.77,1844103
"2015-12-10",72.32,73.25,72.04,72.13,1574734
"2015-12-24",72.8,73.39,72.74,72.96,382842
"2015-12-31",72.55,73.18,72.08,72.09,985082
"2016-01-07",67.37,68.2,66.81,67.18,1355254
"2016-01-14",65.39,66.55,64.18,65.74,1501723
"2016-01-21",62.04,62.27,58.98,59.01,3803332
