"","CMCSA.Open","CMCSA.High","CMCSA.Low","CMCSA.Close","CMCSA.Volume"
"2014-11-06",27.64,27.72,27.3,27.69,20029272
"2014-11-13",26.85,27.3,26.7,27.15,41505696
"2014-11-20",27.18,27.24,27.02,27.19,18481066
"2014-12-04",28.42,28.62,28.05,28.19,30111662
"2014-12-11",27.86,28.22,27.74,27.95,21024650
"2014-12-18",27.7,28.27,27.49,28.14,34911906
"2015-01-08",27.88,28.52,27.8,28.19,31532326
"2015-01-15",28,28.22,27.72,28,32459822
"2015-01-22",27.98,28.34,27.83,28.28,26890658
"2015-01-29",27.43,27.53,26.76,26.94,41683576
"2015-02-05",28.4,28.7,28.32,28.48,25603186
"2015-02-12",28.94,29.2,28.86,29.19,23389552
"2015-02-19",29.09,29.09,28.84,28.92,20639238
"2015-02-26",29.68,29.75,29.42,29.58,23584076
"2015-03-05",30.16,30.22,29.89,30.16,22162734
"2015-03-12",29.22,29.72,29.18,29.66,24032466
"2015-03-19",29.52,29.6,29.22,29.37,21219234
"2015-03-26",28.02,28.23,27.84,27.96,35943644
"2015-04-02",28.54,29.09,28.3,28.97,41127618
"2015-04-09",29.6,29.84,29.53,29.8,23399134
"2015-04-16",29.86,30.02,29.78,29.84,22000624
"2015-04-23",29.3,30.42,29.24,29.62,123828356
"2015-04-30",29.18,29.48,28.66,28.88,46140170
"2015-05-07",28.75,29.12,28.68,28.96,26825360
"2015-05-14",28.36,28.52,28.14,28.27,27972032
"2015-05-21",28.78,29.1,28.72,28.77,37799248
"2015-05-28",29.56,29.64,29.34,29.52,23096026
"2015-06-04",29.5,29.84,29.38,29.48,26743104
"2015-06-11",29.14,29.4,29.05,29.38,22679688
"2015-06-18",29.96,30.42,29.92,30.24,28950116
"2015-06-25",30.33,30.73,30.23,30.44,24223306
"2015-07-02",31.14,31.78,31.06,31.17,39168186
"2015-07-09",31.26,31.35,30.95,31,22347052
"2015-07-16",32.08,32.32,32,32.16,21376534
"2015-07-23",32.45,32.45,31.12,31.24,41967932
"2015-07-30",31.2,31.32,31.02,31.18,19701294
"2015-08-06",30,30.1,28.58,29.38,76381976
"2015-08-13",29.73,30.09,29.54,29.82,27787418
"2015-08-20",29.54,29.68,29.03,29.18,37382890
"2015-08-27",27.95,28.43,27.72,28.38,31542100
"2015-09-03",28.09,28.44,28.01,28.1,24022844
"2015-09-10",28.25,28.47,28,28.27,23855594
"2015-09-17",29.07,29.64,28.88,29.23,34248324
"2015-09-24",28.5,28.64,28,28.41,21416638
"2015-10-01",28.76,28.86,28.26,28.7,23769718
"2015-10-08",29.7,30.54,29.53,30.49,25808724
"2015-10-15",30.27,30.54,30.02,30.5,13941780
"2015-10-22",30.58,31,30.58,30.85,20521546
"2015-10-29",31.04,31.64,30.9,31.53,18170278
"2015-11-05",30.74,30.96,30.5,30.9,18307552
"2015-11-12",30.68,31.05,30.55,30.74,15603022
"2015-11-19",31.26,31.5,31.12,31.31,15694264
"2015-12-03",30.2,30.4,29.66,29.81,23257276
"2015-12-10",29.1,30.13,29.1,29.84,26719608
"2015-12-17",29.24,29.41,28.7,28.7,20151506
"2015-12-24",28.72,28.76,28.57,28.65,6986806
"2015-12-31",28.27,28.6,28.1,28.22,15523248
"2016-01-07",27.04,27.68,26.88,27.3,32423498
"2016-01-14",26.78,27.82,26.68,27.52,25855586
"2016-01-21",26.8,27.42,26.59,27.16,30690034
"2016-01-28",27.24,27.29,26.81,27.06,25516158
"2016-02-04",29.09,29.72,28.8,29.1,56050928
"2016-02-11",27.43,28.16,27.35,28.02,34568818
"2016-02-18",28.72,28.87,28.3,28.66,23179388
"2016-02-25",29.08,29.26,28.86,29.26,12823168
"2016-03-03",29.72,30.14,29.72,29.96,19431144
"2016-03-10",29.3,29.57,29.03,29.18,18001870
"2016-03-17",29.96,30.57,29.86,30.38,21077924
"2016-03-24",29.38,30.09,29.34,30,19702056
"2016-03-31",30.36,30.68,30.32,30.54,17589842
"2016-04-07",31.02,31.16,30.51,30.7,19195282
"2016-04-14",31.08,31.15,30.84,30.92,13642916
"2016-04-21",30.62,30.68,30.19,30.47,28458426
"2016-04-28",30.36,31,30.25,30.58,28094996
"2016-05-05",30.52,30.73,30.27,30.52,16668458
"2016-05-12",31.18,31.33,30.91,31.13,16656192
"2016-05-19",30,30.3,29.81,30.12,17773294
"2016-05-26",31.28,31.44,31.04,31.14,13549582
"2016-06-02",31.84,31.91,31.7,31.83,12857688
"2016-06-09",31.44,31.56,31.27,31.46,11233064
"2016-06-16",31.1,31.62,30.92,31.55,15080840
"2016-06-23",31.67,31.74,31.32,31.48,14291890
"2016-06-30",32.12,32.71,32,32.6,29341022
"2016-07-07",32.4,33.21,32.38,33.13,30780208
"2016-07-14",33.63,33.68,33.44,33.51,14941806
"2016-07-21",33.48,33.68,33.31,33.51,14993678
"2016-07-28",33.86,34.18,33.84,33.93,17688290
"2016-08-04",33.34,33.64,33.34,33.59,13459406
"2016-08-11",33.62,33.9,33.58,33.84,11836522
"2016-08-18",33.94,33.94,33.54,33.7,11327314
"2016-08-25",32.88,32.94,32.72,32.78,12947970
"2016-09-01",32.8,33.04,32.64,32.94,17725108
"2016-09-08",33.11,33.22,32.93,33.08,16220100
"2016-09-15",32.46,33.22,32.41,33.12,20281602
