"","NUE.Open","NUE.High","NUE.Low","NUE.Close","NUE.Volume"
"2014-11-13",53.35,53.9,53.09,53.36,1465995
"2014-11-20",53.17,54.36,53.05,54.23,1213175
"2014-12-04",55,55.29,54.67,55.13,1460811
"2014-12-11",53.25,53.79,52.86,52.97,1421672
"2014-12-18",50.23,50.34,49,49.38,3746339
"2015-01-08",47.1,48.12,46.72,48.03,2660434
"2015-01-15",44.84,45.22,44.14,44.21,2190212
"2015-01-22",44.27,45,43.88,44.85,2495703
"2015-01-29",43.9,43.96,42.93,43.73,3108767
"2015-02-05",45.71,47.74,45.64,47.63,3850208
"2015-02-12",48.28,48.57,47.96,48.35,2191267
"2015-02-19",47.94,48.41,47.63,48.14,1189497
"2015-02-26",47.88,48,47.12,47.26,1330674
"2015-03-05",47.39,47.67,46.82,47.64,1989772
"2015-03-12",46.9,47.21,46.62,47.18,1944184
"2015-03-19",47.86,48.17,45.45,46.1,7759288
"2015-03-26",46.99,47.45,46.8,47.11,2408509
"2015-04-02",46.42,47.36,45.91,47.26,2166941
"2015-04-09",47.32,47.89,46.99,47.79,2173605
"2015-04-16",48.51,48.51,47.35,47.38,2240353
"2015-04-23",46.67,48.63,46.24,48.42,3339173
"2015-04-30",48.9,49.39,48.65,48.86,3100379
"2015-05-07",48.26,48.73,47.83,48.66,1235246
"2015-05-14",49.23,49.65,49.05,49.6,2588341
"2015-05-21",48.14,48.21,47.52,47.77,1355621
"2015-05-28",47.48,47.63,47.21,47.58,960981
"2015-06-04",49.34,49.8,48.78,49.06,1668101
"2015-06-11",48.73,49.2,48.59,48.9,1159349
"2015-06-18",47.17,48.06,47.14,47.84,2502404
"2015-06-25",47.5,48.05,47.26,47.3,1435706
"2015-07-02",44.49,44.66,43.67,44.25,1968083
"2015-07-09",43.47,43.69,42.96,42.96,1588889
"2015-07-16",43.94,43.94,43.1,43.26,1592033
"2015-07-23",42.54,43.97,42.5,43.49,3993160
"2015-07-30",45.4,45.76,44.43,44.85,2509398
"2015-08-06",45.44,45.98,45.29,45.7,2017122
"2015-08-13",44.57,45.5,44.37,45.46,2025410
"2015-08-20",46.07,46.13,44.72,44.81,2081401
"2015-08-27",42.23,43.22,42.19,43.13,3523455
"2015-09-03",43.33,44.54,42.86,42.88,4092144
"2015-09-10",41.51,42.33,41.46,41.83,3101384
"2015-09-17",41.59,42.2,41.13,41.35,2110773
"2015-09-24",38.17,38.85,37.98,38.63,4594593
"2015-10-01",37.81,38.08,37.24,37.61,2791125
"2015-10-08",40.46,41.47,40.39,41.26,2036791
"2015-10-15",41.76,42.2,41.43,42.18,1560490
"2015-10-22",40.54,42.8,40.38,42.6,2563075
"2015-10-29",42.3,42.72,42.15,42.31,1883882
"2015-11-05",42.63,42.74,42,42.28,1717586
"2015-11-12",40.54,40.55,39.33,40.11,3715934
"2015-11-19",42.07,42.37,41.68,41.81,1609848
"2015-12-03",41.53,41.56,40.44,40.88,1807838
"2015-12-10",39.93,41.45,39.85,41.03,2437188
"2015-12-17",38.21,38.78,37.74,38.47,3197138
"2015-12-24",41.01,41.26,40.68,41.07,624404
"2015-12-31",40.35,40.76,40.13,40.3,1910772
"2016-01-07",38.59,38.61,36.98,37.35,5617073
"2016-01-14",35.88,36.59,35.5,36.22,3819038
"2016-01-21",34.95,35.58,34.7,35.01,2826107
"2016-01-28",37,37,34.9,36.64,3969987
"2016-02-04",40.33,41.16,40.1,40.47,2901554
"2016-02-11",38.51,38.69,37.71,38.35,2081757
"2016-02-18",40.72,40.83,39.82,40.03,2544092
"2016-02-25",38.94,39.75,38.79,39.75,2162132
"2016-03-03",42.29,43.2,42.14,42.75,3967324
"2016-03-10",43.6,45.07,43.46,44.99,2733679
"2016-03-17",45.86,46.76,45.25,46.65,3108100
"2016-03-24",45.56,46.54,45.52,46.48,1996319
"2016-03-31",48.18,48.19,47.26,47.3,3959659
"2016-04-07",46.78,46.99,46.23,46.56,2154563
"2016-04-14",49.19,49.37,48.83,49.31,2066810
"2016-04-21",49.96,50.14,48.59,49.5,2591667
"2016-04-28",50.31,51.1,49.8,49.94,2601034
"2016-05-05",48.73,49.04,48.11,48.46,2480180
"2016-05-12",47.98,48.18,47.22,47.44,2086462
"2016-05-19",45.45,46.66,45.32,46.54,2335564
"2016-05-26",49.23,49.55,48.33,48.51,1939190
"2016-06-02",48.52,49.16,48.39,49.16,1868723
"2016-06-09",51.18,51.22,50.36,50.55,2969347
"2016-06-16",50.1,50.69,49.81,50.65,2178482
"2016-06-23",50.29,50.5,49.51,50.5,3166006
"2016-06-30",48.26,49.41,48.08,49.41,2364030
"2016-07-07",51.04,51.76,50.95,51.51,3399066
"2016-07-14",56.63,57.08,56.18,56.79,2563169
"2016-07-21",54.18,54.48,52.07,52.32,4548524
"2016-07-28",53.5,53.92,53.05,53.81,3221696
"2016-08-04",53.41,53.62,52.9,53.3,1723697
"2016-08-11",52.57,52.8,52,52.35,2516523
"2016-08-18",50.75,51,50.29,50.94,1789414
"2016-08-25",48.92,49.44,48.7,48.89,2315143
"2016-09-01",48.6,49.47,48.51,49.3,2700557
"2016-09-08",49.75,49.75,49.01,49.05,1933001
"2016-09-15",45.27,45.85,44.94,45.62,3037582
