"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume"
"2013-02-21",59.27,59.55,58.32,59.17,911869
"2013-02-28",61.53,63.39,61.26,63.09,1792470
"2013-03-07",63.46,66.17,63.28,65.71,2106160
"2013-03-14",65.45,67.92,65.37,67.82,2310470
"2013-03-21",66.87,67.53,66.39,66.7,1074437
"2013-03-28",68.12,68.41,67.65,67.75,1112696
"2013-04-04",65.69,66.15,65.15,65.67,989613
"2013-04-11",70.09,70.47,69.41,69.53,852179
"2013-04-18",66.33,67.75,65.58,66.95,1634547
"2013-04-25",71.25,75.59,71.25,73.96,3894079
"2013-05-02",76,76.4,73.62,74.4,1948936
"2013-05-09",75.77,76.34,74.94,76.18,1518436
"2013-05-16",76.97,77.88,76.25,76.56,1345069
"2013-05-23",79.3,80.44,78.19,79.86,1123770
"2013-05-30",80.68,81.81,80.24,81.4,1078758
"2013-06-06",78.11,79.3,76.93,78.37,1928831
"2013-06-13",78.63,80.12,78.55,80.03,980039
"2013-06-20",81.19,81.3,78.72,79.21,1307830
"2013-06-27",81.1,82.01,80.82,81,818236
"2013-07-11",82.79,84.2,82.16,82.51,1407864
"2013-07-18",82.3,84.7,82.3,84.26,1032141
"2013-07-25",82,85.9,80.81,85.52,3096748
"2013-08-01",87.45,88.23,86.85,87.22,1209827
"2013-08-08",84.33,85.02,83.23,84.9,1289062
"2013-08-15",83.69,84.24,82.88,84.04,900080
"2013-08-22",83.53,86.1,83.42,85.61,744448
"2013-08-29",86.2,86.37,85.33,85.65,661546
"2013-09-05",85.8,86.4,85.08,85.13,585857
"2013-09-12",87.16,87.86,86.48,87.22,927554
"2013-09-19",92.75,94.42,91.7,92.56,1393173
"2013-09-26",90,91.63,89.67,91.41,1143527
"2013-10-03",86.72,87.32,85.68,86.35,1036863
"2013-10-10",88.28,89.6,87.3,88.82,1394524
"2013-10-17",90.41,91.3,88.59,89.56,951633
"2013-10-24",89.55,89.55,86.7,86.96,2425246
"2013-10-31",86.56,86.6,85.04,85.61,1089499
"2013-11-07",83.22,83.43,80.72,81.04,2444657
"2013-11-14",85.03,85.78,83.67,85.22,1403215
"2013-11-21",85.53,87.82,85.24,87.67,1379412
"2013-12-05",83.49,86.22,83.04,86.02,1911316
"2013-12-12",86.28,87.48,86.28,87.16,1281847
"2013-12-19",84.53,87.39,84.35,87.27,2501301
"2013-12-26",90.13,91.02,90.13,90.29,740035
"2014-01-02",89.88,90.19,88.12,88.73,807841
"2014-01-09",88.51,88.99,85.7,86,1400686
"2014-01-16",87.32,89.24,86.93,89.07,1926229
"2014-01-23",92.14,93.11,91.09,91.87,1267790
"2014-01-30",90.18,90.78,89.32,90,1044132
"2014-02-06",94.58,95.02,93.35,94.21,1734739
"2014-02-13",93.71,97.32,93,95.64,3318047
"2014-02-20",100,100.44,98.87,100.03,2597719
"2014-02-27",99.84,101.27,99.77,101.16,1266707
"2014-03-06",100.57,100.79,98.98,100.18,1327049
"2014-03-13",100.76,101.69,100.2,100.96,953674
"2014-03-20",102.71,103.7,102.18,103.4,963242
"2014-03-27",95.29,97.39,94.35,96.84,2411225
"2014-04-03",101.79,103.42,101.05,103.15,2344523
"2014-04-10",104.56,104.9,102.2,102.51,1805503
"2014-04-17",103.32,105.12,103.32,104.72,1815524
"2014-04-24",109.63,111.47,107.82,108.17,2342594
"2014-05-01",109.08,109.92,107.19,109.25,2344895
"2014-05-08",108.27,109.08,106.14,106.28,1318870
"2014-05-15",104.34,104.34,102.08,103.11,1445963
"2014-05-22",103.91,104.28,102.96,102.99,838859
"2014-05-29",104.41,105.3,103.37,104.98,846782
"2014-06-05",106.5,106.76,105.81,106.56,1354360
"2014-06-12",103.14,105.01,102.62,104.63,1829312
"2014-06-19",108.3,108.81,107.63,108.46,1416239
"2014-06-26",107.18,108.01,106.59,108.01,1226124
"2014-07-03",106.55,106.89,105.71,106.12,622049
"2014-07-10",104.37,104.65,102.63,102.71,1686941
