"","DTE.Open","DTE.High","DTE.Low","DTE.Close","DTE.Volume"
"2014-08-21",77.25,77.82,77.14,77.33,984283
"2014-08-28",76.89,77.94,76.6,77.91,817890
"2014-09-04",77.72,77.88,77.18,77.75,596131
"2014-09-11",76.81,77.35,76.42,77.24,520199
"2014-09-18",76.61,77.06,75.4,75.75,745081
"2014-09-25",75.87,76.19,75.3,75.38,1108471
"2014-10-02",76.19,76.95,76.06,76.27,912238
"2014-10-09",79.29,80.2,77.8,77.87,1966371
"2014-10-16",77.3,77.72,76.43,76.88,2571780
"2014-10-23",80.35,80.85,79.83,80,1238204
"2014-10-30",80.22,82.01,80.13,81.99,1355404
"2014-11-06",83.89,83.89,82.16,82.67,2235984
"2014-11-13",81.12,81.48,79.62,79.78,1650070
"2014-11-20",81.12,81.25,80.42,80.64,953776
"2014-12-04",82.48,82.91,82,82.65,896873
"2014-12-11",81.79,83.73,81.6,82.73,886985
"2014-12-18",83.86,85.48,83.47,85.48,828031
"2015-01-08",87.35,87.9,87.07,87.45,681220
"2015-01-15",88.63,89.18,88.03,88.97,799869
"2015-01-22",90.98,91.42,90.03,90.7,539382
"2015-01-29",90.23,91.74,89.75,91.54,572612
"2015-02-05",89.12,89.66,88.27,89.57,956700
"2015-02-12",84.7,84.88,83.78,83.99,1529899
"2015-02-19",84.97,84.97,83.16,83.4,1100702
"2015-02-26",82.96,83.17,81.84,81.96,1236067
"2015-03-05",80.9,81.47,80.69,81.14,788675
"2015-03-12",77.86,78.78,77.68,78.45,1605532
"2015-03-19",79.94,80.82,79.51,79.58,1410001
"2015-03-26",79.65,80.26,78.97,79.45,1585703
"2015-04-02",81.35,82.36,81.17,82.08,1520461
"2015-04-09",81.85,81.86,80.88,81.39,990834
"2015-04-16",81.3,81.34,80.11,80.94,851889
"2015-04-23",82.03,82.93,81.91,82.82,1403023
"2015-04-30",81.06,81.06,79.19,79.63,1497649
"2015-05-07",78.25,79.04,78.22,78.39,956565
"2015-05-14",77.68,78.37,77.49,78.09,1014509
"2015-05-21",79.65,79.89,79.08,79.66,565774
"2015-05-28",79.32,79.77,78.98,79.53,776181
"2015-06-04",76.36,77.11,76.25,76.68,1530492
"2015-06-11",74.86,75.3,74.45,74.81,1304091
"2015-06-18",75.02,76.28,75.02,76.05,1140507
"2015-06-25",74,74.18,73.68,73.89,985102
"2015-07-02",75.62,76.41,75.39,76.22,1327682
"2015-07-09",78.17,78.46,76.72,76.86,1190706
"2015-07-16",77.68,78.67,77.48,78.54,770565
"2015-07-23",76.86,77.06,75.59,76.17,943541
"2015-07-30",79.03,79.95,78.9,79.55,1045338
"2015-08-06",79.32,79.95,78.44,79.89,997289
"2015-08-13",82.7,83.48,82.05,83.14,1067118
"2015-08-20",83.87,85.12,83.35,84.27,1450977
"2015-08-27",78.31,78.99,77.67,78.97,1210659
"2015-09-03",76.51,76.92,76.06,76.38,685117
"2015-09-10",74.74,75.85,74.74,75.07,837887
"2015-09-17",77,79.28,76.73,78.15,1494697
"2015-09-24",77.99,78.86,77.81,78.76,1049507
"2015-10-01",80.49,80.63,78.39,79.37,1225613
"2015-10-08",80.2,81.5,80,81.37,655246
"2015-10-15",82.1,83.51,81.66,83.26,1150945
"2015-10-22",83.93,85.04,83.77,84.87,860252
"2015-10-29",81.66,82.14,80.12,81.15,901988
"2015-11-05",82.53,83.48,82.38,83,1203550
"2015-11-12",80.76,81.54,79.8,80.03,961636
"2015-11-19",80.34,81.38,80.07,80.93,1092476
"2015-12-03",78.7,78.96,77.95,78.27,1682918
"2015-12-10",80.14,80.27,78.61,78.92,1266716
"2015-12-17",80.3,80.66,79.69,79.95,1156071
"2015-12-24",79.82,80.23,79.7,79.88,327910
"2015-12-31",81.43,81.67,79.34,80.19,979944
"2016-01-07",78.78,79.49,78.49,78.72,1421447
"2016-01-14",80.19,81.82,79.87,81.32,1152583
"2016-01-21",80.18,80.76,78.72,79.25,1446382
"2016-01-28",82,83.9,81.59,83.25,770979
"2016-02-04",86.94,87.56,86.44,86.61,1384835
"2016-02-11",85.93,86.45,84.03,84.08,1496875
"2016-02-18",84.37,85.69,84.04,85.14,995896
"2016-02-25",86.33,87.04,86,86.97,568924
"2016-03-03",84.25,84.25,82.6,84.01,1183760
"2016-03-10",87.7,88.32,87.19,88,810859
"2016-03-17",89.1,89.71,88.31,89.46,1432060
"2016-03-24",88.99,89.62,88.74,89.46,739905
"2016-03-31",90.72,90.93,90.19,90.66,1086685
"2016-04-07",88.66,89.32,88.54,88.77,995535
"2016-04-14",88.57,88.9,88.1,88.28,813860
"2016-04-21",86.8,86.96,84.77,85.07,1154370
"2016-04-28",86.47,88.13,86.36,88.05,751254
"2016-05-05",90.95,92.32,90.71,91.1,953267
"2016-05-12",90.81,91.57,90.24,91.33,628098
"2016-05-19",87.39,88.68,86.81,88.65,629757
"2016-05-26",88.75,89.9,88.43,89.72,604292
"2016-06-02",90.91,91.11,90.02,91.11,528878
"2016-06-09",93.39,94.23,93.35,94.05,939456
"2016-06-16",92.78,94.16,92.78,93.94,919469
"2016-06-23",93.91,94.08,93.28,94.06,867197
"2016-06-30",97.28,99.13,97.06,99.12,1432014
"2016-07-07",99.69,100.02,97.94,98.19,752425
"2016-07-14",97.49,97.98,96.86,97.09,1159331
"2016-07-21",97.25,98.48,96.96,98.36,729116
"2016-07-28",97.27,97.68,96.94,97.1,1835379
"2016-08-04",96.67,97.65,96.52,96.92,587761
"2016-08-11",95.64,95.94,95.27,95.88,702895
"2016-08-18",94.94,96.68,94.94,96.68,2067050
"2016-08-25",94.93,95.38,94.66,95.16,687745
"2016-09-01",92.75,92.91,91.97,92.21,878573
"2016-09-08",94.07,94.83,93.86,94.5,951481
"2016-09-15",91.62,92.44,91.11,92.32,972461
