"","BRK.B.Open","BRK.B.High","BRK.B.Low","BRK.B.Close","BRK.B.Volume"
"2015-09-03",132.71,133.62,131.69,132.15,3983955
"2015-09-10",130.23,131.79,130.2,130.66,4461789
"2015-09-17",132.29,133.6,131.27,131.47,4264208
"2015-09-24",128.25,129.22,127.75,128.83,3566602
"2015-10-01",130.55,131.4,129.28,129.88,3962199
"2015-10-08",132.28,134,132.24,133.75,2732835
"2015-10-15",131.98,133.83,131.55,133.8,3270840
"2015-10-22",133.6,137.7,133.6,137.29,4898313
"2015-10-29",138.1,138.5,137.23,137.89,2086066
"2015-11-05",137.48,138.03,136.32,136.57,2456664
"2015-11-12",134.46,134.63,132.77,132.78,3751537
"2015-11-19",136.19,136.87,135.83,136.63,2752923
"2015-12-03",135.33,135.54,132.29,132.66,4378285
"2015-12-10",131.72,132.62,131.19,131.71,3463760
"2015-12-17",135.71,136.16,133.9,133.97,3595941
"2015-12-24",134.12,134.55,133.48,133.89,1367520
"2015-12-31",133,133.37,131.95,132.04,3405609
"2016-01-07",129.25,130.54,129,129.48,7381981
"2016-01-14",126.41,128.99,126.01,128.07,6117336
"2016-01-21",125.52,126.75,124.37,125.62,3805085
"2016-01-28",126,126.72,124.37,126.01,3511940
"2016-02-04",126.09,127.7,125.75,127.44,4563537
"2016-02-11",124.11,125.84,124.04,125.09,5992971
"2016-02-18",130.6,132.35,130.59,130.86,3865523
"2016-02-25",131.62,132.37,130.42,132.31,3502661
"2016-03-03",136.8,137.24,136.13,136.84,3934660
"2016-03-10",139.75,139.75,137.81,138.62,4524989
"2016-03-17",140,142.58,139.68,142.4,4441973
"2016-03-24",140.22,140.6,139.56,140.11,3775265
"2016-03-31",142.56,143.05,141.48,141.88,3503138
"2016-04-07",140.93,141.2,140.27,140.81,2898441
"2016-04-14",144.1,144.35,143.47,143.72,2484574
"2016-04-21",146.09,146.42,144.67,144.86,2879352
"2016-04-28",146.64,147.46,145.76,146.07,2493039
"2016-05-05",144.22,144.82,143.48,143.88,2438217
"2016-05-12",143.46,143.72,142.3,143.31,2431208
"2016-05-19",141.07,141.65,139.68,140.79,2794000
"2016-05-26",144,144.19,142.88,143.05,2741634
"2016-06-02",141.65,142.11,140.96,142.11,2757262
"2016-06-09",142.05,142.51,141.16,142.23,2187497
"2016-06-16",140.09,142.05,138.96,141.99,3639755
"2016-06-23",144.97,146,144.6,145.98,4493647
"2016-06-30",142.21,144.82,142.1,144.79,5196420
"2016-07-07",142.38,143.04,141.19,141.91,2864267
"2016-07-14",146.25,146.66,145.46,145.73,3323041
"2016-07-21",146.01,146.22,144.19,144.35,3961692
"2016-07-28",143.92,144.69,143.48,144.42,1944634
"2016-08-04",143.8,143.91,142.92,143.12,1848633
"2016-08-11",146.46,147.98,146.44,147.74,3272221
"2016-08-18",149.19,149.36,148.53,148.81,2185389
"2016-08-25",148.24,148.71,148.11,148.64,2449708
"2016-09-01",150.7,151,148.82,150.35,3020843
"2016-09-08",149.6,150.1,149.3,149.78,2963446
"2016-09-15",146,147.08,145.47,146.66,3300340
