"","CBS.Open","CBS.High","CBS.Low","CBS.Close","CBS.Volume"
"2015-12-17",47.57,47.72,46.44,46.52,3019783
"2015-12-24",47.12,48.02,47.11,47.44,2025740
"2015-12-31",46.49,47.52,46.34,47.13,3163592
"2016-01-07",45.34,46.39,44.75,45.34,6308459
"2016-01-14",45.04,47.33,44.86,46.73,6128298
"2016-01-21",44.02,46.46,43.86,45.77,7068933
"2016-01-28",47.76,47.94,45.77,46.29,4273877
"2016-02-04",49.8,50.32,47.85,48.41,8099293
"2016-02-11",42.12,43.92,41.9,43.57,7597458
"2016-02-18",46.49,46.64,45.41,45.79,4394232
"2016-02-25",47.95,48.24,47.15,47.64,3233059
"2016-03-03",50.25,51.65,50.19,51.48,5958644
"2016-03-10",52.25,52.3,50.99,51.78,3730435
"2016-03-17",54.39,54.75,54.01,54.25,4711493
"2016-03-24",53,54.18,52.75,54.06,2797238
"2016-03-31",54.69,55.38,54.69,55.09,4474371
"2016-04-07",54.4,54.85,53.38,53.58,3994734
"2016-04-14",54.21,54.49,53.65,53.66,2896467
"2016-04-21",55.19,56.54,54.91,55.82,3152748
"2016-04-28",55.95,56.71,55.55,56.07,3118918
"2016-05-05",56.83,57.89,56.62,57.47,7706700
"2016-05-12",56.25,56.33,54,54.28,6142136
"2016-05-19",52.14,52.24,51.32,52.1,4528958
"2016-05-26",53.87,54.77,53.51,54.35,3213670
"2016-06-02",55.01,55.55,54.85,55.4,2866965
"2016-06-09",53.27,53.35,52.56,53,4158842
"2016-06-16",52.9,54.67,52.36,54.48,4980122
"2016-06-23",54.12,54.2,53.2,53.69,2794215
"2016-06-30",53.28,54.44,52.96,54.44,4332050
"2016-07-07",55.27,56.11,55.14,56.11,3400849
"2016-07-14",58.05,58.22,57.65,57.94,2665411
"2016-07-21",54.63,55.01,53.78,53.95,4805913
"2016-07-28",53.9,54.8,53.63,54.21,6528872
"2016-08-04",52,52.58,51.64,51.83,3226921
"2016-08-11",52.2,53.04,52.2,52.92,2993686
"2016-08-18",51.74,52.07,51.48,51.53,2395636
"2016-08-25",52.25,52.36,51.66,51.69,3134598
"2016-09-01",51.15,52.07,51.05,52.04,4210837
"2016-09-08",52.48,53.41,52.37,53.36,4518536
"2016-09-15",52.07,52.52,51.77,52.24,2826613
