"","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume"
"2014-07-03",101.85,101.86,100.45,100.73,774989
"2014-07-10",101.92,102.81,101.92,102.45,590834
"2014-07-17",101.98,102.56,101.56,101.59,908613
"2014-07-24",102.36,102.84,101.64,102.08,967932
"2014-07-31",100.99,101.41,99.6,99.71,1060200
"2014-08-07",97.76,100.81,97.3,99.52,2205334
"2014-08-14",101.26,102.61,101.26,102.37,684519
"2014-08-21",103.37,104.61,103.37,104.01,617859
"2014-08-28",103.83,105.32,103.65,104.88,807211
"2014-09-04",105.79,106.46,105.63,106.11,907547
"2014-09-11",104.93,106.04,104.45,105.98,653704
"2014-09-18",105.41,105.97,104.95,105.33,836101
"2014-09-25",104.21,104.76,103.16,103.25,922654
"2014-10-02",104.91,105.59,104.6,104.89,776460
"2014-10-09",108.13,108.66,105.63,105.71,1473907
"2014-10-16",99.27,101.99,98.86,101.61,2111869
"2014-10-23",106.8,107.42,106.21,106.64,954708
"2014-10-30",109,110.89,108.17,110.49,1411544
"2014-11-06",113.24,114.5,111.69,112.84,1704420
"2014-11-13",110.53,110.96,109.23,109.51,973775
"2014-11-20",109.7,110.64,109.28,110.26,530661
"2014-12-04",110.52,111.3,110.08,111.1,672952
"2014-12-11",109.29,110.71,109.1,109.43,1220009
"2014-12-18",107.12,109.96,106.86,109.94,1305902
"2015-01-08",110.95,112.18,110.95,111.76,748368
"2015-01-15",111.87,112.59,111.18,112.14,828694
"2015-01-22",114.81,115.41,113.79,114.51,717160
"2015-01-29",113.23,115.06,112.38,114.94,627258
"2015-02-05",112.85,113.75,111.88,113.42,745615
"2015-02-12",107.25,107.64,106.25,106.67,1212826
"2015-02-19",109.99,110.52,108.77,109.2,1440608
"2015-02-26",109.29,109.76,107.33,108.45,1368318
"2015-03-05",108.41,109.14,107.96,108.81,650710
"2015-03-12",106.57,108.96,106.19,108.49,1031203
"2015-03-19",111.91,112.9,110.27,110.68,823322
"2015-03-26",110.55,110.55,107.06,107.17,2003196
"2015-04-02",109.92,111,109.73,109.97,817533
"2015-04-09",108.51,108.52,107.1,107.9,706972
"2015-04-16",108.34,108.54,106.66,107.6,984679
"2015-04-23",107.85,109.06,107.48,108.56,831049
"2015-04-30",107.23,107.49,105.09,106.17,1321648
"2015-05-07",103.52,104.5,103.25,103.79,1019412
"2015-05-14",104.71,105.8,104.71,105.44,899680
"2015-05-21",108.22,108.44,107.34,107.69,825432
"2015-05-28",107.57,108.13,106.99,107.98,931926
"2015-06-04",103.44,105.3,103.39,104.3,1009660
"2015-06-11",103.99,104.66,103.51,104.04,695778
"2015-06-18",104.31,105.29,104.1,104.68,1380060
