"","PRU.Open","PRU.High","PRU.Low","PRU.Close","PRU.Volume"
"2014-11-20",83.36,84.25,83.13,84.05,1960194
"2014-12-04",86.41,86.98,85.72,86.9,2451400
"2014-12-11",86.54,90.95,86.54,89.79,7259685
"2014-12-18",87.75,89.94,87.75,89.93,3417190
"2015-01-08",86.39,87.55,86.32,86.86,2172531
"2015-01-15",81.32,81.85,79.76,79.78,2814377
"2015-01-22",81,82.33,80.17,82.22,3303521
"2015-01-29",77.23,77.89,76.26,76.96,4348723
"2015-02-05",75.05,77.48,74.51,75.32,9818885
"2015-02-12",79.01,79.75,78.41,78.7,3507301
"2015-02-19",79.09,80.42,78.75,80.3,2657797
"2015-02-26",81.03,81.49,80.51,81.11,1965443
"2015-03-05",80.75,81.25,80.02,81.01,2189871
"2015-03-12",80.9,82.39,80.85,82.33,1875830
"2015-03-19",81.83,81.95,79.29,80.21,3191315
"2015-03-26",79.01,80.6,78.51,80.04,3038680
"2015-04-02",79.45,80.63,79.17,80.53,2179436
"2015-04-09",79.8,81.4,79.75,81.13,1621776
"2015-04-16",80.1,80.58,79.42,80.16,1732964
"2015-04-23",81.04,81.72,80.74,81.31,1688299
"2015-04-30",82.16,82.89,81.32,81.6,3291841
"2015-05-07",85,85.58,82.98,85.17,3464710
"2015-05-14",86.57,86.81,85.96,86.3,1865063
"2015-05-21",85.2,86.03,84.96,85.63,1825049
"2015-05-28",84.74,85.17,84.2,85.07,1548310
"2015-06-04",86.28,87.34,86.23,86.6,3452282
"2015-06-11",90.04,90.94,89.75,89.93,2960178
"2015-06-18",89.52,90.35,88.83,89.76,2517862
"2015-06-25",91.08,91.35,89.7,89.73,1672636
"2015-07-02",88.81,89.06,87.8,88.17,1448409
"2015-07-09",86.48,87.03,85.55,85.72,2206029
"2015-07-16",89.26,89.82,89.05,89.53,1927263
"2015-07-23",88.74,89.36,87.96,88.37,1781292
"2015-07-30",89.11,89.81,88.54,89.67,1912116
"2015-08-06",91.35,92.6,90.34,90.66,3639770
"2015-08-13",88.77,89.6,88.42,89.27,1628825
"2015-08-20",86.88,86.95,84.88,84.89,2942577
"2015-08-27",78.92,81.42,78.75,81.12,4279917
"2015-09-03",79.09,80.29,78.7,79.01,2145015
"2015-09-10",78.03,79.59,77.75,78.95,1991886
"2015-09-17",80.78,81.21,77.91,78.19,3274860
"2015-09-24",75.39,76.24,74.64,76.03,2823902
"2015-10-01",76.38,76.9,75.06,76.3,1982027
"2015-10-08",77.29,78.55,77.19,78.28,1921406
"2015-10-15",77.31,78.5,76.41,78.39,2223764
"2015-10-22",80.18,82.23,80.12,81.4,2568818
"2015-10-29",84.04,84.92,82.89,83.41,2482038
"2015-11-05",84.79,85.4,83.48,84.35,2888892
"2015-11-12",86.08,86.51,84.63,84.69,2330366
"2015-11-19",87.17,87.63,86.52,87.4,1763167
"2015-12-03",86.71,86.76,84.13,84.53,2226613
"2015-12-10",84.3,85.85,83.37,83.79,3189784
"2015-12-17",84.46,84.49,81.61,81.85,2970783
"2015-12-24",82.79,83.26,82.53,82.55,480807
"2015-12-31",81.73,82.45,81.14,81.41,1218864
"2016-01-07",75.05,75.96,73.49,73.79,3963252
"2016-01-14",72.16,73.06,70.27,72.07,4165701
"2016-01-21",67.75,69.35,67.6,68.13,3662958
"2016-01-28",69.46,69.53,67.92,68.84,2383562
"2016-02-04",66.42,67.77,66.03,66.98,3284971
"2016-02-11",60.69,60.84,57.19,58,8835209
"2016-02-18",66.64,66.92,65.52,66.14,3576478
"2016-02-25",64.95,66.1,64.64,66.07,1959033
"2016-03-03",70.39,71.97,70.37,71.87,2646571
"2016-03-10",71.04,72.05,69.33,70.56,3103457
"2016-03-17",72.57,73.91,71.44,73.36,2468099
"2016-03-24",70,70.78,69.35,70.76,6005173
"2016-03-31",72.85,73.4,71.87,72.22,2550371
"2016-04-07",70.98,71.47,69.32,70.01,2887901
"2016-04-14",75.57,76.59,75.23,76.29,1903403
"2016-04-21",78.91,79.45,78.46,78.59,1817137
"2016-04-28",78.74,79.12,77.66,77.94,2604367
"2016-05-05",74.93,76.83,74.93,75.83,2620947
"2016-05-12",76.83,77.13,75.64,76.43,2050013
"2016-05-19",78.7,79.33,77.11,77.8,2742323
"2016-05-26",79.61,79.81,78.41,78.47,2247169
"2016-06-02",78.73,78.9,78.31,78.73,1994346
"2016-06-09",76.19,76.25,74.89,75.15,2716950
"2016-06-16",70.85,71.77,70.04,71.74,3689776
"2016-06-23",75.38,76.97,75.3,76.95,2905621
"2016-06-30",70.42,71.34,69.69,71.34,2758907
"2016-07-07",69.17,70.47,68.56,69.04,2406093
"2016-07-14",74.9,75.5,74.56,75.02,2698235
"2016-07-21",75.73,75.93,75.12,75.43,1279470
"2016-07-28",75.29,75.94,74.71,75.77,1185667
"2016-08-04",74.56,75,72.25,72.84,4007394
"2016-08-11",76.21,76.9,76.02,76.51,2303027
"2016-08-18",77.02,77.14,76.3,76.52,1793223
"2016-08-25",76.62,77.34,76.62,77.29,1599809
"2016-09-01",79.62,79.98,77.98,78.84,2207957
"2016-09-08",78.77,79.05,78.17,78.69,2052595
"2016-09-15",79.47,80.91,79.16,80.45,3462218
