"","ILMN.Open","ILMN.High","ILMN.Low","ILMN.Close","ILMN.Volume"
"2014-06-05",160,168.47,159.5,164.09,5861759
"2014-06-12",177.03,177.03,169.5,172.01,1951065
"2014-06-19",172.14,173.49,170.23,172.7,733615
"2014-06-26",171.4,171.82,169.19,170.98,1285386
"2014-07-03",181.8,183.35,179.22,182.86,598593
"2014-07-10",172.2,176.23,168.52,173.99,1538857
"2014-07-17",171.44,172.87,165.37,166.16,1163654
"2014-07-24",183.39,185,170.56,171.8,2830134
"2014-07-31",163.17,163.5,159.52,159.91,1175844
"2014-08-07",159.69,160.95,158.12,159.18,977181
"2014-08-14",166.45,168.04,165,168.01,711361
"2014-08-21",175.26,178,171.19,172.09,1064062
"2014-08-28",179.82,180.15,178.03,179.08,993683
"2014-09-04",182.27,182.27,176.81,177.2,861862
"2014-09-11",177.19,177.9,175.16,177.14,820195
"2014-09-18",177.06,179.19,175.22,177.92,767115
"2014-09-25",168.45,168.45,162.03,163.88,1280270
"2014-10-02",159.64,160.79,155.52,159.54,793611
"2014-10-09",163.54,165.79,158.8,159.21,1295156
"2014-10-16",154.72,165.38,152.8,160.23,1899588
"2014-10-23",187.55,190.86,184.66,185.84,2121549
"2014-10-30",189.14,194.77,187.2,193.42,1277342
"2014-11-06",188.22,190.89,186.9,189.87,850775
"2014-11-13",187,191.62,183.84,185,1197263
"2014-11-20",189.36,189.36,185.23,186.26,900748
"2014-12-04",191,195.07,189.66,190.83,1162289
"2014-12-11",183.59,188.19,183.55,186.83,819609
"2014-12-18",184.13,187.46,183.14,187.29,1405143
"2015-01-08",197.82,199.47,194.89,196.82,1741255
"2015-01-15",182.44,185.49,179.36,180.91,1703098
"2015-01-22",192.45,194.38,185.7,193.89,1430748
"2015-01-29",198,201.67,193.45,200,1423493
"2015-02-05",193,194.78,192.16,194.51,1158625
"2015-02-12",196.52,197.22,193.61,196.73,630372
"2015-02-19",196.74,202.61,196.74,202.34,1099449
"2015-02-26",196.44,198.89,193.18,198.46,714226
"2015-03-05",191.6,200.26,191.59,200.13,1493593
"2015-03-12",189.9,190.11,187.71,188.11,1043731
"2015-03-19",196.29,200.14,194.99,199.81,1116883
"2015-03-26",182.1,186.49,178.52,184.37,1146942
"2015-04-02",182.87,183.83,181.24,183.01,950852
"2015-04-09",185.63,186.91,183.3,186.34,997331
"2015-04-16",190.99,193.85,189.08,193.02,905036
"2015-04-23",191.19,193.18,186.11,192.6,1970678
"2015-04-30",185.88,187.79,182.1,184.25,1610187
"2015-05-07",188.43,192.99,187.2,190.82,1642369
"2015-05-14",198.1,200.08,196.72,198.92,1598014
"2015-05-21",202.21,203.66,202,203.12,766815
"2015-05-28",209.7,210.44,207.13,208.62,925726
"2015-06-04",207.46,209.29,207.27,207.96,1042464
"2015-06-11",216.75,219.09,214.93,217.81,967763
"2015-06-18",216.1,220,216.1,218.77,890322
"2015-06-25",222.16,223,218.5,219,1460046
"2015-07-02",222.16,222.2,219.25,220.07,933726
"2015-07-09",216.36,218.95,216,217.17,1293775
"2015-07-16",231.2,231.5,228.08,230.86,778037
"2015-07-23",219.46,220.19,212.32,219.94,2948168
"2015-07-30",216.75,219.6,215.11,218.87,722265
"2015-08-06",216.77,217.46,208.02,209.66,1639914
"2015-08-13",207.71,209.9,206,208.84,1344454
"2015-08-20",204.4,205,200.35,200.43,1124340
"2015-08-27",198.81,202.4,198.04,201.94,1638228
"2015-09-03",199.11,200,194.63,195.45,1095667
"2015-09-10",197,200.48,196.12,199.95,1154859
"2015-09-17",205.82,213.27,205.55,210.06,1220569
"2015-09-24",189.7,190.63,184.26,188.28,1220649
"2015-10-01",168.1,168.6,156.57,157.21,4702150
"2015-10-08",144.62,144.8,139.22,140.37,3444383
"2015-10-15",144.5,152.15,144.15,151.84,1851988
"2015-10-22",140.7,144.32,137.74,142.08,2192151
"2015-10-29",146.49,148.96,144.78,145.72,842878
"2015-11-05",159.07,159.87,154.09,154.75,1689013
"2015-11-12",154.5,158.67,153.2,155.39,1074609
"2015-11-19",176.48,176.5,172.55,173.77,3119085
"2015-12-03",181.5,183.93,172,174.14,2593494
"2015-12-10",179.29,185.12,178.47,182.65,1102912
"2015-12-17",186.64,188.18,181.02,181.25,1331447
"2015-12-24",185.96,189.49,185.46,189,614221
"2015-12-31",190.02,194.22,189.48,191.94,892090
"2016-01-07",170.9,174.42,167.03,167.72,2455048
"2016-01-14",165.42,176.58,161.01,175.11,2100057
"2016-01-21",172.32,172.5,168,169.18,992376
"2016-01-28",164.35,165.25,152.46,154.25,3649907
"2016-02-04",146.26,148.84,141.5,143.38,1691962
"2016-02-11",136.65,140.09,135,138.46,1148822
"2016-02-18",154.63,155.94,149.7,150.16,2041616
"2016-02-25",150.03,153.3,148.56,152.4,1265448
"2016-03-03",156.84,158.34,155.11,157.45,715933
"2016-03-10",154.56,157.89,152.01,155.06,1256003
"2016-03-17",148.47,149.47,142.41,147.22,1550473
"2016-03-24",151.9,155.94,149.51,155.34,953546
"2016-03-31",157.95,163.98,157.5,162.11,1191502
"2016-04-07",173.46,173.46,166.87,168.21,1298766
"2016-04-14",174.01,174.21,171.81,172.64,665738
"2016-04-21",140,145.1,139.85,144.95,2215880
"2016-04-28",137.61,139.3,135.19,135.75,1487380
"2016-05-05",134.59,140,134.11,138.9,2054623
"2016-05-12",139.87,140.15,135.97,136.98,1145665
"2016-05-19",139.19,139.97,136.34,137.99,520790
"2016-05-26",143.18,144.93,142.05,143.12,540456
"2016-06-02",146.05,147.3,144.86,147.1,878006
"2016-06-09",144.39,146.11,142.73,143.42,736617
"2016-06-16",135.66,136.93,134.08,136.34,931899
"2016-06-23",142.28,146.79,141.77,146.59,1343339
"2016-06-30",137.52,140.38,136.38,140.38,1116631
"2016-07-07",140.54,140.96,139.11,140.06,1015004
"2016-07-14",147.43,148.39,146.19,147.23,655580
"2016-07-21",152.19,152.67,150.3,151.31,788502
"2016-07-28",162.53,167.03,162.05,166.42,1501704
"2016-08-04",164.63,167,164.54,165.66,553667
"2016-08-11",166.6,168.47,165.3,168.02,992972
"2016-08-18",170,182.67,163.6,172.37,6428434
"2016-08-25",170.12,173.41,167.35,169.48,603012
"2016-09-01",168.72,169.05,166.31,168.56,562774
"2016-09-08",168.91,172.22,168.43,170.07,644121
"2016-09-15",171.37,175.24,169.61,174.94,915043
