"","NRG.Open","NRG.High","NRG.Low","NRG.Close","NRG.Volume"
"2014-10-30",29.07,29.78,29.05,29.75,2582852
"2014-11-06",32.1,32.78,31.75,32.63,6500816
"2014-11-13",32.44,32.56,31.49,31.55,3973226
"2014-11-20",31.19,31.49,31.09,31.15,2638996
"2014-12-04",29.36,29.67,28.33,28.53,7394609
"2014-12-11",26.99,27.33,26.8,26.92,5754780
"2014-12-18",26.97,27.79,26.97,27.76,5409622
"2015-01-08",26.25,26.9,26.22,26.81,3245404
"2015-01-15",27.11,27.42,26.5,26.57,4819663
"2015-01-22",25.5,25.63,24.72,25.09,4536306
"2015-01-29",24.51,24.54,23.76,24.43,6014621
"2015-02-05",26.18,26.51,26.03,26.34,3833352
"2015-02-12",25.86,25.91,25.32,25.46,2969262
"2015-02-19",25.9,25.92,24.92,25.34,5299819
"2015-02-26",25.37,25.4,24.75,24.77,4176916
"2015-03-05",24.54,25.19,24.39,25.07,4996651
"2015-03-12",23.25,23.42,23.11,23.28,3797394
"2015-03-19",25.08,25.45,24.43,24.62,3506450
"2015-03-26",24.83,25.19,24.64,24.66,3815143
"2015-04-02",23.66,24.3,23.66,23.99,5972023
"2015-04-09",24.93,25.04,24.38,24.61,3750919
"2015-04-16",25.1,25.35,24.7,25.1,2909916
"2015-04-23",25.06,25.34,24.6,24.71,4254087
"2015-04-30",25.47,25.53,24.88,25.24,5388905
"2015-05-07",24.58,25.21,24.39,24.97,5991528
"2015-05-14",26.13,26.34,25.6,25.79,2847161
"2015-05-21",25.66,26.16,25.62,26.1,2304283
"2015-05-28",25.36,25.74,25.25,25.42,3586570
"2015-06-04",24.58,24.78,24.32,24.39,3912030
"2015-06-11",24.8,24.8,24.15,24.53,3134289
"2015-06-18",24.44,25.07,24.41,24.97,4862984
"2015-06-25",24.94,24.96,24.3,24.36,3624730
"2015-07-02",22.66,22.78,22.22,22.6,4344781
"2015-07-09",22.31,22.36,21.71,21.89,4033741
"2015-07-16",21.93,22.46,21.77,22.25,2902948
"2015-07-23",21.94,22.03,21.48,21.65,4073992
"2015-07-30",21.78,22.58,21.69,22.36,3143504
"2015-08-06",19.99,19.99,19.19,19.43,8551744
"2015-08-13",20.53,20.72,20.19,20.33,3776100
"2015-08-20",20.83,21.03,20.29,20.3,4372871
"2015-08-27",19.17,20.2,19.13,19.82,6709213
"2015-09-03",18.7,19.48,18.55,18.9,5494424
"2015-09-10",17.95,18.38,17.69,18.35,6888028
"2015-09-17",18.98,19.53,18.68,19.17,7411062
"2015-09-24",15.24,15.66,14.98,15.48,10094228
"2015-10-01",14.87,15.04,14.67,14.74,11128973
"2015-10-08",15.35,15.61,15.02,15.45,13124686
"2015-10-15",15.25,15.43,15.02,15.38,3515982
"2015-10-22",14.9,15.04,14.66,14.92,5609363
"2015-10-29",12.85,13.02,12.82,12.89,4217265
"2015-11-05",13.95,14.07,13.46,13.58,7048808
"2015-11-12",12.89,13.12,12.49,12.51,7222626
"2015-11-19",12.18,12.18,11.63,11.93,5685589
"2015-12-03",11.01,11.65,10.71,10.97,17098200
"2015-12-10",10.5,10.85,10.35,10.47,7127511
"2015-12-17",9.63,9.72,9.22,9.52,6540659
"2015-12-24",11.52,11.71,11.37,11.5,4220032
"2015-12-31",11.11,11.94,11.1,11.77,4772044
"2016-01-07",10.83,11.66,10.73,11.26,6546403
"2016-01-14",9.87,10.6,9.64,10.48,8482269
"2016-01-21",9.6,10.48,9.57,9.89,9008119
"2016-01-28",9.82,10.15,9.64,10.1,6482554
"2016-02-04",11.24,12.14,11.19,11.68,11616845
"2016-02-11",10.44,10.57,9.53,9.59,5981166
"2016-02-18",10.2,10.53,10.06,10.43,7247194
"2016-02-25",10.86,11.37,10.66,10.9,3836775
"2016-03-03",12.11,12.77,12.07,12.52,7250596
"2016-03-10",12.44,13.01,12.25,12.89,7738824
"2016-03-17",14.06,14.37,13.59,13.96,5091839
"2016-03-24",12.86,13.18,12.35,13.14,5809790
"2016-03-31",12.94,13.2,12.82,13.01,5115632
"2016-04-07",12.02,12.49,11.97,12.24,8437617
"2016-04-14",13.43,13.55,13.24,13.31,3609042
"2016-04-21",14.11,14.37,13.85,13.99,6258065
"2016-04-28",14.85,15.33,14.67,15,6164725
"2016-05-05",14.92,15.68,14.77,14.86,7549511
"2016-05-12",15.89,16.03,15.52,15.63,4776821
"2016-05-19",15.17,15.7,15.08,15.49,3255641
"2016-05-26",15.93,16.09,15.56,15.65,7175641
"2016-06-02",16.75,17.35,16.75,17.15,4419859
"2016-06-09",16.91,16.92,16.05,16.59,10766865
"2016-06-16",13.84,14.21,13.62,13.97,8548511
"2016-06-23",14.27,14.55,14.21,14.53,3186628
"2016-06-30",14.75,15.01,14.31,14.99,5480139
