"","ADSK.Open","ADSK.High","ADSK.Low","ADSK.Close","ADSK.Volume"
"2015-02-12",58.69,59.1,58.43,59.07,855517
"2015-02-19",61.15,61.9,61.08,61.46,2167425
"2015-02-26",62.09,62.95,60.69,61.01,3911009
"2015-03-05",62.5,63.15,61.99,62.95,2201368
"2015-03-12",60.02,60.44,59.81,60.14,1841077
"2015-03-19",61.6,61.83,60.94,61,1786321
"2015-03-26",58.7,59.38,58.46,58.72,1902913
"2015-04-02",58.79,60.07,58.49,59.82,2533826
"2015-04-09",62.19,62.87,61.8,62.81,2030412
"2015-04-16",61.18,61.76,60.86,61.66,1067141
"2015-04-23",61.87,63.21,61.84,62.75,1384412
"2015-04-30",58.9,58.92,56.38,56.83,5330033
"2015-05-07",56.14,56.69,55.92,56.35,1146069
"2015-05-14",59.03,59.37,58.47,58.98,2662746
"2015-05-21",57.39,57.73,56.9,57.51,3407343
"2015-05-28",55.31,55.69,54.5,54.55,2568238
"2015-06-04",54.35,54.76,53.65,53.73,2744703
"2015-06-11",54.2,54.56,53.99,54.48,1979876
"2015-06-18",53.73,54.31,53.51,54.16,1497029
"2015-06-25",53.99,54.09,53.26,53.3,1693606
"2015-07-02",50.43,50.94,50.3,50.83,2770348
"2015-07-09",53.07,53.53,52.46,52.46,2746306
"2015-07-16",53.1,53.24,52.49,52.5,1795131
"2015-07-23",52,52.95,51.88,52.34,1699404
"2015-07-30",50.04,50.68,49.5,50.6,1893378
"2015-08-06",54.2,54.3,52.8,52.94,1616271
"2015-08-13",54.24,55.06,54.03,54.61,1873763
"2015-08-20",53.71,54.1,53.1,53.1,2632472
"2015-08-27",49.62,50.58,49.09,50,7199610
"2015-09-03",46.19,46.35,45.67,45.94,4769710
"2015-09-10",45.97,46.72,45.82,46.23,6130256
"2015-09-17",46.79,47.38,46.44,46.78,2829122
"2015-09-24",46.59,47.29,46.22,47.05,2317797
"2015-10-01",43.68,44.35,42.78,43.14,7591118
"2015-10-08",45.88,47.4,45.87,47.31,3119507
"2015-10-15",51.53,52.38,51.53,52.16,1868954
"2015-10-22",51.5,53.32,51.5,52.59,2137853
"2015-10-29",55.21,55.31,54.82,55.06,2017854
"2015-11-05",61,63.72,60.14,63.49,12562240
"2015-11-12",62,62.42,61.38,61.75,3747486
"2015-11-19",61.47,62.65,61.04,62.39,3571914
"2015-12-03",64.86,64.99,64.19,64.41,4277062
"2015-12-10",63.23,63.92,63.03,63.24,1211834
"2015-12-17",61.94,62.1,60.74,60.74,1702460
"2015-12-24",62.03,62.34,60.65,61.85,417286
"2015-12-31",62.13,62.85,60.91,60.93,1353915
"2016-01-07",58.36,58.69,55.97,55.98,3927892
"2016-01-14",51.04,52.86,50.15,52.65,4152566
