"","CERN.Open","CERN.High","CERN.Low","CERN.Close","CERN.Volume"
"2015-04-02",73.19,73.58,72.37,72.77,992041
"2015-04-09",73.3,74.41,72.99,74.38,1327029
"2015-04-16",72.15,73.17,72.14,72.87,1388271
"2015-04-23",72.43,73.26,72.26,73.05,1218548
"2015-04-30",73.01,73.46,71.54,71.81,1702524
"2015-05-07",71.07,71.66,70.66,71.25,1945240
"2015-05-14",67.87,68.21,67.39,68.14,4797367
"2015-05-21",68.07,68.25,67.52,67.83,1935379
"2015-05-28",68.47,68.72,68.29,68.33,1709805
"2015-06-04",67.37,67.72,66.66,67.06,1951235
"2015-06-11",67.45,68.09,67.26,67.87,1775867
"2015-06-18",68.28,69.83,68,69.39,1693473
"2015-06-25",69.25,69.45,68.9,69.19,1188686
"2015-07-02",69.41,70.15,68.12,68.48,1696232
"2015-07-09",68.8,69,68.24,68.47,1378841
"2015-07-16",71.76,71.98,71.25,71.3,1751894
"2015-07-23",72.03,72.13,69.8,70,2303854
"2015-07-30",72.69,72.7,71.5,71.96,3574433
"2015-08-06",67.42,67.55,65.23,65.3,4588358
"2015-08-13",63.01,63.52,62.48,62.89,2569855
"2015-08-20",64.55,65.04,63.11,63.27,1782607
"2015-08-27",62.3,62.55,60.73,61.44,2969549
"2015-09-03",61.22,61.61,60.65,60.81,1471484
"2015-09-10",61.52,62.86,61.21,61.81,2634309
"2015-09-17",63.64,65.56,63.4,64.52,2340344
"2015-09-24",63.15,63.15,61.54,62.33,3032826
"2015-10-01",60.17,60.3,58.71,60.15,2755248
"2015-10-08",62.54,63.49,62.39,63.42,1230085
"2015-10-15",64.25,64.64,63.44,64.5,1916453
"2015-10-22",65.88,66.1,61.95,63.16,3545248
"2015-10-29",67.32,68.31,66.63,67.32,1810669
"2015-11-05",61.6,61.78,60.93,61.28,4024407
"2015-11-12",58.3,59,57.66,57.7,2572137
"2015-11-19",58.26,58.71,57.89,57.9,2543675
"2015-12-03",60.3,60.34,58.99,59.23,2533696
"2015-12-10",59.66,60.44,59.12,60.11,1508344
"2015-12-17",61.16,61.34,60.37,60.38,2278303
"2015-12-24",60.69,60.95,60.31,60.69,501240
"2015-12-31",60.51,61.01,60.08,60.17,1513779
"2016-01-07",57.31,58.84,57.22,57.67,2553324
"2016-01-14",58.53,58.75,57.53,58.19,1804933
"2016-01-21",56.11,56.61,55.11,55.83,1379368
"2016-01-28",56.72,57.04,55.39,55.96,2274910
"2016-02-04",57.19,59.07,57.05,58.49,2248411
"2016-02-11",53.58,54.33,53.39,53.95,1652517
"2016-02-18",53,53.46,50.9,52.15,7077591
"2016-02-25",51.87,52.12,51.09,51.36,1793886
