"","C.Open","C.High","C.Low","C.Close","C.Volume"
"2015-09-24",49.66,49.75,48.75,49.13,31994834
"2015-10-01",49.42,50,49.22,49.89,16205409
"2015-10-08",51.09,51.84,50.75,51.65,16897894
"2015-10-15",51.83,53.18,51.12,52.97,30862941
"2015-10-22",52.18,52.86,52.15,52.51,22268073
"2015-10-29",54.5,55.06,53.62,53.66,23147689
"2015-11-05",53.78,54.4,53.75,54.15,13476922
"2015-11-12",54.52,54.52,53.45,53.46,17468857
"2015-11-19",54.88,55.3,54.74,55.06,11997487
"2015-12-03",54.42,54.6,53.35,53.51,19749990
"2015-12-10",52.89,53.24,52.17,52.65,16333817
"2015-12-17",54.01,54.2,52.71,52.84,17179578
"2015-12-24",52.48,52.97,52.45,52.71,4671254
"2015-12-31",52.07,52.39,51.75,51.75,11281771
"2016-01-07",49.07,49.38,47.5,47.56,37902922
"2016-01-14",45.42,45.82,44.56,45.38,30006807
"2016-01-21",40.51,41.39,40.03,40.15,34924517
"2016-01-28",41.2,41.39,40.07,40.39,23189282
"2016-02-04",40.11,41.57,40.05,40.79,26738527
"2016-02-11",36,36.16,34.52,34.98,48780898
"2016-02-18",39.93,39.99,38.62,38.92,24088993
"2016-02-25",38.23,38.64,38.01,38.62,19883127
"2016-03-03",42.14,42.87,41.89,42.83,21818822
"2016-03-10",41.61,42.15,40.61,41.37,21097413
"2016-03-17",41.99,42.92,41.38,42.85,24224880
"2016-03-24",41.78,41.94,41.03,41.94,22713575
"2016-03-31",41.83,42.34,41.59,41.75,15620095
"2016-04-07",41.3,41.48,39.95,40.27,22482770
"2016-04-14",44.14,45.29,44.02,44.98,26723815
"2016-04-21",46.79,46.95,46.23,46.6,21318192
"2016-04-28",46.79,47.53,46.55,46.73,18350277
"2016-05-05",44.78,45.08,44.16,44.23,14905465
"2016-05-12",44.84,45.17,43.77,44,15456328
"2016-05-19",45.6,46.06,44.63,45.06,23022107
"2016-05-26",47.04,47.12,46.07,46.11,16949416
"2016-06-02",46.86,47.06,46.6,46.97,15483762
"2016-06-09",45.18,45.21,44.65,45.01,17068975
"2016-06-16",41.61,42.18,41.15,42.12,19904800
"2016-06-23",43.51,44.5,43.47,44.46,25702960
"2016-06-30",42.68,42.8,41.68,42.39,34485440
"2016-07-07",41.33,42.06,41.09,41.29,24585547
"2016-07-14",44.38,44.77,44.12,44.45,37093643
"2016-07-21",44.5,44.7,44.11,44.13,15045567
"2016-07-28",44,44.17,43.68,44.08,13239559
"2016-08-04",43.74,44.04,43.66,43.84,11747861
"2016-08-11",45.51,45.91,45.29,45.73,14819381
"2016-08-18",46.57,46.7,46.21,46.5,14190255
"2016-08-25",46.51,46.82,46.47,46.72,16520236
"2016-09-01",47.82,48.03,46.76,47.36,19403873
"2016-09-08",47.46,48.07,47.32,47.79,15856381
"2016-09-15",46.75,47.32,46.59,47.08,14205345
