"","HP.Open","HP.High","HP.Low","HP.Close","HP.Volume"
"2014-06-19",115.09,116.23,114.01,116.21,1075361
"2014-06-26",114.52,115.86,113.29,115.35,804041
"2014-07-03",118.61,118.61,116.8,118.29,426042
"2014-07-10",114.16,115.28,113.04,114.61,949562
"2014-07-17",115.79,116.49,113.34,113.52,751289
"2014-07-24",116.9,118.07,115.9,116.96,810226
"2014-07-31",113.5,113.51,104.81,106.26,2641112
"2014-08-07",104.29,104.71,100.87,101.93,1737765
"2014-08-14",103.08,103.42,98.34,98.63,1281550
"2014-08-21",100.79,100.89,99,100.04,1207802
"2014-08-28",102.22,103.44,101.84,103.07,824024
"2014-09-04",105.15,105.29,101.73,102.66,1289204
"2014-09-11",100.84,102.98,99.82,102.87,904821
"2014-09-18",103.9,104.09,102.8,102.87,795491
"2014-09-25",99.99,100.07,97.07,97.67,930730
"2014-10-02",93.72,93.73,88.68,91.01,2290582
"2014-10-09",89.33,89.33,84.5,85.36,2039201
"2014-10-16",80.37,87.07,79.52,86.59,2629661
"2014-10-23",87.55,89.3,85.93,88.61,1381169
"2014-10-30",84.86,86.32,83.44,84.81,1054461
"2014-11-06",83.32,85.75,82.49,85.72,1371364
"2014-11-13",82.08,84.47,77.33,79.79,4410310
"2014-11-20",77.97,80.59,77.81,80.36,1540200
"2014-12-04",69,70.11,68.3,68.91,1707243
"2014-12-11",63.94,64.19,61.35,61.67,2521741
"2014-12-18",67.49,68.04,64.75,66.43,2198606
"2015-01-08",60.1,61.89,59.93,60.8,4431851
"2015-01-15",62.08,62.5,60.12,60.18,2079891
"2015-01-22",64.28,64.5,62.74,64.27,2073965
"2015-01-29",55.8,57.88,54,57.46,6594968
"2015-02-05",66.9,67.31,65.01,67.08,3404388
"2015-02-12",66.47,67.75,65.73,65.96,1830426
"2015-02-19",68.54,71.55,68.32,70.24,2206776
"2015-02-26",67.23,67.7,65.91,66.2,2264941
"2015-03-05",66.28,68.23,65.14,68.12,1647091
"2015-03-12",65.14,65.14,62.93,63.27,2042647
"2015-03-19",65.77,66.17,64.84,66.05,1849721
"2015-03-26",70.2,70.56,68.36,69.11,2083762
"2015-04-02",67.78,70.04,67.6,69.22,2363349
"2015-04-09",71.7,74.26,71.7,73.93,2123977
"2015-04-16",77.28,77.92,75.46,75.78,2147892
"2015-04-23",73.39,75.72,71.98,75.33,2884398
"2015-04-30",78.72,79.29,77.19,77.97,2283999
"2015-05-07",77.34,77.34,75.51,75.99,2591448
"2015-05-14",75.3,76.25,73.61,74.28,1583557
"2015-05-21",74.78,76.51,74.68,75.52,1500365
"2015-05-28",72.76,73.46,71.85,73.09,1271808
"2015-06-04",72.83,73.3,71.87,72.18,1398195
"2015-06-11",74.91,75.18,73.62,73.72,1071726
"2015-06-18",74.28,74.66,72.65,72.79,1426722
"2015-06-25",70.96,71.34,70.57,70.8,1776692
"2015-07-02",68.38,68.93,67.49,67.76,1593579
"2015-07-09",64.98,65.72,64.49,64.55,1633823
"2015-07-16",63.2,63.54,61.47,61.94,2216940
"2015-07-23",59.16,61.24,58.83,59.61,2359781
"2015-07-30",59.68,60.89,58.27,58.73,3978237
"2015-08-06",57.1,62.04,56.07,61.66,3499337
"2015-08-13",61.58,61.88,59.75,60.43,2040128
"2015-08-20",57.76,58.54,56.46,56.46,1835659
"2015-08-27",52.86,55.32,52.25,55.09,3465929
"2015-09-03",54.64,56.83,54.05,54.7,3074909
"2015-09-10",50.7,51.48,49.54,51.29,3221121
"2015-09-17",52.47,54.05,51.46,52.59,3658575
"2015-09-24",46.82,48,46.61,47.38,3358740
"2015-10-01",48.21,49,46.5,46.86,3042528
"2015-10-08",57.25,60.19,55.75,59.58,3698223
"2015-10-15",57.39,58.63,56.54,58.56,1917908
"2015-10-22",56.52,57.62,55.9,56.71,1521411
"2015-10-29",55.58,57.29,54.86,55.26,1985292
"2015-11-05",60.05,61,58.47,58.97,2098351
"2015-11-12",53.83,56.33,52.84,53.44,3850229
"2015-11-19",55.46,56.36,53.99,54.74,1490700
"2015-12-03",55.78,56.13,54.84,55.61,2617987
"2015-12-10",51.7,53.06,51.45,52.62,1858632
"2015-12-17",54.09,54.49,51.67,51.8,2346676
"2015-12-24",56.03,57,54.99,56.04,1198065
"2015-12-31",52.6,54.05,52.52,53.55,1376399
"2016-01-07",49.32,49.99,48.26,48.51,2716283
"2016-01-14",45.21,47.25,44.37,46.63,3544654
"2016-01-21",42.42,46.28,42.3,45.28,4068327
"2016-01-28",46.54,50.97,46.52,49.48,5093363
"2016-02-04",49.94,52.02,49.91,51.32,5041363
"2016-02-11",45.46,46.42,44.3,45.75,3066931
"2016-02-18",53.22,53.65,50.18,51.9,3162073
"2016-02-25",51.53,51.7,49.65,51.5,1700404
"2016-03-03",57.17,59.26,56.77,58.98,2878017
"2016-03-10",61.82,62.31,59.93,61.96,2510448
"2016-03-17",62.75,63.75,61.46,63.13,2469531
"2016-03-24",56.58,58.19,56.35,58.1,2685765
"2016-03-31",58.06,59.74,57.88,58.72,1634253
"2016-04-07",56.81,57.57,55.75,56.17,1969399
"2016-04-14",60.71,60.86,59.06,59.69,1222529
"2016-04-21",63.91,64.34,62.94,63.71,1662477
"2016-04-28",64.64,66.09,63.83,64.92,2428369
"2016-05-05",61.67,61.76,59.52,60.09,1046956
"2016-05-12",60.03,60.64,58.29,58.65,1218416
"2016-05-19",57.1,57.82,56.35,57.45,1600807
"2016-05-26",61.11,61.35,59.71,60.62,1280383
"2016-06-02",59.3,59.59,58.41,58.87,1247383
"2016-06-09",66.47,67.6,65.4,67.24,1395072
"2016-06-16",64.28,64.7,62.44,64.54,1842037
"2016-06-23",68.18,69.2,67.61,69.17,1389874
"2016-06-30",66.11,67.13,65.16,67.13,1689995
"2016-07-07",65.89,67.8,64.62,65.18,1576367
"2016-07-14",69.79,70.28,68.36,68.37,1609937
"2016-07-21",65.77,66.63,63.88,64.1,1580806
"2016-07-28",61.99,63.5,60.42,61.15,2525023
"2016-08-04",62.97,63.83,62.25,62.37,1288223
"2016-08-11",62.52,63.09,62.01,62.46,1392624
"2016-08-18",62.84,65.32,62.84,64.67,2018957
"2016-08-25",63.25,63.68,62.45,62.61,995174
"2016-09-01",60,60.48,59.46,60.3,1889428
"2016-09-08",63.3,63.76,61.54,62.88,2301006
"2016-09-15",57.34,58.43,57.15,57.77,1353077
