"","DLTR.Open","DLTR.High","DLTR.Low","DLTR.Close","DLTR.Volume"
"2015-12-03",76.24,76.95,73.71,74.09,4583961
"2015-12-10",77.96,78.88,77.32,77.81,2992810
"2015-12-17",78.98,79.17,76.51,76.58,2592900
"2015-12-24",77.08,77.47,76.61,76.68,809042
"2015-12-31",77.43,78.22,77.14,77.22,1163347
"2016-01-07",79.25,81.44,78.32,78.45,4492004
"2016-01-14",75.77,76.5,74.15,75.7,3525140
"2016-01-21",76.41,78.75,75.72,77.03,2664553
"2016-01-28",79.12,79.35,77.42,78.91,1843633
"2016-02-04",79.34,79.41,75.87,76.67,3741942
"2016-02-11",73.12,74.92,72.52,73.43,3375354
"2016-02-18",79.73,80.52,77.23,79.29,4254679
"2016-02-25",82,82.5,80.91,82.3,1909413
"2016-03-03",78.4,78.75,76.47,77.45,4374775
"2016-03-10",78.19,80.41,77.5,79.82,3974243
"2016-03-17",81.05,81.41,80.16,80.42,1901330
"2016-03-24",78.85,79.26,78.22,78.52,1300663
"2016-03-31",83.25,83.55,81.84,82.46,2179558
"2016-04-07",80.3,80.95,79.58,80.64,2705382
"2016-04-14",80.37,80.75,79.7,80.25,1012163
"2016-04-21",81.83,82.56,81.63,81.9,1003825
"2016-04-28",81.63,81.98,79.87,80.07,1439619
"2016-05-05",80.61,81.5,80.33,80.62,1882837
"2016-05-12",79.55,80.87,79.08,80.29,1800312
"2016-05-19",76.3,77.1,75.65,76.91,3336589
"2016-05-26",85.49,89.16,84.8,88.37,11663485
"2016-06-02",90.96,91.77,90.12,91.05,2314001
"2016-06-09",91.48,92.17,91.03,91.97,1210338
"2016-06-16",90.7,91.89,90.34,91.84,1693340
"2016-06-23",92.46,92.78,91.66,92.38,2162344
"2016-06-30",94.79,94.82,93.55,94.24,1791144
"2016-07-07",94.63,94.85,93.7,94.63,1005641
"2016-07-14",95,95.52,94.53,95,1445008
"2016-07-21",95.01,95.56,93.97,94.66,1202385
"2016-07-28",95.32,96.27,94.68,96.12,1263272
"2016-08-04",96.78,97.44,95.72,96.07,1519043
"2016-08-11",99,99.93,97.07,97.37,1899820
"2016-08-18",95.72,96.01,95.09,95.86,1209636
"2016-08-25",88,89.58,85.38,85.5,15533998
"2016-09-01",82.39,83.75,82.21,83.18,2938633
"2016-09-08",82.55,82.55,81.4,81.84,3201946
"2016-09-15",81.14,82.1,80.89,81.99,2202070
