"","TMK.Open","TMK.High","TMK.Low","TMK.Close","TMK.Volume"
"2015-04-16",56.31,56.84,56.18,56.68,656448
"2015-04-23",56.22,56.57,55.7,56.2,861807
"2015-04-30",56.24,56.83,56.05,56.11,785571
"2015-05-07",56.81,57.29,56.53,56.98,471113
"2015-05-14",56.85,56.94,56.55,56.75,887895
"2015-05-21",57.82,58.1,57.69,57.87,615053
"2015-05-28",57.34,57.44,57.08,57.44,372618
"2015-06-04",57.29,57.53,57.11,57.27,533364
"2015-06-11",58.08,58.42,57.9,58.34,1873311
"2015-06-18",58.55,59,58.43,58.94,566630
"2015-06-25",58.97,59.06,58.58,58.69,479220
"2015-07-02",58.9,59.19,58.49,58.82,558653
"2015-07-09",58.19,58.23,57.71,57.77,472842
"2015-07-16",60.67,60.95,60.41,60.93,537005
"2015-07-23",60.56,60.74,59.91,60.04,475298
"2015-07-30",61.41,61.98,61.02,61.79,758795
"2015-08-06",62.74,62.87,61.87,62.18,537566
"2015-08-13",61.98,62.72,60.96,62.2,1090640
"2015-08-20",62.16,62.19,61.12,61.13,636435
"2015-08-27",58.36,59.22,57.85,58.82,1020097
"2015-09-03",57.57,58.2,57.25,57.68,355679
"2015-09-10",56.89,57.63,56.76,57.2,660859
"2015-09-17",58.58,58.78,57.65,57.75,743298
"2015-09-24",56.66,57,56.27,56.85,508294
"2015-10-01",56.5,56.68,55.91,56.4,899677
"2015-10-08",57.5,58.04,57.43,57.9,651909
"2015-10-15",57.1,57.54,56.5,57.54,754319
"2015-10-22",57.9,58.64,57.76,58.39,654010
"2015-10-29",58.36,59.16,58.36,58.72,1264677
"2015-11-05",58.36,58.72,58.2,58.56,228412
"2015-11-12",59.23,59.55,58.74,58.74,476366
"2015-11-19",60,60.39,59.76,60.22,399064
"2015-12-03",60.97,60.97,59.71,59.97,592005
"2015-12-10",59.53,60.02,59.36,59.58,544349
"2015-12-17",58.51,58.71,56.62,56.99,1121366
"2015-12-24",57.23,57.51,57.09,57.27,210242
"2015-12-31",57.5,57.8,57.07,57.16,567000
"2016-01-07",54.83,55.53,54.62,54.97,1212963
"2016-01-14",53.7,54.16,52.99,53.91,732322
"2016-01-21",51.71,52.61,51.52,51.8,763824
"2016-01-28",52.91,53.16,52.47,53.01,670872
"2016-02-04",52.5,54.12,51.96,52.38,1909902
"2016-02-11",49.57,50.06,48.47,48.58,1737396
"2016-02-18",52.3,52.39,51.92,52.07,461254
"2016-02-25",50.77,51.45,50.77,51.41,654619
"2016-03-03",53.36,53.65,53.13,53.29,823339
"2016-03-10",53.09,53.47,52.19,52.92,556457
"2016-03-17",54.93,56.07,54.72,55.75,781715
"2016-03-24",54.2,54.49,53.63,54.13,582363
"2016-03-31",54.66,54.69,53.96,54.16,561388
"2016-04-07",53.51,53.63,52.46,52.83,616862
"2016-04-14",55.44,55.84,55.21,55.45,362880
"2016-04-21",56.84,57.04,56.16,56.28,514699
"2016-04-28",57.97,58.89,57.67,58.02,545529
"2016-05-05",57.7,58.2,57.48,57.95,633063
"2016-05-12",58.82,59.15,58.02,58.55,659400
"2016-05-19",59.28,59.65,58.65,59.08,522681
"2016-05-26",60.43,60.47,60.1,60.41,451401
"2016-06-02",61.24,61.51,61.04,61.51,691344
"2016-06-09",60.81,60.95,60.39,60.64,412369
"2016-06-16",58.97,60.04,58.7,59.95,605798
"2016-06-23",61.98,62.39,61.7,62.39,384086
"2016-06-30",60.38,61.85,60.1,61.82,785529
"2016-07-07",60.57,61.18,60.04,60.54,846798
"2016-07-14",62.8,63.1,62.14,62.24,581023
"2016-07-21",62.34,62.34,61.92,61.98,354785
"2016-07-28",61.78,62.49,61.78,61.99,676005
"2016-08-04",61.43,61.46,61.14,61.24,426754
"2016-08-11",62.15,62.36,61.94,61.95,545009
"2016-08-18",62.37,62.55,62.23,62.53,357770
"2016-08-25",63.33,63.81,63.23,63.8,328252
"2016-09-01",64.84,64.96,64.07,64.64,483035
"2016-09-08",64.96,65.09,64.75,64.85,334234
"2016-09-15",64.4,64.99,64.35,64.75,455378
