"","DISCK.Open","DISCK.High","DISCK.Low","DISCK.Close","DISCK.Volume"
"2015-12-03",28.77,29.21,28.32,28.68,2157881
"2015-12-10",27.29,27.65,26.96,27.19,1972243
"2015-12-17",26.18,26.26,25.24,25.38,2610857
"2015-12-24",25.76,25.82,25.49,25.55,840674
"2015-12-31",24.95,25.49,24.86,25.22,1244820
"2016-01-07",24.56,24.89,24.15,24.32,2488709
"2016-01-14",24.71,25.67,24.55,25.42,2309477
"2016-01-21",25.04,25.82,24.7,25.54,2969716
"2016-01-28",27.04,27.13,25.95,26.44,2555902
"2016-02-04",26.88,27.91,26.88,27.19,1555442
"2016-02-11",23.8,24.09,23.33,23.81,2505420
"2016-02-18",25.75,25.75,23.8,25.27,3102637
"2016-02-25",24.99,25.02,24.09,24.57,1736423
"2016-03-03",26,27.06,25.95,26.82,1887442
"2016-03-10",26.68,26.84,26.15,26.57,1515460
"2016-03-17",26.98,27.78,26.98,27.6,1342184
"2016-03-24",26.27,26.59,25.93,26.53,1596154
"2016-03-31",26.59,27.26,26.59,27,1601631
"2016-04-07",27.52,27.7,26.73,26.96,1624710
"2016-04-14",27.85,27.98,27.59,27.61,1880136
"2016-04-21",27.61,28.05,27.61,27.68,1942539
"2016-04-28",27.68,28,27.39,27.49,2230819
"2016-05-05",26.61,27.81,26.61,27.22,3098612
"2016-05-12",28.21,28.37,27.04,27.31,1414762
"2016-05-19",25.78,25.91,25.09,25.1,2939746
"2016-05-26",25.94,26.18,25.75,25.97,1697991
"2016-06-02",26.53,27.23,26.53,27.11,1551528
"2016-06-09",26.76,26.76,26.15,26.29,1923767
"2016-06-16",24.57,24.72,24.25,24.68,1362456
"2016-06-23",25.08,25.21,24.92,25.11,1555984
"2016-06-30",23.19,23.86,23.19,23.85,2066213
"2016-07-07",23.98,24.33,23.96,24.23,2550897
"2016-07-14",24.77,24.82,24.48,24.72,2894017
"2016-07-21",24.49,24.78,24.4,24.56,1353050
"2016-07-28",24.73,24.8,24.52,24.59,1789345
"2016-08-04",25.84,25.84,25.16,25.45,2188034
"2016-08-11",24.73,24.92,24.62,24.89,1526733
"2016-08-18",25.86,25.98,25.75,25.91,1575763
"2016-08-25",25.36,25.47,25.05,25.09,1101800
"2016-09-01",24.88,25,24.68,24.95,1012090
"2016-09-08",24.38,24.56,24.28,24.52,2194630
"2016-09-15",23.72,23.88,23.41,23.7,1344897
